Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
Second qualifying round,Wed,2015-07-22,19:15 (21:15),Stjarnan is,1–4,sct Celtic,1022,Samsung völlurinn,Jonathan Lardot,Match Report,Leg 2 of 2; Celtic won
Second qualifying round,Wed,2015-07-22,19:45 (20:45),Dundalk FC ie,0–0,by BATE Borisov,3103,Oriel Park,Stavros Tritsonis,Match Report,Leg 2 of 2; BATE Borisov won
Second qualifying round,Wed,2015-07-22,20:00 (16:00),FC Astana kz,3–1,si NK Maribor,23650,Astana Arena,Adrien Jaccottet,Match Report,Leg 2 of 2; FC Astana won
Second qualifying round,Wed,2015-07-22,20:00,CS Fola Esch lu,0–3,hr Dinamo Zagreb,3300,Stade Josy Barthel,Sergey Tsinkevich,Match Report,Leg 2 of 2; Dinamo Zagreb won
Second qualifying round,Wed,2015-07-22,20:30,Videoton hu,1–1,wls The New Saints,3268,Sóstói Stadion,Nerijus Dunauskas,Match Report,Leg 2 of 2; Videoton won; Required Extra Time
Second qualifying round,Wed,2015-07-22,20:45,Lech Poznań pl,1–0,ba Sarajevo,22205,INEA stadion,Kevin Clancy,Match Report,Leg 2 of 2; Lech Poznań won
Second qualifying round,Wed,2015-07-22,20:45,FK Rudar Pljevlja me,0–1,az Qarabağ,1400,Stadion pod Malim brdom,Georgi Kabakov,Match Report,Leg 2 of 2; Qarabağ won
Second qualifying round,Wed,2015-07-22,21:30 (20:30),Steaua ro,2–3,sk FK AS Trenčín,,Arena Naţională,Paweł Raczkowski,Match Report,Leg 2 of 2; Steaua won
,,,,,,,,,,,
Third qualifying round,Tue,2015-07-28,19:00,Midtjylland dk,1–2,cy APOEL FC,8253,MCH Arena,Slavko Vinčič,Match Report,Leg 1 of 2
Third qualifying round,Tue,2015-07-28,19:15 (18:15),CSKA Moscow ru,2–2,cz Sparta Prague,10500,Arena Khimki,Daniel Ask,Match Report,Leg 1 of 2
Third qualifying round,Tue,2015-07-28,20:00 (19:00),FC Milsami Orhei md,0–2,al Skënderbeu Korçë,7227,Stadionul Zimbru,Hüseyin Göçek,Match Report,Leg 1 of 2
Third qualifying round,Tue,2015-07-28,20:15,Young Boys ch,1–3,fr Monaco,16079,Stade de Suisse Wankdorf Bern,Matej Jug,Match Report,Leg 1 of 2
Third qualifying round,Tue,2015-07-28,20:30 (19:30),Maccabi Tel Aviv il,1–2,cz Viktoria Plzeň,13420,Bloomfield Stadium,Aliaksei Kulbakou,Match Report,Leg 1 of 2
Third qualifying round,Tue,2015-07-28,20:30,Videoton hu,1–1,by BATE Borisov,3118,Sóstói Stadion,Aleksandar Stavrev,Match Report,Leg 1 of 2
Third qualifying round,Tue,2015-07-28,21:00 (20:00),Fenerbahçe tr,0–0,ua Shakhtar,37342,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Jorge de Sousa,Match Report,Leg 1 of 2
Third qualifying round,Tue,2015-07-28,21:00 (20:00),Panathinaikos gr,2–1,be Club Brugge,12874,Stadio Apóstolos Nikolaidis,Vladislav Bezborodov,Match Report,Leg 1 of 2
Third qualifying round,Tue,2015-07-28,21:00,Dinamo Zagreb hr,1–1,no Molde,9327,Stadion Maksimir,Serge Gumienny,Match Report,Leg 1 of 2
Third qualifying round,Wed,2015-07-29,19:00 (18:00),HJK fi,0–0,kz FC Astana,9788,Telia 5G -areena,Alexandru Tudor,Match Report,Leg 1 of 2
Third qualifying round,Wed,2015-07-29,19:00,RB Salzburg at,2–0,se Malmö,10527,Red Bull Arena,Luca Banti,Match Report,Leg 1 of 2
Third qualifying round,Wed,2015-07-29,19:45 (20:45),Celtic sct,1–0,az Qarabağ,43011,Celtic Park,Robert Schörgenhofer,Match Report,Leg 1 of 2
Third qualifying round,Wed,2015-07-29,20:45,Lech Poznań pl,1–3,ch Basel,25478,INEA stadion,Anthony Taylor,Match Report,Leg 1 of 2
Third qualifying round,Wed,2015-07-29,21:05,Rapid Wien at,2–2,nl Ajax,43200,Ernst-Happel-Stadion,William Collum,Match Report,Leg 1 of 2
Third qualifying round,Wed,2015-07-29,21:30 (20:30),Steaua ro,1–1,rs Partizan,,Arena Naţională,Kevin Blom,Match Report,Leg 1 of 2
Third qualifying round,Tue,2015-08-04,19:00,Molde no,3–3,hr Dinamo Zagreb,7017,Aker Stadion,Michael Oliver,Match Report,Leg 2 of 2; Dinamo Zagreb won
Third qualifying round,Tue,2015-08-04,20:00 (19:00),APOEL FC cy,0–1,dk Midtjylland,16070,Neo GSP,Bobby Madden,Match Report,Leg 2 of 2; APOEL FC won
Third qualifying round,Tue,2015-08-04,20:15,Ajax nl,2–3,at Rapid Wien,53000,Johan Cruyff ArenA,Ivan Kružliak,Match Report,Leg 2 of 2; Rapid Wien won
Third qualifying round,Tue,2015-08-04,20:45,Monaco fr,4–0,ch Young Boys,10500,Stade Louis II,Danny Makkelie,Match Report,Leg 2 of 2; Monaco won
Third qualifying round,Wed,2015-08-05,18:45,Sparta Prague cz,2–3,ru CSKA Moscow,16585,Generali Arena,Paolo Mazzoleni,Match Report,Leg 2 of 2; CSKA Moscow won
Third qualifying round,Wed,2015-08-05,20:00 (16:00),FC Astana kz,4–3,fi HJK,27937,Astana Arena,Alon Yefet,Match Report,Leg 2 of 2; FC Astana won
Third qualifying round,Wed,2015-08-05,20:15,Basel ch,1–0,pl Lech Poznań,18200,St. Jakob-Park,Ruddy Buquet,Match Report,Leg 2 of 2; Basel won
Third qualifying round,Wed,2015-08-05,20:30 (19:30),BATE Borisov by,1–0,hu Videoton,12498,Borisov Arena,Kenn Hansen,Match Report,Leg 2 of 2; BATE Borisov won
Third qualifying round,Wed,2015-08-05,20:30,Malmö se,3–0,at RB Salzburg,19920,Swedbank Stadion,Michael Koukoulakis,Match Report,Leg 2 of 2; Malmö won
Third qualifying round,Wed,2015-08-05,20:30,Club Brugge be,3–0,gr Panathinaikos,29344,Jan Breydelstadion,Stefan Johannesson,Match Report,Leg 2 of 2; Club Brugge won
Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Third qualifying round,Wed,2015-08-05,20:30,Partizan rs,4–2,ro Steaua,30466,Stadion Partizana,István Vad II,Match Report,Leg 2 of 2; Partizan won
Third qualifying round,Wed,2015-08-05,20:45,Skënderbeu Korçë al,2–0,md FC Milsami Orhei,7800,Elbasan Arena,Artur Soares Dias,Match Report,Leg 2 of 2; Skënderbeu Korçë won
Third qualifying round,Wed,2015-08-05,20:45,Viktoria Plzeň cz,0–2,il Maccabi Tel Aviv,11242,Doosan Arena,Yevhen Aranovskyi,Match Report,Leg 2 of 2; Maccabi Tel Aviv won
Third qualifying round,Wed,2015-08-05,21:30 (18:30),Qarabağ az,0–0,sct Celtic,31850,Tofiq Bəhramov adına Respublika stadionu,Martin Strömbergsson,Match Report,Leg 2 of 2; Celtic won
Third qualifying round,Wed,2015-08-05,21:45 (20:45),Shakhtar ua,3–0,tr Fenerbahçe,33179,L'viv Arena,Felix Zwayer,Match Report,Leg 2 of 2; Shakhtar won
,,,,,,,,,,,
Play-off round,Tue,2015-08-18,19:45 (20:45),Manchester Utd eng,3–1,be Club Brugge,75312,Old Trafford,Deniz Aytekin,Match Report,Leg 1 of 2
Play-off round,Tue,2015-08-18,19:45 (20:45),Sporting CP pt,2–1,ru CSKA Moscow,41286,Estádio José Alvalade,Cüneyt Çakιr,Match Report,Leg 1 of 2
Play-off round,Tue,2015-08-18,20:45,Lazio it,1–0,de Leverkusen,32000,Stadio Olimpico,Jonas Eriksson,Match Report,Leg 1 of 2
Play-off round,Tue,2015-08-18,21:45 (20:45),BATE Borisov by,1–0,rs Partizan,11628,Borisov Arena,Craig Thomson,Match Report,Leg 1 of 2
Play-off round,Tue,2015-08-18,22:00 (18:00),FC Astana kz,1–0,cy APOEL FC,30158,Astana Arena,Viktor Kassai,Match Report,Leg 1 of 2
Play-off round,Wed,2015-08-19,19:45 (20:45),Celtic sct,3–2,se Malmö,52412,Celtic Park,Felix Brych,Match Report,Leg 1 of 2
Play-off round,Wed,2015-08-19,20:45,Basel ch,2–2,il Maccabi Tel Aviv,15620,St. Jakob-Park,William Collum,Match Report,Leg 1 of 2
Play-off round,Wed,2015-08-19,20:45,Rapid Wien at,0–1,ua Shakhtar,46400,Ernst-Happel-Stadion,Björn Kuipers,Match Report,Leg 1 of 2
Play-off round,Wed,2015-08-19,20:45,Valencia es,3–1,fr Monaco,45633,Estadio de Mestalla,Mark Clattenburg,Match Report,Leg 1 of 2
Play-off round,Wed,2015-08-19,20:45,Skënderbeu Korçë al,1–2,hr Dinamo Zagreb,12163,Elbasan Arena,Sergey Karasev,Match Report,Leg 1 of 2
Play-off round,Tue,2015-08-25,20:45,Dinamo Zagreb hr,4–1,al Skënderbeu Korçë,16888,Stadion Maksimir,Gianluca Rocchi,Match Report,Leg 2 of 2; Dinamo Zagreb won
Play-off round,Tue,2015-08-25,20:45,Monaco fr,2–1,es Valencia,13165,Stade Louis II,Nicola Rizzoli,Match Report,Leg 2 of 2; Valencia won
Play-off round,Tue,2015-08-25,20:45,Malmö se,2–0,sct Celtic,20500,Swedbank Stadion,Milorad Mažić,Match Report,Leg 2 of 2; Malmö won
Play-off round,Tue,2015-08-25,21:45 (20:45),Shakhtar ua,2–2,at Rapid Wien,28417,L'viv Arena,Szymon Marciniak,Match Report,Leg 2 of 2; Shakhtar won
Play-off round,Tue,2015-08-25,21:45 (20:45),Maccabi Tel Aviv il,1–1,ch Basel,13350,Bloomfield Stadium,Damir Skomina,Match Report,Leg 2 of 2; Maccabi Tel Aviv won
Play-off round,Wed,2015-08-26,20:45,Leverkusen de,3–0,it Lazio,28222,BayArena,Carlos Velasco,Match Report,Leg 2 of 2; Leverkusen won
Play-off round,Wed,2015-08-26,20:45,Partizan rs,2–1,by BATE Borisov,27234,Stadion Partizana,Svein Oddvar Moen,Match Report,Leg 2 of 2; BATE Borisov won
Play-off round,Wed,2015-08-26,20:45,Club Brugge be,0–4,eng Manchester Utd,28733,Jan Breydelstadion,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Manchester Utd won
Play-off round,Wed,2015-08-26,21:45 (20:45),APOEL FC cy,1–1,kz FC Astana,17699,Neo GSP,Martin Atkinson,Match Report,Leg 2 of 2; FC Astana won
Play-off round,Wed,2015-08-26,21:45 (20:45),CSKA Moscow ru,3–1,pt Sporting CP,17259,Arena Khimki,Pavel Královec,Match Report,Leg 2 of 2; CSKA Moscow won
