Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
1,Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,8,7,566,6.3,3,1,4,3,0,0,0,0,4.9,4.9,1.3,6.2,3,5,25,0.48,0.16,0.64,0.48,0.64,0.78,0.20,0.98,0.78,0.98,Matches
2,Tyler Adams,us USA,"MF,DF",de RB Leipzig,20,1999,3,0,82,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,7,4,1.10,0.00,1.10,1.10,1.10,0.17,0.00,0.17,0.17,0.17,Matches
3,Arijan Ademi,mk MKD,"MF,DF",hr Dinamo Zagreb,28,1991,6,6,517,5.7,1,1,2,1,0,0,3,0,0.8,0.8,1.3,2.1,11,6,10,0.17,0.17,0.35,0.17,0.35,0.14,0.23,0.37,0.14,0.37,Matches
4,Adrián,es ESP,GK,eng Liverpool,32,1987,3,3,300,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,3,2,196,2.2,2,0,2,1,1,1,0,0,3.5,2.7,0.6,3.4,5,3,16,0.92,0.00,0.92,0.46,0.46,1.62,0.28,1.90,1.26,1.54,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,6,6,523,5.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,26,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
7,David Alaba,at AUT,DF,de Bayern Munich,27,1992,8,8,675,7.5,0,0,0,0,0,0,0,0,0.2,0.2,1.0,1.2,11,48,6,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.16,0.03,0.16,Matches
8,Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,5,2,214,2.4,0,0,0,0,0,0,0,0,1.2,1.2,0.1,1.3,4,3,11,0.00,0.00,0.00,0.00,0.00,0.51,0.03,0.54,0.51,0.54,Matches
9,Jordi Alba,es ESP,DF,es Barcelona,30,1989,5,5,354,3.9,0,1,1,0,0,0,2,0,0.0,0.0,1.4,1.4,2,14,21,0.00,0.25,0.25,0.00,0.25,0.01,0.35,0.36,0.01,0.36,Matches
10,Paco Alcácer,es ESP,FW,de Dortmund,25,1993,2,1,113,1.3,0,1,1,0,0,0,0,0,1.2,1.2,0.3,1.6,0,3,3,0.00,0.80,0.80,0.00,0.80,0.99,0.27,1.26,0.99,1.26,Matches
11,Thiago Alcántara,es ESP,MF,de Bayern Munich,28,1991,10,9,819,9.1,0,2,2,0,0,0,2,0,1.5,1.5,1.6,3.1,13,103,11,0.00,0.22,0.22,0.00,0.22,0.16,0.18,0.35,0.16,0.35,Matches
12,Toby Alderweireld,be BEL,DF,eng Tottenham,30,1989,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
13,Carles Aleñá,es ESP,MF,es Barcelona,21,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1,10,5,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches
14,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,7,6,583,6.5,0,1,1,0,0,0,1,0,0.3,0.3,1.7,2.0,10,63,43,0.00,0.15,0.15,0.00,0.15,0.05,0.27,0.32,0.05,0.32,Matches
15,Alisson,br BRA,GK,eng Liverpool,26,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
16,Allan,br BRA,MF,it Napoli,28,1991,6,5,445,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,28,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
17,Dele Alli,eng ENG,"MF,FW",eng Tottenham,23,1996,7,7,516,5.7,1,1,2,1,0,0,1,0,1.3,1.3,1.2,2.5,14,19,35,0.17,0.17,0.35,0.17,0.35,0.23,0.20,0.43,0.23,0.43,Matches
