Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,5.5,5,15,10,66.7,2.73,1.82,0.33,0.50,17.0,0,0,0,2.8,2.8,0.22,+2.2,+2.2,Matches
2,Marcos Acuña,ar ARG,"FW,DF",pt Sporting CP,25,1991,4.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,Adriano,br BRA,DF,tr Beşiktaş,32,1984,5.4,0,1,0,0.0,0.19,0.00,0.00,,22.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
5,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6.0,1,6,2,33.3,1.00,0.33,0.17,0.50,15.7,0,0,0,1.0,1.0,0.16,0.0,0.0,Matches
6,Ansi Agolli,al ALB,DF,az Qarabağ,34,1982,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,32.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
7,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,4.9,4,22,7,31.8,4.50,1.43,0.14,0.43,17.5,0,1,2,3.9,2.4,0.11,+0.1,+0.6,Matches
8,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4.0,0,4,1,25.0,1.00,0.25,0.00,0.00,30.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
9,Valon Ahmedi,al ALB,"MF,FW",si NK Maribor,22,1994,2.5,0,6,2,33.3,2.39,0.80,0.00,0.00,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
10,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,1.1,0,1,0,0.0,0.92,0.00,0.00,,5.3,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
11,Manuel Akanji,ch SUI,DF,ch Basel,22,1995,6.0,0,1,0,0.0,0.17,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
12,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,David Alaba,at AUT,DF,de Bayern Munich,25,1992,6.9,0,9,4,44.4,1.30,0.58,0.00,0.00,23.7,2,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
14,Jordi Alba,es ESP,DF,es Barcelona,28,1989,7.1,0,1,1,100.0,0.14,0.14,0.00,0.00,22.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
15,Raúl Albiol,es ESP,DF,it Napoli,31,1985,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,7.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
16,Paco Alcácer,es ESP,FW,es Barcelona,23,1993,1.1,1,3,1,33.3,2.84,0.95,0.33,1.00,8.8,0,0,0,0.3,0.3,0.12,+0.7,+0.7,Matches
17,Thiago Alcántara,es ESP,MF,de Bayern Munich,26,1991,6.7,3,9,5,55.6,1.33,0.74,0.33,0.60,17.4,0,0,0,1.5,1.5,0.16,+1.5,+1.5,Matches
18,Toby Alderweireld,be BEL,DF,eng Tottenham,28,1989,3.3,0,2,0,0.0,0.61,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
19,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,18,1998,9.1,1,8,2,25.0,0.88,0.22,0.13,0.50,23.6,2,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
20,Nektarios Alexandrou,cy CYP,"DF,MF",cy APOEL FC,33,1983,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Alisson,br BRA,GK,it Roma,24,1992,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,Allan,br BRA,MF,it Napoli,26,1991,3.4,0,2,0,0.0,0.59,0.00,0.00,,24.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
23,Dele Alli,eng ENG,"MF,FW",eng Tottenham,21,1996,4.8,2,8,4,50.0,1.68,0.84,0.25,0.50,19.5,1,0,0,1.5,1.5,0.19,+0.5,+0.5,Matches
24,André Almeida,pt POR,DF,pt Benfica,26,1990,2.9,0,1,1,100.0,0.35,0.35,0.00,0.00,18.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
25,André Almeida Pinto,pt POR,DF,pt Sporting CP,27,1989,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,12.8,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
26,Richard Almeida,az AZE,MF,az Qarabağ,28,1989,6.0,0,5,1,20.0,0.83,0.17,0.00,0.00,21.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
27,Stathis Aloneftis,cy CYP,"FW,MF",cy APOEL FC,34,1983,5.6,0,6,2,33.3,1.08,0.36,0.00,0.00,23.0,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
28,Marcos Alonso,es ESP,"DF,MF",eng Chelsea,26,1990,6.6,0,11,4,36.4,1.66,0.60,0.00,0.00,17.5,2,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
29,Éder Álvarez Balanta,co COL,DF,ch Basel,24,1993,5.9,0,1,0,0.0,0.17,0.00,0.00,,34.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
30,Dani Alves,br BRA,DF,fr Paris S-G,34,1983,8.0,2,5,2,40.0,0.62,0.25,0.40,1.00,24.3,1,0,0,0.5,0.5,0.09,+1.5,+1.5,Matches
31,Sofyan Amrabat,ma MAR,"MF,DF",nl Feyenoord,20,1996,5.9,1,2,2,100.0,0.34,0.34,0.50,0.50,14.7,0,0,0,0.6,0.6,0.30,+0.4,+0.4,Matches
32,André André,pt POR,"MF,FW",pt Porto,27,1989,2.5,0,4,0,0.0,1.60,0.00,0.00,,16.3,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches
33,Thanasis Androutsos,gr GRE,FW,gr Olympiacos,20,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
34,Minas Antoniou,cy CYP,FW,cy APOEL FC,23,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,Mirko Antonucci,it ITA,FW,it Roma,18,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Dennis Appiah,fr FRA,"DF,MF",be Anderlecht,25,1992,5.7,0,1,1,100.0,0.18,0.18,0.00,0.00,14.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
37,Alphonse Areola,fr FRA,GK,fr Paris S-G,24,1993,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
38,Stuart Armstrong,sct SCO,MF,sct Celtic,25,1992,2.6,0,3,1,33.3,1.14,0.38,0.00,0.00,19.7,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Matches
39,Tolgay Arslan,de GER,MF,tr Beşiktaş,26,1990,3.6,0,2,0,0.0,0.56,0.00,0.00,,29.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
40,Kwadwo Asamoah,gh GHA,DF,it Juventus,28,1988,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
