Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
1,Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,1990,1.1,45,39,4,1,0,1,0,3,0,0,0,0,38,2,1,Matches
2,Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,1.5,40,40,0,0,0,0,0,0,0,0,0,0,29,0,0,Matches
3,Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,5.5,193,187,6,5,2,0,0,1,0,0,0,0,166,0,2,Matches
4,Francesco Acerbi,it ITA,DF,it Inter,35,1988,4.7,304,288,16,10,0,2,4,1,0,0,0,0,261,0,3,Matches
5,Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,6.1,182,172,8,1,0,0,12,2,1,1,0,0,126,2,10,Matches
6,Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,2.2,87,70,15,1,1,2,4,14,0,0,0,0,59,2,2,Matches
7,Karim Adeyemi,de GER,FW,de Dortmund,21,2002,7.9,200,191,8,2,0,1,14,3,3,0,3,0,149,1,9,Matches
8,Yacine Adli,fr FRA,MF,it Milan,23,2000,1.4,91,78,13,3,1,3,10,3,7,3,4,0,74,0,0,Matches
9,Ruben Aguilar,fr FRA,DF,fr Lens,30,1993,1.1,43,26,17,0,0,0,1,17,0,0,0,0,33,0,0,Matches
10,Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,7.4,652,619,32,19,1,3,2,10,0,0,0,0,618,1,1,Matches
11,Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,1995,4.3,422,406,16,9,0,1,3,7,0,0,0,0,406,0,2,Matches
12,Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,1998,4.9,141,116,24,9,2,0,23,3,12,7,3,0,92,1,7,Matches
13,David Alaba,at AUT,DF,es Real Madrid,31,1992,2.8,212,201,11,1,0,1,7,7,3,2,0,0,190,0,2,Matches
14,Luis Alberto,es ESP,MF,it Lazio,30,1992,7.1,497,431,63,25,1,2,43,0,33,17,12,0,396,3,5,Matches
15,Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5.0,319,296,22,20,1,3,1,0,0,0,0,0,263,1,2,Matches
16,Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,2004,1.5,31,28,1,0,0,0,4,0,0,0,0,0,22,2,3,Matches
17,Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,1994,4.6,156,155,1,0,0,0,5,1,0,0,0,0,117,0,4,Matches
18,Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,1990,1.5,94,80,13,5,0,1,7,8,0,0,0,0,79,1,1,Matches
19,Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,2000,1.4,39,35,4,0,0,1,1,4,0,0,0,0,31,0,0,Matches
20,Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,2000,3.1,184,159,25,4,2,1,20,1,18,6,5,0,157,0,1,Matches
21,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5.0,214,197,16,12,0,1,1,0,0,0,0,0,172,1,0,Matches
22,Aurele Amenda,ch SUI,DF,ch Young Boys,20,2003,3.5,143,136,6,4,0,2,0,1,0,0,0,0,125,1,2,Matches
23,Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,1996,3.6,176,166,10,3,0,2,3,7,0,0,0,0,151,0,2,Matches
24,Elliot Anderson,eng ENG,MF,eng Newcastle Utd,20,2002,0.5,15,15,0,0,1,0,0,0,0,0,0,0,11,0,0,Matches
25,Felipe Anderson,br BRA,FW,it Lazio,30,1993,6.0,242,239,3,1,2,1,8,2,0,0,0,0,189,0,13,Matches
26,Angeliño,es ESP,DF,tr Galatasaray,26,1997,4.7,282,231,48,6,0,1,15,40,2,2,0,0,200,3,6,Matches
27,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,32,1990,5.2,249,213,35,2,0,0,22,33,0,0,0,0,186,1,4,Matches
28,Antony,br BRA,FW,eng Manchester Utd,23,2000,2.6,82,76,6,0,0,0,2,4,2,0,0,0,64,0,4,Matches
29,Jon Aramburu,ve VEN,DF,es Real Sociedad,21,2002,0.0,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
30,Ronald Araújo,uy URU,DF,es Barcelona,24,1999,7.3,438,404,31,17,1,5,0,8,0,0,0,0,377,3,2,Matches
31,Tomás Araújo,pt POR,DF,pt Benfica,21,2002,1.8,89,81,8,4,0,0,1,4,0,0,0,0,70,0,0,Matches
32,Marko Arnautović,at AUT,FW,it Inter,34,1989,2.1,35,32,3,0,0,0,4,0,0,0,0,0,23,0,2,Matches
33,Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,1994,4.0,142,116,26,7,0,0,0,0,0,0,0,0,128,0,0,Matches
34,Marco Asensio,es ESP,"FW,MF",fr Paris S-G,27,1996,1.4,59,57,2,0,1,1,1,0,0,0,0,0,50,0,2,Matches
35,Kristjan Asllani,al ALB,MF,it Inter,21,2002,2.3,156,145,10,7,0,5,3,0,3,1,2,0,141,1,2,Matches
36,Otavio Ataide,br BRA,DF,pt Porto,21,2002,2.3,102,97,5,4,0,1,0,0,0,0,0,0,72,0,2,Matches
37,Emil Audero,id IDN,GK,it Inter,26,1997,1.0,37,30,7,0,0,0,0,0,0,0,0,0,35,0,0,Matches
38,Carlos Augusto,br BRA,"DF,FW",it Inter,24,1999,5.3,274,236,38,2,0,1,16,35,1,1,0,0,203,0,9,Matches
39,Yann Aurel Bisseck,de GER,DF,it Inter,22,2000,1.9,159,155,4,3,0,2,3,1,0,0,0,0,147,0,3,Matches
40,Fredrik Aursnes,no NOR,"DF,MF",pt Benfica,27,1995,6.0,325,292,32,1,0,3,9,30,1,0,1,0,252,1,9,Matches
41,Kaan Ayhan,tr TUR,"MF,DF",tr Galatasaray,28,1994,4.2,209,208,0,0,3,2,1,0,0,0,0,0,159,1,3,Matches
42,Neil El Aynaoui,fr FRA,MF,fr Lens,22,2001,1.5,42,40,1,1,0,0,0,0,0,0,0,0,36,1,0,Matches
43,Irakli Azarov,ge GEO,DF,ua Shakhtar,21,2002,3.3,177,148,29,5,3,0,5,24,0,0,0,0,147,0,4,Matches
44,César Azpilicueta,es ESP,DF,es Atlético Madrid,33,1989,3.2,174,164,10,2,0,1,1,7,0,0,0,0,154,0,1,Matches
45,Isaac Babadi,nl NED,"FW,MF",nl PSV Eindhoven,18,2005,0.2,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
46,Loïc Bade,fr FRA,DF,es Sevilla,23,2000,1.1,48,46,1,1,0,1,0,0,0,0,0,0,39,1,2,Matches
47,Alexander Bah,dk DEN,DF,pt Benfica,25,1997,2.1,162,136,25,0,0,0,6,25,0,0,0,0,118,1,5,Matches
48,Samson Baidoo,at AUT,DF,at RB Salzburg,19,2004,3.4,200,187,13,9,0,2,0,4,0,0,0,0,161,0,1,Matches
49,Cédric Bakambu,cd COD,FW,tr Galatasaray,32,1991,0.4,11,9,2,0,0,0,0,0,0,0,0,0,7,0,1,Matches
50,Johan Bakayoko,be BEL,FW,nl PSV Eindhoven,20,2003,7.2,248,234,14,2,1,0,30,4,6,4,0,0,185,0,11,Matches
51,Alejandro Balde,es ESP,DF,es Barcelona,19,2003,3.7,255,224,31,4,0,2,15,27,0,0,0,0,219,0,8,Matches
52,Michel-Ange Balikwisha,be BEL,"FW,MF",be Antwerp,22,2001,4.3,127,107,19,1,0,0,30,4,14,5,8,0,87,1,5,Matches
53,David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,1.0,40,33,4,2,0,0,0,0,0,0,0,0,28,3,0,Matches
54,Simon Banza,cd COD,FW,pt Braga,26,1996,3.8,78,69,9,1,0,0,1,2,0,0,0,0,56,0,2,Matches
55,Bradley Barcola,fr FRA,"FW,DF",fr Paris S-G,20,2002,5.3,187,181,6,0,0,1,11,5,1,1,0,0,148,0,4,Matches
56,Abdülkerim Bardakcı,tr TUR,DF,tr Galatasaray,28,1994,6.0,392,367,25,16,1,4,2,3,0,0,0,0,318,0,2,Matches
57,Roony Bardghji,se SWE,"MF,FW",dk FC Copenhagen,17,2005,1.6,53,51,2,0,0,1,2,1,1,1,0,0,46,0,2,Matches
58,Nicolò Barella,it ITA,MF,it Inter,26,1997,5.2,343,332,10,4,3,5,16,5,1,0,1,0,280,1,10,Matches
59,Harvey Barnes,eng ENG,FW,eng Newcastle Utd,25,1997,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Romário Baró,pt POR,MF,pt Porto,23,2000,0.7,18,17,1,1,0,0,1,0,0,0,0,0,16,0,1,Matches
61,Ander Barrenetxea,es ESP,"FW,MF",es Real Sociedad,21,2001,4.4,181,176,5,1,0,1,12,0,4,0,0,0,136,0,12,Matches
62,Pablo Barrios,es ESP,MF,es Atlético Madrid,20,2003,2.9,181,180,0,0,0,4,4,0,0,0,0,0,159,1,2,Matches
63,Davide Bartesaghi,it ITA,FW,it Milan,17,2005,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
64,Alessandro Bastoni,it ITA,DF,it Inter,24,1999,5.6,401,359,39,17,2,3,12,20,0,0,0,0,339,3,12,Matches
