Wk,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
5.0,Sat,2022-09-03,18:00,Milan,1.3,3–2,1.8,Inter,75475.0,Stadio Giuseppe Meazza,Daniele Chiffi,Match Report,
5.0,Sat,2022-09-03,20:45,Lazio,0.3,1–2,2.1,Napoli,39000.0,Stadio Olimpico,Simone Sozza,Match Report,
5.0,Sun,2022-09-04,12:30,Cremonese,0.4,0–0,1.5,Sassuolo,9105.0,Stadio Giovanni Zini,Luca Pairetto,Match Report,
5.0,Sun,2022-09-04,15:00,Spezia,0.9,2–2,0.9,Bologna,7555.0,Stadio Alberto Picco,Antonio Giua,Match Report,
5.0,Sun,2022-09-04,18:00,Hellas Verona,2.5,2–1,0.8,Sampdoria,16675.0,Stadio Marc'Antonio Bentegodi,Paolo Valeri,Match Report,
5.0,Sun,2022-09-04,20:45,Udinese,1.2,4–0,0.8,Roma,24108.0,Dacia Arena,Fabio Maresca,Match Report,
5.0,Mon,2022-09-05,18:30,Salernitana,1.3,2–2,0.9,Empoli,18173.0,Stadio Arechi,Rosario Abisso,Match Report,
5.0,Mon,2022-09-05,18:30,Monza,0.6,0–2,1.9,Atalanta,11970.0,U-Power Stadium,Juan Sacchi,Match Report,
5.0,Mon,2022-09-05,20:45,Torino,1.1,1–0,0.3,Lecce,19087.0,Stadio Olimpico di Torino,Manuel Volpi,Match Report,
,,,,,,,,,,,,,
6.0,Sat,2022-09-10,15:00,Napoli,2.2,1–0,0.5,Spezia,32839.0,Stadio Diego Armando Maradona,Alberto Santoro,Match Report,
6.0,Sat,2022-09-10,18:00,Inter,1.5,1–0,0.7,Torino,69134.0,Stadio Giuseppe Meazza,Giovanni Ayroldi,Match Report,
6.0,Sat,2022-09-10,20:45,Sampdoria,0.7,1–2,1.7,Milan,23049.0,Stadio Comunale Luigi Ferraris,Michael Fabbri,Match Report,
6.0,Sun,2022-09-11,12:30,Atalanta,0.7,1–1,0.6,Cremonese,18252.0,Gewiss Stadium,Andrea Colombo,Match Report,
6.0,Sun,2022-09-11,15:00,Bologna,0.6,2–1,1.3,Fiorentina,18901.0,Stadio Renato Dall'Ara,Daniele Orsato,Match Report,
6.0,Sun,2022-09-11,15:00,Lecce,0.9,1–1,0.1,Monza,23391.0,Stadio Comunale Via Del Mare,Luca Pairetto,Match Report,
6.0,Sun,2022-09-11,15:00,Sassuolo,0.5,1–3,2.1,Udinese,8694.0,Mapei Stadium - Città del Tricolore,Giacomo Camplone,Match Report,
6.0,Sun,2022-09-11,18:00,Lazio,1.1,2–0,0.3,Hellas Verona,38000.0,Stadio Olimpico,Massimiliano Irrati,Match Report,
6.0,Sun,2022-09-11,20:45,Juventus,1.9,2–2,1.6,Salernitana,35097.0,Allianz Stadium,Matteo Marcenaro,Match Report,
6.0,Mon,2022-09-12,20:45,Empoli,1.1,1–2,3.0,Roma,4560.0,Stadio Carlo Castellani,Livio Marinelli,Match Report,
,,,,,,,,,,,,,
7.0,Fri,2022-09-16,20:45,Salernitana,1.2,1–2,1.5,Lecce,19488.0,Stadio Arechi,Daniele Doveri,Match Report,
7.0,Sat,2022-09-17,15:00,Bologna,1.6,0–1,1.6,Empoli,15670.0,Stadio Renato Dall'Ara,Manuel Volpi,Match Report,
7.0,Sat,2022-09-17,18:00,Spezia,0.7,2–1,0.9,Sampdoria,10000.0,Stadio Alberto Picco,Simone Sozza,Match Report,
