Wk,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
18.0,Sun,2023-01-15,15:00 (16:00),Udinese,1.9,1–2,2.0,Bologna,20486.0,Dacia Arena,Manuel Volpi,Match Report,
18.0,Sun,2023-01-15,15:00 (16:00),Torino,1.0,0–1,1.5,Spezia,15113.0,Stadio Olimpico di Torino,Davide Ghersini,Match Report,
18.0,Sun,2023-01-15,18:00 (19:00),Atalanta,2.9,8–2,1.0,Salernitana,18499.0,Gewiss Stadium,Gianluca Aureliano,Match Report,
18.0,Sun,2023-01-15,20:45 (21:45),Roma,0.9,2–0,0.4,Fiorentina,61327.0,Stadio Olimpico,Antonio Giua,Match Report,
18.0,Mon,2023-01-16,20:45 (21:45),Empoli,1.4,1–0,0.9,Sampdoria,10364.0,Stadio Carlo Castellani,Alberto Santoro,Match Report,
,,,,,,,,,,,,,
19.0,Sat,2023-01-21,15:00 (16:00),Hellas Verona,0.5,2–0,0.8,Lecce,19955.0,Stadio Marc'Antonio Bentegodi,Federico La Penna,Match Report,
19.0,Sat,2023-01-21,18:00 (19:00),Salernitana,0.4,0–2,1.4,Napoli,18555.0,Stadio Arechi,Daniele Chiffi,Match Report,
19.0,Sat,2023-01-21,20:45 (21:45),Fiorentina,1.2,0–1,0.6,Torino,29281.0,Stadio Artemio Franchi,Federico Dionisi,Match Report,
19.0,Sun,2023-01-22,12:30 (13:30),Sampdoria,1.3,0–1,1.3,Udinese,18642.0,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Match Report,
19.0,Sun,2023-01-22,15:00 (16:00),Monza,1.5,1–1,1.5,Sassuolo,10200.0,U-Power Stadium,Alessandro Prontera,Match Report,
19.0,Sun,2023-01-22,18:00 (19:00),Spezia,0.2,0–2,2.0,Roma,9153.0,Stadio Alberto Picco,Simone Sozza,Match Report,
19.0,Sun,2023-01-22,20:45 (21:45),Juventus,1.9,3–3,1.0,Atalanta,33565.0,Allianz Stadium,Livio Marinelli,Match Report,
19.0,Mon,2023-01-23,18:30 (19:30),Bologna,1.1,1–1,1.7,Cremonese,15587.0,Stadio Renato Dall'Ara,Matteo Marchetti,Match Report,
19.0,Mon,2023-01-23,20:45 (21:45),Inter,1.4,0–1,0.8,Empoli,65476.0,Stadio Giuseppe Meazza,Antonio Rapuano,Match Report,
19.0,Tue,2023-01-24,20:45 (21:45),Lazio,3.1,4–0,0.7,Milan,47000.0,Stadio Olimpico,Marco Di Bello,Match Report,
,,,,,,,,,,,,,
20.0,Fri,2023-01-27,18:30 (19:30),Bologna,1.6,2–0,0.5,Spezia,17213.0,Stadio Renato Dall'Ara,Luca Massimi,Match Report,
20.0,Fri,2023-01-27,20:45 (21:45),Lecce,1.4,1–2,0.9,Salernitana,24446.0,Stadio Comunale Via Del Mare,Davide Massa,Match Report,
20.0,Sat,2023-01-28,15:00 (16:00),Empoli,0.6,2–2,1.0,Torino,8029.0,Stadio Carlo Castellani,Matteo Marcenaro,Match Report,
20.0,Sat,2023-01-28,18:00 (19:00),Cremonese,1.0,1–2,2.3,Inter,14554.0,Stadio Giovanni Zini,Maurizio Mariani,Match Report,
20.0,Sat,2023-01-28,20:45 (21:45),Atalanta,1.8,2–0,0.8,Sampdoria,19095.0,Gewiss Stadium,Daniele Doveri,Match Report,
20.0,Sun,2023-01-29,12:30 (13:30),Milan,0.6,2–5,2.2,Sassuolo,70428.0,Stadio Giuseppe Meazza,Antonio Giua,Match Report,
20.0,Sun,2023-01-29,15:00 (16:00),Juventus,1.6,0–2,1.2,Monza,39393.0,Allianz Stadium,Gianluca Aureliano,Match Report,
20.0,Sun,2023-01-29,18:00 (19:00),Lazio,0.9,1–1,1.3,Fiorentina,43000.0,Stadio Olimpico,Andrea Colombo,Match Report,
20.0,Sun,2023-01-29,20:45 (21:45),Napoli,1.0,2–1,0.8,Roma,48791.0,Stadio Diego Armando Maradona,Daniele Orsato,Match Report,
20.0,Mon,2023-01-30,20:45 (21:45),Udinese,1.8,1–1,0.8,Hellas Verona,17276.0,Dacia Arena,Luca Pairetto,Match Report,
,,,,,,,,,,,,,
21.0,Sat,2023-02-04,15:00 (16:00),Cremonese,0.6,0–2,1.5,Lecce,11189.0,Stadio Giovanni Zini,Daniele Orsato,Match Report,
21.0,Sat,2023-02-04,18:00 (19:00),Roma,1.2,2–0,1.7,Empoli,60908.0,Stadio Olimpico,Federico Dionisi,Match Report,
21.0,Sat,2023-02-04,20:45 (21:45),Sassuolo,1.3,1–0,0.5,Atalanta,12611.0,Mapei Stadium - Città del Tricolore,Matteo Marcenaro,Match Report,
21.0,Sun,2023-02-05,12:30 (13:30),Spezia,0.4,0–3,1.9,Napoli,8700.0,Stadio Alberto Picco,Marco Di Bello,Match Report,
21.0,Sun,2023-02-05,15:00 (16:00),Torino,1.7,1–0,0.5,Udinese,16820.0,Stadio Olimpico di Torino,Alessandro Prontera,Match Report,
21.0,Sun,2023-02-05,18:00 (19:00),Fiorentina,1.3,1–2,1.8,Bologna,30546.0,Stadio Artemio Franchi,Luca Pairetto,Match Report,
21.0,Sun,2023-02-05,20:45 (21:45),Inter,0.9,1–0,0.3,Milan,75584.0,Stadio Giuseppe Meazza,Davide Massa,Match Report,
21.0,Mon,2023-02-06,18:30 (19:30),Hellas Verona,1.2,1–1,0.9,Lazio,20329.0,Stadio Marc'Antonio Bentegodi,Giovanni Ayroldi,Match Report,
21.0,Mon,2023-02-06,20:45 (21:45),Monza,2.1,2–2,1.2,Sampdoria,11950.0,U-Power Stadium,Daniele Chiffi,Match Report,
21.0,Tue,2023-02-07,20:45 (21:45),Salernitana,0.8,0–3,2.2,Juventus,26945.0,Stadio Arechi,Antonio Rapuano,Match Report,
,,,,,,,,,,,,,
22.0,Fri,2023-02-10,20:45 (21:45),Milan,1.3,1–0,0.8,Torino,68268.0,Stadio Giuseppe Meazza,Giovanni Ayroldi,Match Report,
22.0,Sat,2023-02-11,15:00 (16:00),Empoli,1.6,2–2,1.5,Spezia,7871.0,Stadio Carlo Castellani,Antonio Giua,Match Report,
22.0,Sat,2023-02-11,18:00 (19:00),Lecce,0.5,1–1,1.9,Roma,25200.0,Stadio Comunale Via Del Mare,Gianluca Aureliano,Match Report,
22.0,Sat,2023-02-11,20:45 (21:45),Lazio,0.9,0–2,2.8,Atalanta,41000.0,Stadio Olimpico,Daniele Orsato,Match Report,
22.0,Sun,2023-02-12,12:30 (13:30),Udinese,1.6,2–2,0.7,Sassuolo,20912.0,Dacia Arena,Ivan Pezzuto,Match Report,
22.0,Sun,2023-02-12,15:00 (16:00),Bologna,0.9,0–1,0.6,Monza,21692.0,Stadio Renato Dall'Ara,Luca Zufferli,Match Report,
22.0,Sun,2023-02-12,18:00 (19:00),Juventus,1.0,1–0,0.7,Fiorentina,34844.0,Allianz Stadium,Michael Fabbri,Match Report,
22.0,Sun,2023-02-12,20:45 (21:45),Napoli,1.8,3–0,0.2,Cremonese,50250.0,Stadio Diego Armando Maradona,Luca Massimi,Match Report,
22.0,Mon,2023-02-13,18:30 (19:30),Hellas Verona,1.2,1–0,0.9,Salernitana,17832.0,Stadio Marc'Antonio Bentegodi,Paolo Valeri,Match Report,
22.0,Mon,2023-02-13,20:45 (21:45),Sampdoria,0.5,0–0,1.8,Inter,21575.0,Stadio Comunale Luigi Ferraris,Fabio Maresca,Match Report,
,,,,,,,,,,,,,
23.0,Fri,2023-02-17,20:45 (21:45),Sassuolo,0.8,0–2,1.6,Napoli,15911.0,Mapei Stadium - Città del Tricolore,Andrea Colombo,Match Report,
23.0,Sat,2023-02-18,15:00 (16:00),Sampdoria,2.3,1–2,0.9,Bologna,18269.0,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Match Report,
23.0,Sat,2023-02-18,18:00 (19:00),Monza,0.5,0–1,2.1,Milan,14012.0,U-Power Stadium,Antonio Rapuano,Match Report,
23.0,Sat,2023-02-18,20:45 (21:45),Inter,2.7,3–1,0.8,Udinese,71248.0,Stadio Giuseppe Meazza,Federico Dionisi,Match Report,
23.0,Sun,2023-02-19,12:30 (13:30),Atalanta,1.5,1–2,0.4,Lecce,19435.0,Gewiss Stadium,Marco Piccinini,Match Report,
23.0,Sun,2023-02-19,15:00 (16:00),Fiorentina,2.2,1–1,0.8,Empoli,29663.0,Stadio Artemio Franchi,Alessandro Prontera,Match Report,
23.0,Sun,2023-02-19,15:00 (16:00),Salernitana,0.4,0–2,3.0,Lazio,14860.0,Stadio Arechi,Rosario Abisso,Match Report,
23.0,Sun,2023-02-19,18:00 (19:00),Spezia,1.3,0–2,1.1,Juventus,11767.0,Stadio Alberto Picco,Federico La Penna,Match Report,
23.0,Sun,2023-02-19,20:45 (21:45),Roma,0.8,1–0,0.4,Hellas Verona,61009.0,Stadio Olimpico,Simone Sozza,Match Report,
23.0,Mon,2023-02-20,20:45 (21:45),Torino,2.4,2–2,0.6,Cremonese,19095.0,Stadio Olimpico di Torino,Giacomo Camplone,Match Report,
,,,,,,,,,,,,,
24.0,Sat,2023-02-25,18:00 (19:00),Empoli,0.6,0–2,2.5,Napoli,12624.0,Stadio Carlo Castellani,Giovanni Ayroldi,Match Report,
24.0,Sat,2023-02-25,20:45 (21:45),Lecce,1.2,0–1,1.1,Sassuolo,23760.0,Stadio Comunale Via Del Mare,Niccolò Baroni,Match Report,
24.0,Sun,2023-02-26,12:30 (13:30),Bologna,1.2,1–0,1.0,Inter,28317.0,Stadio Renato Dall'Ara,Daniele Orsato,Match Report,
24.0,Sun,2023-02-26,15:00 (16:00),Salernitana,2.4,3–0,1.4,Monza,14947.0,Stadio Arechi,Livio Marinelli,Match Report,
24.0,Sun,2023-02-26,18:00 (19:00),Udinese,2.5,2–2,2.5,Spezia,20710.0,Dacia Arena,Matteo Marchetti,Match Report,
24.0,Sun,2023-02-26,20:45 (21:45),Milan,1.8,2–0,0.1,Atalanta,72203.0,Stadio Giuseppe Meazza,Maurizio Mariani,Match Report,
24.0,Mon,2023-02-27,18:30 (19:30),Hellas Verona,1.2,0–3,1.4,Fiorentina,17787.0,Stadio Marc'Antonio Bentegodi,Federico La Penna,Match Report,
24.0,Mon,2023-02-27,20:45 (21:45),Lazio,1.6,1–0,0.5,Sampdoria,35000.0,Stadio Olimpico,Andrea Colombo,Match Report,
24.0,Tue,2023-02-28,18:30 (19:30),Cremonese,1.0,2–1,1.2,Roma,11367.0,Stadio Giovanni Zini,Marco Piccinini,Match Report,
24.0,Tue,2023-02-28,20:45 (21:45),Juventus,1.5,4–2,1.2,Torino,37806.0,Allianz Stadium,Daniele Chiffi,Match Report,
,,,,,,,,,,,,,
25.0,Fri,2023-03-03,20:45 (21:45),Napoli,0.9,0–1,0.2,Lazio,45786.0,Stadio Diego Armando Maradona,Luca Pairetto,Match Report,
25.0,Sat,2023-03-04,15:00 (16:00),Monza,0.7,2–1,1.0,Empoli,10601.0,U-Power Stadium,Ermanno Feliciani,Match Report,
25.0,Sat,2023-03-04,18:00 (19:00),Atalanta,1.4,0–0,0.3,Udinese,18475.0,Gewiss Stadium,Davide Ghersini,Match Report,
25.0,Sat,2023-03-04,20:45 (21:45),Fiorentina,2.1,2–1,0.9,Milan,40410.0,Stadio Artemio Franchi,Marco Di Bello,Match Report,
25.0,Sun,2023-03-05,12:30 (13:30),Spezia,1.2,0–0,1.2,Hellas Verona,10020.0,Stadio Alberto Picco,Daniele Doveri,Match Report,
25.0,Sun,2023-03-05,15:00 (16:00),Sampdoria,0.5,0–0,0.8,Salernitana,20353.0,Stadio Comunale Luigi Ferraris,Davide Massa,Match Report,
25.0,Sun,2023-03-05,18:00 (19:00),Inter,0.8,2–0,0.6,Lecce,75033.0,Stadio Giuseppe Meazza,Gianluca Manganiello,Match Report,
25.0,Sun,2023-03-05,20:45 (21:45),Roma,0.6,1–0,0.7,Juventus,64213.0,Stadio Olimpico,Fabio Maresca,Match Report,
25.0,Mon,2023-03-06,18:30 (19:30),Sassuolo,1.0,3–2,1.2,Cremonese,11587.0,Mapei Stadium - Città del Tricolore,Francesco Fourneau,Match Report,
25.0,Mon,2023-03-06,20:45 (21:45),Torino,0.9,1–0,0.5,Bologna,18592.0,Stadio Olimpico di Torino,Antonio Rapuano,Match Report,
,,,,,,,,,,,,,
26.0,Fri,2023-03-10,20:45 (21:45),Spezia,1.0,2–1,3.8,Inter,11767.0,Stadio Alberto Picco,Livio Marinelli,Match Report,
26.0,Sat,2023-03-11,15:00 (16:00),Empoli,1.2,0–1,1.4,Udinese,7465.0,Stadio Carlo Castellani,Francesco Cosso,Match Report,
26.0,Sat,2023-03-11,18:00 (19:00),Napoli,1.3,2–0,0.3,Atalanta,50601.0,Stadio Diego Armando Maradona,Andrea Colombo,Match Report,
26.0,Sat,2023-03-11,20:45 (21:45),Bologna,0.9,0–0,0.8,Lazio,27369.0,Stadio Renato Dall'Ara,Fabio Maresca,Match Report,
26.0,Sun,2023-03-12,12:30 (13:30),Lecce,0.5,0–2,0.1,Torino,24413.0,Stadio Comunale Via Del Mare,Juan Sacchi,Match Report,
26.0,Sun,2023-03-12,15:00 (16:00),Cremonese,1.8,0–2,1.7,Fiorentina,11506.0,Stadio Giovanni Zini,Matteo Marcenaro,Match Report,
26.0,Sun,2023-03-12,15:00 (16:00),Hellas Verona,0.6,1–1,1.1,Monza,18061.0,Stadio Marc'Antonio Bentegodi,Marco Piccinini,Match Report,
26.0,Sun,2023-03-12,18:00 (19:00),Roma,1.5,3–4,3.5,Sassuolo,60816.0,Stadio Olimpico,Michael Fabbri,Match Report,
26.0,Sun,2023-03-12,20:45 (21:45),Juventus,2.8,4–2,0.8,Sampdoria,35166.0,Allianz Stadium,Alessandro Prontera,Match Report,
26.0,Mon,2023-03-13,20:45 (21:45),Milan,2.2,1–1,0.8,Salernitana,71870.0,Stadio Giuseppe Meazza,Federico La Penna,Match Report,
,,,,,,,,,,,,,
27.0,Fri,2023-03-17,18:30 (19:30),Sassuolo,2.0,1–0,0.7,Spezia,11152.0,Mapei Stadium - Città del Tricolore,Davide Ghersini,Match Report,
27.0,Fri,2023-03-17,20:45 (21:45),Atalanta,2.9,2–1,0.7,Empoli,17864.0,Gewiss Stadium,Federico Dionisi,Match Report,
27.0,Sat,2023-03-18,15:00 (16:00),Monza,2.0,1–1,0.7,Cremonese,12797.0,U-Power Stadium,Antonio Giua,Match Report,
27.0,Sat,2023-03-18,18:00 (19:00),Salernitana,0.9,2–2,0.4,Bologna,18600.0,Stadio Arechi,Luca Pairetto,Match Report,
27.0,Sat,2023-03-18,20:45 (21:45),Udinese,1.8,3–1,1.5,Milan,24992.0,Dacia Arena,Daniele Doveri,Match Report,
27.0,Sun,2023-03-19,12:30 (13:30),Sampdoria,1.2,3–1,1.3,Hellas Verona,18228.0,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Match Report,
27.0,Sun,2023-03-19,15:00 (16:00),Torino,1.3,0–4,2.3,Napoli,26058.0,Stadio Olimpico di Torino,Matteo Marchetti,Match Report,
27.0,Sun,2023-03-19,15:00 (16:00),Fiorentina,1.2,1–0,0.5,Lecce,34604.0,Stadio Artemio Franchi,Rosario Abisso,Match Report,
27.0,Sun,2023-03-19,18:00 (19:00),Lazio,0.6,1–0,0.6,Roma,62000.0,Stadio Olimpico,Davide Massa,Match Report,
27.0,Sun,2023-03-19,20:45 (21:45),Inter,1.2,0–1,0.6,Juventus,75224.0,Stadio Giuseppe Meazza,Daniele Chiffi,Match Report,
,,,,,,,,,,,,,
28.0,Sat,2023-04-01,15:00,Cremonese,1.5,1–3,2.9,Atalanta,11891.0,Stadio Giovanni Zini,Livio Marinelli,Match Report,
28.0,Sat,2023-04-01,18:00,Inter,2.8,0–1,1.1,Fiorentina,73576.0,Stadio Giuseppe Meazza,Fabio Maresca,Match Report,
28.0,Sat,2023-04-01,20:45,Juventus,1.8,1–0,0.6,Hellas Verona,40105.0,Allianz Stadium,Matteo Marchetti,Match Report,
28.0,Sun,2023-04-02,12:30,Bologna,0.7,3–0,0.8,Udinese,25562.0,Stadio Renato Dall'Ara,Maria Sole Ferrieri Caputi,Match Report,
28.0,Sun,2023-04-02,15:00,Spezia,2.0,1–1,1.1,Salernitana,10723.0,Stadio Alberto Picco,Daniele Orsato,Match Report,
28.0,Sun,2023-04-02,15:00,Monza,1.3,0–2,0.5,Lazio,14539.0,U-Power Stadium,Matteo Marcenaro,Match Report,
28.0,Sun,2023-04-02,18:00,Roma,3.0,3–0,0.3,Sampdoria,62108.0,Stadio Olimpico,Massimiliano Irrati,Match Report,
28.0,Sun,2023-04-02,20:45,Napoli,1.2,0–4,2.1,Milan,51466.0,Stadio Diego Armando Maradona,Antonio Rapuano,Match Report,
28.0,Mon,2023-04-03,18:30,Empoli,1.7,1–0,0.2,Lecce,8844.0,Stadio Carlo Castellani,Michael Fabbri,Match Report,
28.0,Mon,2023-04-03,20:45,Sassuolo,1.1,1–1,1.7,Torino,12896.0,Mapei Stadium - Città del Tricolore,Ivan Pezzuto,Match Report,
,,,,,,,,,,,,,
29.0,Fri,2023-04-07,17:00,Salernitana,1.1,1–1,2.8,Inter,23702.0,Stadio Arechi,Michael Fabbri,Match Report,
29.0,Fri,2023-04-07,19:00,Lecce,1.1,1–2,1.1,Napoli,25799.0,Stadio Comunale Via Del Mare,Gianluca Manganiello,Match Report,
29.0,Fri,2023-04-07,21:00,Milan,1.9,0–0,0.1,Empoli,70286.0,Stadio Giuseppe Meazza,Matteo Marcenaro,Match Report,
29.0,Sat,2023-04-08,12:30,Udinese,1.8,2–2,1.1,Monza,22658.0,Dacia Arena,Luca Massimi,Match Report,
29.0,Sat,2023-04-08,14:30,Fiorentina,1.0,1–1,0.7,Spezia,35863.0,Stadio Artemio Franchi,Federico Dionisi,Match Report,
29.0,Sat,2023-04-08,16:30,Atalanta,1.3,0–2,1.3,Bologna,18950.0,Gewiss Stadium,Daniele Orsato,Match Report,
29.0,Sat,2023-04-08,16:30,Sampdoria,2.1,2–3,1.3,Cremonese,20421.0,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
29.0,Sat,2023-04-08,18:30,Torino,0.3,0–1,1.1,Roma,22142.0,Stadio Olimpico di Torino,Andrea Colombo,Match Report,
29.0,Sat,2023-04-08,18:30,Hellas Verona,0.5,2–1,1.8,Sassuolo,23660.0,Stadio Marc'Antonio Bentegodi,Francesco Fourneau,Match Report,
29.0,Sat,2023-04-08,20:45,Lazio,1.2,2–1,1.9,Juventus,54000.0,Stadio Olimpico,Marco Di Bello,Match Report,
,,,,,,,,,,,,,
30.0,Fri,2023-04-14,18:30,Cremonese,1.2,1–0,1.2,Empoli,8966.0,Stadio Giovanni Zini,Luca Zufferli,Match Report,
30.0,Fri,2023-04-14,20:45,Spezia,0.7,0–3,2.8,Lazio,9500.0,Stadio Alberto Picco,Massimiliano Irrati,Match Report,
30.0,Sat,2023-04-15,15:00,Bologna,0.6,1–1,1.4,Milan,29024.0,Stadio Renato Dall'Ara,Davide Massa,Match Report,
30.0,Sat,2023-04-15,18:00,Napoli,0.4,0–0,0.4,Hellas Verona,39216.0,Stadio Diego Armando Maradona,Federico La Penna,Match Report,
30.0,Sat,2023-04-15,20:45,Inter,2.1,0–1,0.7,Monza,74135.0,Stadio Giuseppe Meazza,Luca Pairetto,Match Report,
30.0,Sun,2023-04-16,12:30,Lecce,2.6,1–1,0.6,Sampdoria,22471.0,Stadio Comunale Via Del Mare,Maurizio Mariani,Match Report,
30.0,Sun,2023-04-16,15:00,Torino,1.7,1–1,0.7,Salernitana,21122.0,Stadio Olimpico di Torino,Gianluca Aureliano,Match Report,
30.0,Sun,2023-04-16,18:00,Sassuolo,0.9,1–0,1.1,Juventus,19566.0,Mapei Stadium - Città del Tricolore,Antonio Rapuano,Match Report,
30.0,Sun,2023-04-16,20:45,Roma,2.5,3–0,1.2,Udinese,61015.0,Stadio Olimpico,Antonio Giua,Match Report,
30.0,Mon,2023-04-17,20:45,Fiorentina,1.9,1–1,0.5,Atalanta,29628.0,Stadio Artemio Franchi,Marco Guida,Match Report,
,,,,,,,,,,,,,
31.0,Fri,2023-04-21,20:45,Hellas Verona,1.4,2–1,1.3,Bologna,21031.0,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,Match Report,
31.0,Sat,2023-04-22,15:00,Salernitana,1.3,3–0,0.7,Sassuolo,23060.0,Stadio Arechi,Giacomo Camplone,Match Report,
31.0,Sat,2023-04-22,18:00,Lazio,0.6,0–1,0.6,Torino,50000.0,Stadio Olimpico,Davide Ghersini,Match Report,
31.0,Sat,2023-04-22,20:45,Sampdoria,1.4,1–1,2.5,Spezia,19181.0,Stadio Comunale Luigi Ferraris,Fabio Maresca,Match Report,
31.0,Sun,2023-04-23,12:30,Empoli,0.9,0–3,1.1,Inter,15337.0,Stadio Carlo Castellani,Livio Marinelli,Match Report,
31.0,Sun,2023-04-23,15:00,Udinese,1.6,3–0,0.9,Cremonese,23455.0,Dacia Arena,Francesco Fourneau,Match Report,
31.0,Sun,2023-04-23,15:00,Monza,1.5,3–2,1.3,Fiorentina,13118.0,U-Power Stadium,Juan Sacchi,Match Report,
31.0,Sun,2023-04-23,18:00,Milan,0.8,2–0,1.2,Lecce,72614.0,Stadio Giuseppe Meazza,Daniele Chiffi,Match Report,
31.0,Sun,2023-04-23,20:45,Juventus,0.4,0–1,1.2,Napoli,39839.0,Allianz Stadium,Michael Fabbri,Match Report,
31.0,Mon,2023-04-24,20:45,Atalanta,0.9,3–1,1.0,Roma,19445.0,Gewiss Stadium,Massimiliano Irrati,Match Report,
,,,,,,,,,,,,,
32.0,Fri,2023-04-28,18:30,Lecce,2.0,1–0,0.7,Udinese,23069.0,Stadio Comunale Via Del Mare,Matteo Marchetti,Match Report,
32.0,Fri,2023-04-28,20:45,Spezia,1.7,0–2,0.9,Monza,9200.0,Stadio Alberto Picco,Antonio Rapuano,Match Report,
32.0,Sat,2023-04-29,18:00,Roma,1.0,1–1,1.0,Milan,64191.0,Stadio Olimpico,Daniele Orsato,Match Report,
32.0,Sat,2023-04-29,20:45,Torino,0.3,1–2,0.5,Atalanta,20196.0,Stadio Olimpico di Torino,Juan Sacchi,Match Report,
32.0,Sun,2023-04-30,12:30,Inter,3.1,3–1,0.8,Lazio,75500.0,Stadio Giuseppe Meazza,Marco Guida,Match Report,
32.0,Sun,2023-04-30,15:00,Napoli,1.6,1–1,0.3,Salernitana,54726.0,Stadio Diego Armando Maradona,Matteo Marcenaro,Match Report,
32.0,Sun,2023-04-30,15:00,Cremonese,0.7,1–1,1.1,Hellas Verona,11645.0,Stadio Giovanni Zini,Daniele Doveri,Match Report,
32.0,Sun,2023-04-30,15:00,Sassuolo,1.8,2–1,0.4,Empoli,10267.0,Mapei Stadium - Città del Tricolore,Federico Dionisi,Match Report,
32.0,Sun,2023-04-30,18:00,Fiorentina,1.7,5–0,0.4,Sampdoria,30602.0,Stadio Artemio Franchi,Antonio Giua,Match Report,
32.0,Sun,2023-04-30,20:45,Bologna,1.9,1–1,2.7,Juventus,30071.0,Stadio Renato Dall'Ara,Simone Sozza,Match Report,
,,,,,,,,,,,,,
33.0,Wed,2023-05-03,18:00,Atalanta,0.8,3–2,1.0,Spezia,17417.0,Gewiss Stadium,Livio Marinelli,Match Report,
33.0,Wed,2023-05-03,18:00,Salernitana,1.1,3–3,1.9,Fiorentina,17868.0,Stadio Arechi,Ivan Pezzuto,Match Report,
33.0,Wed,2023-05-03,18:00,Sampdoria,0.3,0–2,2.0,Torino,16865.0,Stadio Comunale Luigi Ferraris,Giacomo Camplone,Match Report,
33.0,Wed,2023-05-03,18:00,Juventus,1.8,2–1,1.7,Lecce,33757.0,Allianz Stadium,Francesco Fourneau,Match Report,
33.0,Wed,2023-05-03,21:00,Milan,1.6,1–1,1.2,Cremonese,68136.0,Stadio Giuseppe Meazza,Luca Pairetto,Match Report,
33.0,Wed,2023-05-03,21:00,Lazio,1.9,2–0,0.9,Sassuolo,35000.0,Stadio Olimpico,Massimiliano Irrati,Match Report,
33.0,Wed,2023-05-03,21:00,Hellas Verona,0.5,0–6,2.4,Inter,19409.0,Stadio Marc'Antonio Bentegodi,Daniele Orsato,Match Report,
33.0,Wed,2023-05-03,21:00,Monza,0.9,1–1,1.0,Roma,12388.0,U-Power Stadium,Daniele Chiffi,Match Report,
33.0,Thu,2023-05-04,20:45,Empoli,1.0,3–1,2.0,Bologna,8349.0,Stadio Carlo Castellani,Federico La Penna,Match Report,
33.0,Thu,2023-05-04,20:45,Udinese,0.3,1–1,0.5,Napoli,24911.0,Dacia Arena,Rosario Abisso,Match Report,
,,,,,,,,,,,,,
34.0,Sat,2023-05-06,15:00,Milan,0.8,2–0,1.2,Lazio,72365.0,Stadio Giuseppe Meazza,Antonio Rapuano,Match Report,
34.0,Sat,2023-05-06,18:00,Roma,0.9,0–2,0.7,Inter,61870.0,Stadio Olimpico,Fabio Maresca,Match Report,
34.0,Sat,2023-05-06,20:45,Cremonese,0.9,2–0,1.3,Spezia,10260.0,Stadio Giovanni Zini,Marco Guida,Match Report,
34.0,Sun,2023-05-07,12:30,Atalanta,1.1,0–2,1.0,Juventus,19570.0,Gewiss Stadium,Daniele Doveri,Match Report,
34.0,Sun,2023-05-07,15:00,Torino,0.9,1–1,0.9,Monza,19517.0,Stadio Olimpico di Torino,Luca Zufferli,Match Report,
34.0,Sun,2023-05-07,18:00,Napoli,2.0,1–0,1.1,Fiorentina,46522.0,Stadio Diego Armando Maradona,Matteo Marchetti,Match Report,
34.0,Sun,2023-05-07,20:45,Lecce,0.8,0–1,0.8,Hellas Verona,24768.0,Stadio Comunale Via Del Mare,Davide Massa,Match Report,
34.0,Mon,2023-05-08,18:30,Udinese,1.0,2–0,0.9,Sampdoria,20430.0,Dacia Arena,Niccolò Baroni,Match Report,
34.0,Mon,2023-05-08,18:30,Empoli,1.8,2–1,0.7,Salernitana,10760.0,Stadio Carlo Castellani,Manuel Volpi,Match Report,
34.0,Mon,2023-05-08,20:45,Sassuolo,0.3,1–1,0.5,Bologna,13664.0,Mapei Stadium - Città del Tricolore,Maria Sole Ferrieri Caputi,Match Report,
,,,,,,,,,,,,,
35.0,Fri,2023-05-12,20:45,Lazio,1.7,2–2,1.4,Lecce,40000.0,Stadio Olimpico,Fabio Maresca,Match Report,
35.0,Sat,2023-05-13,15:00,Salernitana,0.5,1–0,1.2,Atalanta,17400.0,Stadio Arechi,Marco Piccinini,Match Report,
35.0,Sat,2023-05-13,18:00,Spezia,1.8,2–0,1.0,Milan,11366.0,Stadio Alberto Picco,Daniele Doveri,Match Report,
35.0,Sat,2023-05-13,20:45,Inter,1.4,4–2,2.3,Sassuolo,71246.0,Stadio Giuseppe Meazza,Matteo Marcenaro,Match Report,
35.0,Sun,2023-05-14,12:30,Hellas Verona,0.5,0–1,1.8,Torino,19658.0,Stadio Marc'Antonio Bentegodi,Marco Di Bello,Match Report,
35.0,Sun,2023-05-14,15:00,Fiorentina,2.1,2–0,0.3,Udinese,27383.0,Stadio Artemio Franchi,Daniele Paterna,Match Report,
35.0,Sun,2023-05-14,15:00,Monza,1.3,2–0,1.1,Napoli,14455.0,U-Power Stadium,Francesco Cosso,Match Report,
35.0,Sun,2023-05-14,18:00,Bologna,0.4,0–0,1.2,Roma,23824.0,Stadio Renato Dall'Ara,Daniele Orsato,Match Report,
35.0,Sun,2023-05-14,20:45,Juventus,1.6,2–0,0.1,Cremonese,39439.0,Allianz Stadium,Daniele Chiffi,Match Report,
35.0,Mon,2023-05-15,20:45,Sampdoria,1.3,1–1,1.6,Empoli,16867.0,Stadio Comunale Luigi Ferraris,Ermanno Feliciani,Match Report,
,,,,,,,,,,,,,
