Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,11,11,0,0,0,0,0,0,0,0,0,0,5,0,1,Matches
2,Michel Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,129,117,12,7,0,1,4,0,4,2,2,0,110,0,2,Matches
3,Sergio Agüero,ar ARG,FW,eng Manchester City,30,1988,5.6,168,154,14,0,2,1,6,1,0,0,0,0,144,0,2,Matches
4,Jean-Eudes Aholou,ci CIV,"MF,FW",fr Monaco,24,1994,2.0,70,69,1,1,0,1,0,0,0,0,0,0,60,0,0,Matches
5,Youssef Aït Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,201,197,4,3,0,3,1,1,0,0,0,0,170,0,2,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,567,558,8,8,1,7,1,0,0,0,0,0,538,1,2,Matches
7,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,33,27,6,1,0,0,8,0,5,4,1,0,19,0,2,Matches
8,Yunus Akgün,tr TUR,MF,tr Galatasaray,18,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
9,Ilzat Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,187,183,1,1,0,4,2,0,0,0,0,0,151,3,6,Matches
10,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,178,105,73,21,0,0,0,0,0,0,0,0,86,0,0,Matches
11,Kevin Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2.0,98,95,2,2,0,1,0,0,0,0,0,0,83,1,1,Matches
12,David Alaba,at AUT,DF,de Bayern Munich,26,1992,7.0,445,371,71,4,0,2,18,64,3,1,2,0,359,3,8,Matches
13,Jordi Alba,es ESP,DF,es Barcelona,29,1989,11.0,1020,904,113,10,1,2,24,103,0,0,0,0,873,3,16,Matches
14,Raúl Albiol,es ESP,DF,it Napoli,32,1985,5.5,415,403,12,11,0,2,0,1,0,0,0,0,374,0,1,Matches
15,Paco Alcácer,es ESP,FW,de Dortmund,24,1993,4.0,97,90,6,0,1,0,1,0,0,0,0,0,69,1,1,Matches
16,Thiago Alcántara,es ESP,MF,de Bayern Munich,27,1991,4.3,333,315,16,11,1,14,3,0,2,2,0,0,283,2,4,Matches
17,Toby Alderweireld,be BEL,DF,eng Tottenham,29,1989,12.0,745,707,33,31,1,13,2,2,0,0,0,0,636,5,5,Matches
18,Alef,br BRA,MF,gr AEK Athens,23,1995,2.2,75,75,0,0,0,1,0,0,0,0,0,0,59,0,2,Matches
19,Carles Aleñá,es ESP,MF,es Barcelona,20,1998,1.0,56,54,2,2,0,0,0,0,0,0,0,0,54,0,1,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,10.2,733,565,167,22,2,14,73,120,25,12,10,0,471,1,17,Matches
21,Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,447,329,116,32,0,1,0,0,0,0,0,0,358,2,1,Matches
22,Allan,br BRA,MF,it Napoli,27,1991,5.7,382,369,12,6,1,3,0,1,0,0,0,0,343,1,2,Matches
23,Dele Alli,eng ENG,MF,eng Tottenham,22,1996,7.9,314,296,18,5,4,2,4,4,2,0,0,0,253,0,14,Matches
24,André Almeida,pt POR,DF,pt Benfica,27,1990,6.0,334,259,75,10,0,2,7,65,0,0,0,0,253,0,5,Matches
25,Dani Alves,br BRA,"FW,DF",fr Paris S-G,35,1983,2.3,179,164,13,4,2,1,12,9,0,0,0,0,145,2,6,Matches
26,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,20,1997,3.9,143,140,3,3,0,2,0,0,0,0,0,0,113,0,3,Matches
27,Nadiem Amiri,de GER,MF,de Hoffenheim,21,1996,0.3,21,19,2,0,0,0,2,0,2,1,1,0,16,0,1,Matches
28,Sofyan Amrabat,ma MAR,"DF,MF",be Club Brugge,21,1996,2.0,101,86,15,0,0,0,2,15,0,0,0,0,73,0,3,Matches
29,Angeliño,es ESP,DF,nl PSV Eindhoven,21,1997,6.0,222,173,48,11,2,2,17,36,0,0,0,0,147,1,3,Matches
30,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,20,1998,7.0,320,308,8,6,4,1,1,2,0,0,0,0,278,4,2,Matches
31,Alphonse Areola,fr FRA,GK,fr Paris S-G,25,1993,3.0,87,62,24,6,0,2,0,0,0,0,0,0,82,1,0,Matches
32,Santiago Arias,co COL,"DF,FW",es Atlético Madrid,26,1992,3.8,170,146,23,0,0,0,8,23,0,0,0,0,130,1,4,Matches
33,Kwadwo Asamoah,gh GHA,DF,it Inter,29,1988,5.8,311,266,44,5,2,1,12,39,0,0,0,0,258,1,4,Matches
34,Marco Asensio,es ESP,"FW,MF",es Real Madrid,22,1996,3.4,200,191,9,2,2,4,18,1,6,3,1,0,162,0,5,Matches
35,Roger Assalé,ci CIV,"FW,MF",ch Young Boys,24,1993,4.2,110,106,2,0,0,1,10,1,0,0,0,0,83,2,5,Matches
36,Serge Aurier,ci CIV,DF,eng Tottenham,25,1992,4.8,293,245,48,2,1,0,17,46,0,0,0,0,224,0,12,Matches
37,Chidozie Awaziem,ng NGA,MF,pt Porto,21,1997,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Serdar Aziz,tr TUR,DF,tr Galatasaray,27,1990,4.0,245,235,10,10,0,5,0,0,0,0,0,0,226,0,1,Matches
39,Srđan Babić,rs SRB,DF,rs Red Star,22,1996,2.5,103,101,2,2,0,1,0,0,0,0,0,0,82,0,0,Matches
40,Benoît Badiashile,fr FRA,DF,fr Monaco,17,2001,2.0,130,129,1,1,0,3,0,0,0,0,0,0,120,0,2,Matches
41,Loic Badiashile,fr FRA,GK,fr Monaco,20,1998,1.0,30,15,15,5,0,0,0,0,0,0,0,0,19,0,0,Matches
42,Eric Bailly,ci CIV,DF,eng Manchester Utd,24,1994,3.4,120,114,6,4,0,1,0,2,0,0,0,0,104,0,1,Matches
43,Michalis Bakakis,gr GRE,"DF,FW",gr AEK Athens,27,1991,5.8,246,190,54,5,0,0,6,49,0,0,0,0,173,2,11,Matches
44,Anastasios Bakasetas,gr GRE,FW,gr AEK Athens,25,1993,2.0,110,103,7,1,2,2,8,1,5,2,0,0,85,0,4,Matches
45,Keita Baldé,sn SEN,"FW,MF",it Inter,23,1995,0.8,25,25,0,0,1,0,4,0,0,0,0,0,20,0,1,Matches
46,Gareth Bale,wls WAL,FW,es Real Madrid,29,1989,5.4,222,215,4,0,1,6,13,3,0,0,0,0,170,3,10,Matches
47,David von Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4.0,151,81,69,33,0,0,0,0,0,0,0,0,87,1,0,Matches
48,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,21,1996,3.2,115,109,6,3,0,1,0,2,0,0,0,0,83,0,3,Matches
49,Vasilios Barkas,gr GRE,GK,gr AEK Athens,24,1994,6.0,210,133,76,22,0,0,0,0,0,0,0,0,121,1,0,Matches
50,Antonio Barreca,it ITA,DF,fr Monaco,23,1995,1.0,85,74,11,0,0,0,12,11,0,0,0,0,65,0,2,Matches
51,Andrea Barzagli,it ITA,DF,it Juventus,37,1981,1.2,78,74,4,3,0,0,0,1,0,0,0,0,68,0,1,Matches
52,Michy Batshuayi,be BEL,FW,es Valencia,24,1993,3.8,103,96,7,0,0,1,0,1,0,0,0,0,80,0,5,Matches
53,Oliver Baumann,de GER,GK,de Hoffenheim,28,1990,6.0,222,148,72,17,0,1,0,0,0,0,0,0,162,2,0,Matches
54,Ömer Bayram,tr TUR,DF,tr Galatasaray,27,1991,0.6,50,43,7,2,0,0,5,5,0,0,0,0,38,0,3,Matches
55,Riechedly Bazoer,nl NED,MF,pt Porto,21,1996,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
56,Rodrigo Becão,br BRA,DF,ru CSKA Moscow,22,1996,6.0,236,228,7,7,0,1,0,0,0,0,0,0,195,1,0,Matches
57,Donny van de Beek,nl NED,MF,nl Ajax,21,1997,10.9,332,316,14,0,1,1,1,1,0,0,0,0,255,2,15,Matches
58,Ishak Belfodil,dz ALG,"FW,MF",de Hoffenheim,26,1992,3.8,99,96,1,0,0,0,5,0,0,0,0,0,71,2,1,Matches
59,Younès Belhanda,ma MAR,MF,tr Galatasaray,28,1990,3.6,171,141,30,11,2,1,16,9,10,7,2,0,128,0,2,Matches
60,Diego Benaglio,ch SUI,GK,fr Monaco,34,1983,4.5,119,75,44,10,0,0,0,0,0,0,0,0,100,0,0,Matches
61,Medhi Benatia,ma MAR,DF,it Juventus,31,1987,1.0,73,73,0,0,0,1,0,0,0,0,0,0,69,0,0,Matches
62,Loris Benito,ch SUI,DF,ch Young Boys,26,1992,6.0,304,268,34,6,0,2,13,28,0,0,0,0,227,2,7,Matches
63,Nabil Bentaleb,dz ALG,MF,de Schalke 04,23,1994,4.7,223,212,9,6,0,0,7,1,2,0,2,0,176,2,2,Matches
64,Rodrigo Bentancur,uy URU,MF,it Juventus,21,1997,6.1,349,346,3,0,1,4,7,2,0,0,0,0,292,0,5,Matches
65,Karim Benzema,fr FRA,FW,es Real Madrid,30,1987,6.5,262,245,17,2,1,1,6,1,0,0,0,0,222,0,10,Matches
66,Steve von Bergen,ch SUI,DF,ch Young Boys,35,1983,4.5,154,145,7,7,0,2,0,0,0,0,0,0,131,2,1,Matches
67,Steven Bergwijn,nl NED,FW,nl PSV Eindhoven,20,1997,4.4,100,97,3,0,3,1,3,1,0,0,0,0,80,0,4,Matches
68,Federico Bernardeschi,it ITA,"MF,FW",it Juventus,24,1994,6.1,219,191,26,8,0,8,29,5,10,3,7,0,164,2,6,Matches
69,Juan Bernat,es ESP,DF,fr Paris S-G,25,1993,7.5,414,358,56,6,0,1,12,50,0,0,0,0,360,0,10,Matches
