Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
447,Nacho,es ESP,DF,es Real Madrid,28,1990,5.0,0,4,1,25.0,0.80,0.20,0.00,0.00,15.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
448,Yuto Nagatomo,jp JPN,DF,tr Galatasaray,31,1986,4.9,0,1,1,100.0,0.20,0.20,0.00,0.00,9.0,0,0,0,0.6,0.6,0.56,-0.6,-0.6,Matches
449,Radja Nainggolan,be BEL,MF,it Inter,30,1988,3.1,1,8,3,37.5,2.59,0.97,0.13,0.33,21.2,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
450,Marvelous Nakamba,zw ZIM,MF,be Club Brugge,24,1994,4.4,0,2,1,50.0,0.46,0.23,0.00,0.00,29.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
451,Naldo,br BRA,DF,de Schalke 04,35,1982,4.0,0,5,0,0.0,1.25,0.00,0.00,,12.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
452,Matija Nastasić,rs SRB,DF,de Schalke 04,25,1993,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
453,Keylor Navas,cr CRC,GK,es Real Madrid,31,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
454,Badou Ndiaye,sn SEN,MF,tr Galatasaray,27,1990,4.7,0,7,1,14.3,1.49,0.21,0.00,0.00,29.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
455,Tanguy Ndombele,fr FRA,MF,fr Lyon,21,1996,7.1,2,9,2,22.2,1.28,0.28,0.22,1.00,20.3,0,0,0,0.5,0.5,0.06,+1.5,+1.5,Matches
456,Reiss Nelson,eng ENG,"FW,MF",de Hoffenheim,18,1999,1.3,0,3,1,33.3,2.31,0.77,0.00,0.00,15.2,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
457,Wellington Nem,br BRA,FW,ua Shakhtar,26,1992,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
458,David Neres,br BRA,FW,nl Ajax,21,1997,9.4,2,11,4,36.4,1.17,0.42,0.18,0.50,14.3,0,0,0,2.5,2.5,0.23,-0.5,-0.5,Matches
459,Neto,br BRA,GK,es Valencia,29,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
460,Manuel Neuer,de GER,GK,de Bayern Munich,32,1986,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
461,Neymar,br BRA,"MF,FW",fr Paris S-G,26,1992,5.9,5,24,16,66.7,4.07,2.71,0.21,0.31,18.9,8,0,0,3.4,3.4,0.14,+1.6,+1.6,Matches
462,Moumi Ngamaleu,cm CMR,"FW,MF",ch Young Boys,24,1994,2.2,0,5,2,40.0,2.24,0.90,0.00,0.00,14.0,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
463,Cyril Ngonge,be BEL,DF,be Club Brugge,18,2000,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
464,Saúl Ñíguez,es ESP,"MF,DF",es Atlético Madrid,23,1994,7.0,1,14,3,21.4,2.00,0.43,0.07,0.33,17.4,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
465,Takuma Nishimura,jp JPN,FW,ru CSKA Moscow,21,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
466,Håvard Nordtveit,no NOR,"DF,MF",de Hoffenheim,28,1990,2.1,1,2,1,50.0,0.97,0.49,0.50,1.00,12.8,0,0,0,0.4,0.4,0.22,+0.6,+0.6,Matches
467,Jean-Pierre Nsame,cm CMR,FW,ch Young Boys,25,1993,1.6,0,4,0,0.0,2.57,0.00,0.00,,18.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
468,Alexander Nübel,de GER,GK,de Schalke 04,21,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
469,Kasim Nuhu,gh GHA,DF,de Hoffenheim,23,1995,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
470,Steven Nzonzi,fr FRA,MF,it Roma,29,1988,6.8,0,3,2,66.7,0.44,0.30,0.00,0.00,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
471,Jan Oblak,si SVN,GK,es Atlético Madrid,25,1993,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
472,Ivan Oblyakov,ru RUS,"MF,FW",ru CSKA Moscow,20,1998,5.4,0,6,2,33.3,1.12,0.37,0.00,0.00,16.0,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Matches
473,Bastian Oczipka,de GER,DF,de Schalke 04,29,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
474,Álvaro Odriozola,es ESP,DF,es Real Madrid,22,1995,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
