Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
1,Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,5,2,0,4,1,1,4,25.0,3,7,2,5,1,6,10,0,Matches
2,Tyler Adams,us USA,"MF,DF",de RB Leipzig,20,1999,0.9,1,0,1,0,0,0,1,0.0,1,1,1,0,0,1,2,0,Matches
3,Arijan Ademi,mk MKD,"MF,DF",hr Dinamo Zagreb,28,1991,5.7,8,2,4,4,0,2,9,22.2,7,4,0,4,2,10,12,0,Matches
4,Adrián,es ESP,GK,eng Liverpool,32,1987,3.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,2.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,11,7,8,2,1,5,10,50.0,5,7,4,3,9,20,9,0,Matches
7,David Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,7,6,6,1,0,4,5,80.0,1,5,3,2,6,13,17,3,Matches
8,Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,2,1,1,1,0,0,1,0.0,1,0,0,0,3,5,1,0,Matches
9,Jordi Alba,es ESP,DF,es Barcelona,30,1989,3.9,1,1,0,1,0,0,3,0.0,3,5,3,2,7,8,9,0,Matches
10,Paco Alcácer,es ESP,FW,de Dortmund,25,1993,1.3,1,1,0,0,1,0,1,0.0,1,0,0,0,4,5,2,0,Matches
11,Thiago Alcántara,es ESP,MF,de Bayern Munich,28,1991,9.1,34,23,10,21,3,11,23,47.8,12,6,0,6,23,57,4,0,Matches
12,Toby Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,7,3,5,2,0,4,6,66.7,2,7,3,4,3,10,34,0,Matches
13,Carles Aleñá,es ESP,MF,es Barcelona,21,1998,1.0,1,0,1,0,0,1,5,20.0,4,1,0,1,1,2,0,0,Matches
14,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,16,11,7,8,1,9,14,64.3,5,2,1,1,7,23,6,0,Matches
15,Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
16,Allan,br BRA,MF,it Napoli,28,1991,4.9,23,15,13,8,2,16,30,53.3,14,14,2,12,4,27,11,1,Matches
17,Dele Alli,eng ENG,"MF,FW",eng Tottenham,23,1996,5.7,6,4,3,2,1,3,9,33.3,6,5,2,3,5,11,1,0,Matches
18,André Almeida,pt POR,DF,pt Benfica,28,1990,1.0,2,1,2,0,0,2,2,100.0,0,2,1,1,1,3,5,0,Matches
19,Marcos Alonso,es ESP,DF,eng Chelsea,28,1990,4.4,5,4,4,1,0,1,3,33.3,2,1,0,1,6,11,14,0,Matches
20,Éder Álvarez Balanta,co COL,MF,be Club Brugge,26,1993,3.2,9,5,1,4,4,3,12,25.0,9,6,1,5,6,15,2,0,Matches
21,Edson Álvarez,mx MEX,MF,nl Ajax,21,1997,4.2,14,9,7,4,3,8,16,50.0,8,6,4,2,5,19,7,0,Matches
