Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
1,Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,3,21,9,42.9,3.34,1.43,0.14,0.33,9.0,0,0,0,4.9,4.9,0.23,-1.9,-1.9,Matches
2,Tyler Adams,us USA,"MF,DF",de RB Leipzig,20,1999,0.9,1,2,1,50.0,2.20,1.10,0.50,1.00,15.9,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches
3,Arijan Ademi,mk MKD,"MF,DF",hr Dinamo Zagreb,28,1991,5.7,1,2,1,50.0,0.35,0.17,0.50,1.00,3.5,0,0,0,0.8,0.8,0.41,+0.2,+0.2,Matches
4,Adrián,es ESP,GK,eng Liverpool,32,1987,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,2.2,2,8,5,62.5,3.67,2.30,0.13,0.20,12.7,0,1,1,3.5,2.7,0.34,-1.5,-1.7,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,0,3,0,0.0,0.52,0.00,0.00,,22.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
7,David Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,0,5,1,20.0,0.67,0.13,0.00,0.00,27.5,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
8,Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,0,9,2,22.2,3.79,0.84,0.00,0.00,13.0,0,0,0,1.2,1.2,0.14,-1.2,-1.2,Matches
9,Jordi Alba,es ESP,DF,es Barcelona,30,1989,3.9,0,1,0,0.0,0.25,0.00,0.00,,30.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
10,Paco Alcácer,es ESP,FW,de Dortmund,25,1993,1.3,0,4,0,0.0,3.19,0.00,0.00,,13.4,1,0,0,1.2,1.2,0.31,-1.2,-1.2,Matches
11,Thiago Alcántara,es ESP,MF,de Bayern Munich,28,1991,9.1,0,7,1,14.3,0.77,0.11,0.00,0.00,15.7,0,0,0,1.5,1.5,0.21,-1.5,-1.5,Matches
12,Toby Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Carles Aleñá,es ESP,MF,es Barcelona,21,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
14,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,0,6,1,16.7,0.93,0.15,0.00,0.00,22.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
15,Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
16,Allan,br BRA,MF,it Napoli,28,1991,4.9,0,2,0,0.0,0.40,0.00,0.00,,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
17,Dele Alli,eng ENG,"MF,FW",eng Tottenham,23,1996,5.7,1,7,4,57.1,1.22,0.70,0.14,0.25,12.7,0,0,0,1.3,1.3,0.19,-0.3,-0.3,Matches
18,André Almeida,pt POR,DF,pt Benfica,28,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Marcos Alonso,es ESP,DF,eng Chelsea,28,1990,4.4,0,12,5,41.7,2.72,1.13,0.00,0.00,15.8,3,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
20,Éder Álvarez Balanta,co COL,MF,be Club Brugge,26,1993,3.2,0,2,0,0.0,0.63,0.00,0.00,,23.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
21,Edson Álvarez,mx MEX,MF,nl Ajax,21,1997,4.2,1,6,2,33.3,1.43,0.48,0.17,0.50,12.4,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
22,Nadiem Amiri,de GER,"FW,MF",de Leverkusen,22,1996,2.6,0,7,2,28.6,2.65,0.76,0.00,0.00,23.8,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
23,Ethan Ampadu,wls WAL,DF,de RB Leipzig,18,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
24,Joachim Andersen,dk DEN,DF,fr Lyon,23,1996,4.4,1,1,1,100.0,0.23,0.23,1.00,1.00,7.7,0,0,0,0.3,0.3,0.35,+0.7,+0.7,Matches
25,Florin Andone,ro ROU,FW,tr Galatasaray,26,1993,1.8,0,8,2,25.0,4.44,1.11,0.00,0.00,17.3,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
26,Benjamin André,fr FRA,MF,fr Lille,28,1990,4.5,0,10,2,20.0,2.23,0.45,0.00,0.00,13.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
27,Miguel Ángel Guerrero,es ESP,FW,gr Olympiacos,29,1990,3.5,0,9,1,11.1,2.56,0.28,0.00,0.00,20.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
28,Angeliño,es ESP,"DF,MF",de RB Leipzig,22,1997,4.0,0,3,2,66.7,0.75,0.50,0.00,0.00,16.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
29,Angeliño,es ESP,DF,eng Manchester City,22,1997,1.0,0,1,0,0.0,1.00,0.00,0.00,,27.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
30,Marcos Antônio,br BRA,MF,ua Shakhtar,19,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,21,1998,7.9,1,9,5,55.6,1.14,0.63,0.11,0.20,16.5,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
32,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,3.1,3,4,2,50.0,1.29,0.65,0.50,1.00,16.3,0,1,1,1.4,0.6,0.14,+1.6,+1.4,Matches
33,Charles Aránguiz,cl CHI,MF,de Leverkusen,30,1989,4.6,0,5,0,0.0,1.09,0.00,0.00,,20.6,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches
34,Luiz Araújo,br BRA,"FW,MF",fr Lille,23,1996,3.1,0,9,4,44.4,2.92,1.30,0.00,0.00,23.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
35,Alphonse Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Santiago Arias,co COL,DF,es Atlético Madrid,27,1992,2.0,0,1,0,0.0,0.50,0.00,0.00,,25.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
37,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
38,Kwadwo Asamoah,gh GHA,"FW,DF",it Inter,30,1988,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,Marco Asensio,es ESP,FW,es Real Madrid,23,1996,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Majeed Ashimeru,gh GHA,MF,at RB Salzburg,21,1997,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
