Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
236,Bruno Guimarães,br BRA,MF,fr Lyon,21,1997,3.3,3,0.92,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
237,Péter Gulácsi,hu HUN,GK,de RB Leipzig,29,1990,9.7,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
238,İlkay Gündoğan,de GER,MF,eng Manchester City,28,1990,9.0,32,3.56,28,0,0,3,0,1,5,0.56,4,0,0,1,0,0,Matches
239,Erling Haaland,no NOR,FW,at RB Salzburg,19,2000,4.1,10,2.41,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
240,Erling Haaland,no NOR,FW,de Dortmund,19,2000,2.0,2,1.00,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
241,Ianis Hagi,ro ROU,MF,be Genk,20,1998,1.6,12,7.55,7,4,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
242,Amadou Haidara,ml MLI,"MF,FW",de RB Leipzig,21,1998,3.0,11,3.65,9,0,1,0,0,1,1,0.33,1,0,0,0,0,0,Matches
243,Izet Hajrović,ba BIH,MF,hr Dinamo Zagreb,27,1991,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
244,Achraf Hakimi,ma MAR,"MF,DF",de Dortmund,20,1998,7.9,25,3.18,19,0,2,2,2,0,2,0.25,1,0,1,0,0,0,Matches
245,Marcel Halstenberg,de GER,DF,de RB Leipzig,27,1991,5.7,16,2.79,15,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
246,Samir Handanović,si SVN,GK,it Inter,35,1984,6.0,2,0.33,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
247,Taylor Harwood-Bellis,eng ENG,DF,eng Manchester City,17,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
248,Hans Hateboer,nl NED,DF,it Atalanta,25,1994,6.6,7,1.07,5,0,1,0,1,0,1,0.15,1,0,0,0,0,0,Matches
249,Kai Havertz,de GER,"MF,FW",de Leverkusen,20,1999,4.8,10,2.08,9,1,0,0,0,0,1,0.21,1,0,0,0,0,0,Matches
250,Eden Hazard,be BEL,FW,es Real Madrid,28,1991,5.0,24,4.77,19,0,2,2,1,0,1,0.20,1,0,0,0,0,0,Matches
251,Thorgan Hazard,be BEL,"FW,MF",de Dortmund,26,1993,5.3,19,3.60,16,2,1,0,0,0,1,0.19,1,0,0,0,0,0,Matches
252,Hwang Hee-chan,kr KOR,FW,at RB Salzburg,23,1996,6.0,28,4.67,20,0,4,1,2,1,6,1.00,3,0,1,0,2,0,Matches
253,Jordan Henderson,eng ENG,MF,eng Liverpool,29,1990,5.7,16,2.82,15,0,0,1,0,0,1,0.18,1,0,0,0,0,0,Matches
254,Mario Hermoso,es ESP,DF,es Atlético Madrid,24,1995,3.9,2,0.51,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
255,Lucas Hernández,fr FRA,DF,de Bayern Munich,23,1996,1.7,2,1.16,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
256,Ander Herrera,es ESP,MF,fr Paris S-G,29,1989,3.6,6,1.67,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
257,Héctor Herrera,mx MEX,MF,es Atlético Madrid,29,1990,2.9,12,4.08,10,0,0,1,0,1,1,0.34,0,0,0,1,0,0,Matches
258,Son Heung-min,kr KOR,FW,eng Tottenham,27,1992,4.1,16,3.95,9,0,3,2,2,0,2,0.49,1,0,0,1,0,0,Matches
259,Bryan Heynen,be BEL,"MF,FW",be Genk,22,1997,2.9,7,2.38,1,4,0,1,1,0,1,0.34,0,1,0,0,0,0,Matches
260,Gonzalo Higuaín,ar ARG,FW,it Juventus,31,1987,5.7,15,2.65,8,0,3,2,2,0,1,0.18,1,0,0,0,0,0,Matches
261,David Hovorka,cz CZE,DF,cz Slavia Prague,25,1993,3.0,6,2.00,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
262,Benedikt Höwedes,de GER,DF,ru Loko Moscow,31,1988,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
263,Lukáš Hrádecký,fi FIN,GK,de Leverkusen,29,1989,6.0,1,0.17,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
264,Patrik Hrošovský,sk SVK,MF,be Genk,27,1992,4.6,10,2.18,8,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
265,Callum Hudson-Odoi,eng ENG,"FW,MF",eng Chelsea,18,2000,2.9,16,5.48,7,3,4,1,0,1,4,1.37,2,0,1,1,0,0,Matches
266,Mats Hummels,de GER,DF,de Dortmund,30,1988,8.0,4,0.50,4,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
267,Klaas-Jan Huntelaar,nl NED,FW,nl Ajax,35,1983,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
268,Josef Hušbauer,cz CZE,MF,cz Slavia Prague,29,1990,2.3,6,2.58,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
269,Roger Ibanez,br BRA,"DF,FW",it Atalanta,20,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
270,Mauro Icardi,ar ARG,FW,fr Paris S-G,26,1993,5.3,6,1.14,6,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
271,Brian Idowu,ng NGA,DF,ru Loko Moscow,27,1992,2.7,2,0.75,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
272,Vladislav Ignatyev,ru RUS,"DF,MF",ru Loko Moscow,32,1987,4.9,5,1.03,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
273,Jonathan Ikone,fr FRA,"MF,FW",fr Lille,21,1998,2.7,16,6.03,11,0,4,1,0,0,1,0.38,0,0,1,0,0,0,Matches
274,Josip Iličić,si SVN,"FW,MF",it Atalanta,31,1988,5.7,35,6.13,13,5,7,4,6,0,5,0.88,1,0,2,0,2,0,Matches
275,Selçuk İnan,tr TUR,"MF,FW",tr Galatasaray,34,1985,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
276,Lorenzo Insigne,it ITA,"MF,FW",it Napoli,28,1991,3.9,23,5.93,17,0,4,2,0,0,1,0.26,1,0,0,0,0,0,Matches
277,Isco,es ESP,"MF,FW",es Real Madrid,27,1992,3.0,8,2.67,5,0,0,2,0,1,2,0.67,1,0,0,1,0,0,Matches
278,Ismaily,br BRA,DF,ua Shakhtar,29,1990,6.0,11,1.83,9,0,2,0,0,0,1,0.17,1,0,0,0,0,0,Matches
279,Junya Ito,jp JPN,"MF,FW",be Genk,26,1993,4.9,12,2.47,8,0,0,1,2,1,0,0.00,0,0,0,0,0,0,Matches
280,Mirko Ivanić,me MNE,MF,rs Red Star,25,1993,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
281,Branislav Ivanović,rs SRB,DF,ru Zenit,35,1984,5.8,2,0.35,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
282,Luka Ivanušec,hr CRO,"MF,DF",hr Dinamo Zagreb,20,1998,1.1,1,0.89,0,0,1,0,0,0,1,0.89,0,0,1,0,0,0,Matches
283,Reece James,eng ENG,DF,eng Chelsea,19,1999,4.2,10,2.36,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
284,Jardel,br BRA,DF,pt Benfica,33,1986,1.8,1,0.55,1,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Matches
285,Léo Jardim,br BRA,GK,fr Lille,24,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
286,Gabriel Jesus,br BRA,"FW,MF",eng Manchester City,22,1997,6.5,31,4.74,20,0,4,2,3,2,6,0.92,4,0,1,0,0,1,Matches
287,Frenkie de Jong,nl NED,MF,es Barcelona,22,1997,8.3,15,1.80,14,0,1,0,0,0,1,0.12,1,0,0,0,0,0,Matches
288,Siem de Jong,nl NED,MF,nl Ajax,30,1989,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
289,Jorginho,it ITA,MF,eng Chelsea,27,1991,6.8,11,1.62,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
290,Jota,pt POR,FW,pt Benfica,20,1999,0.7,1,1.34,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
291,Dušan Jovančić,rs SRB,MF,rs Red Star,28,1990,2.0,5,2.56,3,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
292,Luka Jović,rs SRB,FW,es Real Madrid,21,1997,1.3,2,1.49,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
293,Vinicius Júnior,br BRA,FW,es Real Madrid,19,2000,2.2,8,3.71,7,0,0,0,1,0,2,0.93,1,0,0,0,1,0,Matches
294,Zlatko Junuzović,at AUT,MF,at RB Salzburg,31,1987,5.6,18,3.21,12,5,0,1,0,0,4,0.71,4,0,0,0,0,0,Matches
295,Damian Kądzior,pl POL,"MF,FW",hr Dinamo Zagreb,27,1992,0.7,2,3.05,2,0,0,0,0,0,1,1.53,1,0,0,0,0,0,Matches
296,Kevin Kampl,si SVN,MF,de RB Leipzig,28,1990,3.2,8,2.50,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
297,Harry Kane,eng ENG,FW,eng Tottenham,26,1993,5.0,17,3.40,9,0,3,3,2,0,2,0.40,1,0,0,0,1,0,Matches
298,Lee Kang-in,kr KOR,"MF,FW",es Valencia,18,2001,1.4,2,1.42,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
299,N'Golo Kanté,fr FRA,MF,eng Chelsea,28,1991,4.0,17,4.25,15,0,0,1,0,1,2,0.50,2,0,0,0,0,0,Matches
300,Vyacheslav Karavayev,ru RUS,DF,ru Zenit,24,1995,4.6,7,1.52,4,1,1,1,0,0,1,0.22,1,0,0,0,0,0,Matches
301,Thilo Kehrer,de GER,DF,fr Paris S-G,22,1996,4.2,8,1.91,5,0,0,0,3,0,1,0.24,1,0,0,0,0,0,Matches
302,Naby Keïta,gn GUI,"MF,FW",eng Liverpool,24,1995,2.8,14,5.04,8,0,2,3,1,0,1,0.36,1,0,0,0,0,0,Matches
303,Mikhail Kerzhakov,ru RUS,GK,ru Zenit,32,1987,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
304,Sami Khedira,de GER,MF,it Juventus,32,1987,2.9,5,1.72,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
305,Joshua Kimmich,de GER,"DF,MF",de Bayern Munich,24,1995,10.0,48,4.78,31,12,2,1,1,1,6,0.60,4,1,1,0,0,0,Matches
306,Presnel Kimpembe,fr FRA,DF,fr Paris S-G,23,1995,10.0,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
307,Simon Kjær,dk DEN,DF,it Atalanta,30,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
308,Lukas Klostermann,de GER,DF,de RB Leipzig,23,1996,9.0,11,1.22,10,0,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches
309,Anton Kochenkov,kg KGZ,GK,ru Loko Moscow,32,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
310,Sekou Koita,ml MLI,MF,at RB Salzburg,19,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
311,Koke,es ESP,MF,es Atlético Madrid,27,1992,8.8,34,3.99,27,7,0,0,0,0,4,0.47,2,2,0,0,0,0,Matches
312,Ondřej Kolář,cz CZE,GK,cz Slavia Prague,24,1994,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
313,Aleksandr Kolomeytsev,ru RUS,MF,ru Loko Moscow,30,1989,0.2,1,4.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
314,Ibrahima Konaté,fr FRA,DF,de RB Leipzig,20,1999,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
315,Geoffrey Kondogbia,cf CTA,"MF,DF",es Valencia,26,1993,4.5,6,1.33,5,0,1,0,0,0,1,0.22,1,0,0,0,0,0,Matches
316,Youssouf Koné,ml MLI,DF,fr Lyon,24,1995,4.4,5,1.15,3,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
317,Yevhen Konoplyanka,ua UKR,"FW,MF",ua Shakhtar,29,1989,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
318,Odilon Kossounou,ci CIV,DF,be Club Brugge,18,2001,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
319,Kalidou Koulibaly,sn SEN,DF,it Napoli,28,1991,7.0,8,1.14,8,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
320,Mateo Kovačić,hr CRO,MF,eng Chelsea,25,1994,6.8,17,2.51,15,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
321,Viktor Kovalenko,ua UKR,MF,ua Shakhtar,23,1996,3.7,5,1.34,5,0,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
322,Rasmus Kristensen,dk DEN,DF,at RB Salzburg,22,1997,5.9,4,0.68,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
323,Toni Kroos,de GER,MF,es Real Madrid,29,1990,6.0,44,7.33,24,15,0,2,2,1,4,0.67,2,1,0,0,1,0,Matches
324,Grzegorz Krychowiak,pl POL,MF,ru Loko Moscow,29,1990,5.9,10,1.69,7,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
325,Serhiy Kryvtsov,ua UKR,DF,ua Shakhtar,28,1991,6.0,2,0.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
326,Ondřej Kúdela,cz CZE,DF,cz Slavia Prague,32,1987,6.0,3,0.50,1,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
327,Daniil Kulikov,ru RUS,MF,ru Loko Moscow,21,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
328,Layvin Kurzawa,fr FRA,DF,fr Paris S-G,26,1992,2.3,1,0.44,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
329,Daler Kuzyaev,ru RUS,MF,ru Zenit,26,1993,1.5,8,5.22,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
330,Saba Kvirkvelia,ge GEO,DF,ru Loko Moscow,27,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
331,Rajiv van La Parra,nl NED,FW,rs Red Star,28,1991,3.9,7,1.78,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
332,Zakaria Labyad,ma MAR,FW,nl Ajax,26,1993,0.5,1,2.05,1,0,0,0,0,0,1,2.05,1,0,0,0,0,0,Matches
333,Konrad Laimer,at AUT,"MF,DF",de RB Leipzig,22,1997,7.9,27,3.41,21,0,2,1,3,0,3,0.38,2,0,0,0,1,0,Matches
334,Érik Lamela,ar ARG,"MF,FW",eng Tottenham,27,1992,2.6,5,1.94,3,1,0,1,0,0,2,0.78,1,1,0,0,0,0,Matches
335,Noa Lang,nl NED,FW,nl Ajax,20,1999,1.4,5,3.49,5,0,0,0,0,0,1,0.70,1,0,0,0,0,0,Matches
336,Aymeric Laporte,es ESP,DF,eng Manchester City,25,1994,2.4,1,0.42,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
337,Valentino Lazaro,at AUT,"DF,FW",it Inter,23,1996,1.2,2,1.73,2,0,0,0,0,0,1,0.87,1,0,0,0,0,0,Matches
338,Thomas Lemar,fr FRA,MF,es Atlético Madrid,23,1995,2.6,16,6.23,8,3,2,1,1,1,2,0.78,2,0,0,0,0,0,Matches
339,Mario Lemina,ga GAB,MF,tr Galatasaray,25,1993,3.7,5,1.37,1,0,2,1,0,1,0,0.00,0,0,0,0,0,0,Matches
340,Clément Lenglet,fr FRA,DF,es Barcelona,24,1995,8.0,2,0.25,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
341,Marin Leovac,hr CRO,"DF,MF",hr Dinamo Zagreb,30,1988,5.0,9,1.80,7,1,0,0,1,0,2,0.40,2,0,0,0,0,0,Matches
