Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
1,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,28,1986,6.0,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Miguel Ángel Moyá,es ESP,GK,es Atlético Madrid,30,1984,6.3,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Sinan Bolat,tr TUR,GK,tr Galatasaray,25,1988,1.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Milan Borjan,ca CAN,GK,bg Ludogorets,26,1987,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Gianluigi Buffon,it ITA,GK,it Juventus,36,1978,13.0,10,,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Iker Casillas,es ESP,GK,es Real Madrid,33,1981,10.0,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Petr Čech,cz CZE,GK,eng Chelsea,32,1982,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Júlio César,br BRA,GK,pt Benfica,34,1979,3.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Sergei Chernik,by BLR,GK,by BATE Borisov,26,1988,5.0,21,,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Jasper Cillessen,nl NED,GK,nl Ajax,25,1989,6.0,10,,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Thibaut Courtois,be BEL,GK,eng Chelsea,22,1992,5.3,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Morgan De Sanctis,it ITA,GK,it Roma,37,1977,4.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Fabiano,br BRA,GK,pt Porto,26,1988,9.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Ralf Fährmann,de GER,GK,de Schalke 04,25,1988,6.0,14,,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Andrés Fernández,es ESP,GK,pt Porto,27,1986,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Jasmin Handanović,si SVN,GK,si NK Maribor,36,1978,6.0,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Joe Hart,eng ENG,GK,eng Manchester City,27,1987,8.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Gorka Iraizoz,es ESP,GK,es Athletic Club,33,1981,6.0,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Mitchell Langerak,au AUS,GK,de Dortmund,25,1988,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Bernd Leno,de GER,GK,de Leverkusen,22,1992,8.3,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Yuri Lodygin,ru RUS,GK,ru Zenit,24,1990,6.0,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Paulo Lopes,pt POR,GK,pt Benfica,36,1978,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Emiliano Martínez,ar ARG,GK,eng Arsenal,21,1992,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Simon Mignolet,be BEL,GK,eng Liverpool,26,1988,6.0,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Artur Moraes,br BRA,GK,pt Benfica,33,1981,2.2,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Fernando Muslera,uy URU,GK,tr Galatasaray,28,1986,5.0,15,,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Keylor Navas,cr CRC,GK,es Real Madrid,27,1986,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Manuel Neuer,de GER,GK,de Bayern Munich,28,1986,12.0,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Jan Oblak,si SVN,GK,es Atlético Madrid,21,1993,4.1,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Robin Olsen,se SWE,GK,se Malmö,24,1990,6.0,15,,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,David Ospina,co COL,GK,eng Arsenal,25,1988,2.3,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Urko Pardo,cy CYP,GK,cy APOEL FC,31,1983,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Rui Patrício,pt POR,GK,pt Sporting CP,26,1988,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Silvio Proto,be BEL,GK,be Anderlecht,31,1983,5.0,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Andriy Pyatov,ua UKR,GK,ua Shakhtar,30,1984,8.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Roberto,es ESP,GK,gr Olympiacos,28,1986,6.0,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Davy Roef,be BEL,GK,be Anderlecht,20,1994,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Salvatore Sirigu,it ITA,GK,fr Paris S-G,27,1987,10.3,14,,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Łukasz Skorupski,pl POL,GK,it Roma,23,1991,2.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Artem Soroko,by BLR,GK,by BATE Borisov,22,1992,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Vladislav Stoyanov,bg BUL,GK,bg Ludogorets,27,1987,5.0,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Danijel Subašić,hr CRO,GK,fr Monaco,29,1984,10.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Wojciech Szczęsny,pl POL,GK,eng Arsenal,24,1990,3.7,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
44,Marc-André ter Stegen,de GER,GK,es Barcelona,22,1992,13.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
45,Tomáš Vaclík,cz CZE,GK,ch Basel,25,1989,8.0,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
46,Roman Weidenfeller,de GER,GK,de Dortmund,33,1980,7.0,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
47,Timon Wellenreuther,de GER,GK,de Schalke 04,18,1995,2.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
