Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
1,Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,1990,1.1,0,2,1,50.0,1.82,0.91,0.00,0.00,19.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
2,Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,1.5,0,3,0,0.0,1.97,0.00,0.00,,13.1,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
3,Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,5.5,0,2,0,0.0,0.36,0.00,0.00,,16.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
4,Francesco Acerbi,it ITA,DF,it Inter,35,1988,4.7,0,1,0,0.0,0.21,0.00,0.00,,12.3,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
5,Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,6.1,0,10,2,20.0,1.63,0.33,0.00,0.00,20.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
6,Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,2.2,0,2,0,0.0,0.91,0.00,0.00,,26.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
7,Karim Adeyemi,de GER,FW,de Dortmund,21,2002,7.9,2,15,7,46.7,1.91,0.89,0.13,0.29,16.7,0,0,0,1.8,1.8,0.12,+0.2,+0.2,Matches
8,Yacine Adli,fr FRA,MF,it Milan,23,2000,1.4,0,2,0,0.0,1.46,0.00,0.00,,25.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
9,Ruben Aguilar,fr FRA,DF,fr Lens,30,1993,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,7.4,2,5,2,40.0,0.68,0.27,0.40,1.00,13.7,0,0,0,1.0,1.0,0.19,+1.0,+1.0,Matches
11,Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,1995,4.3,0,4,2,50.0,0.94,0.47,0.00,0.00,11.5,0,0,0,0.9,0.9,0.23,-0.9,-0.9,Matches
12,Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,1998,4.9,2,18,6,33.3,3.68,1.23,0.11,0.33,17.1,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches
13,David Alaba,at AUT,DF,es Real Madrid,31,1992,2.8,0,4,0,0.0,1.44,0.00,0.00,,15.2,1,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
14,Luis Alberto,es ESP,MF,it Lazio,30,1992,7.1,0,14,3,21.4,1.96,0.42,0.00,0.00,25.6,1,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
15,Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5.0,0,9,4,44.4,1.80,0.80,0.00,0.00,14.6,1,0,1,1.5,0.8,0.09,-1.5,-0.8,Matches
16,Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,2004,1.5,0,1,1,100.0,0.69,0.69,0.00,0.00,21.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
17,Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,1994,4.6,1,12,3,25.0,2.62,0.65,0.08,0.33,18.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
18,Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,1990,1.5,0,1,1,100.0,0.65,0.65,0.00,0.00,33.1,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches
19,Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,2000,1.4,0,1,0,0.0,0.71,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
20,Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,2000,3.1,5,15,10,66.7,4.79,3.19,0.33,0.50,16.7,1,0,0,1.7,1.7,0.12,+3.3,+3.3,Matches
21,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
