Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,1990,1.1,4,1,0,4,0,2,6,33.3,4,1,0,1,2,6,0,0,Matches
2,Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,1.5,1,0,1,0,0,0,4,0.0,4,5,1,4,3,4,1,0,Matches
3,Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,5.5,9,5,3,6,0,2,6,33.3,4,6,1,5,5,14,7,0,Matches
4,Francesco Acerbi,it ITA,DF,it Inter,35,1988,4.7,3,1,2,0,1,2,5,40.0,3,1,0,1,5,8,15,0,Matches
5,Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,6.1,16,11,10,0,6,5,11,45.5,6,6,0,6,2,18,4,1,Matches
6,Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,2.2,2,2,1,1,0,1,2,50.0,1,1,1,0,1,3,2,0,Matches
7,Karim Adeyemi,de GER,FW,de Dortmund,21,2002,7.9,7,5,4,3,0,4,8,50.0,4,7,0,7,8,15,5,0,Matches
8,Yacine Adli,fr FRA,MF,it Milan,23,2000,1.4,3,2,1,2,0,2,4,50.0,2,0,0,0,3,6,4,0,Matches
9,Ruben Aguilar,fr FRA,DF,fr Lens,30,1993,1.1,4,4,2,2,0,2,3,66.7,1,3,0,3,0,4,1,0,Matches
10,Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,7.4,12,7,5,4,3,4,7,57.1,3,4,2,2,2,14,11,0,Matches
11,Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,1995,4.3,4,2,3,1,0,2,3,66.7,1,1,0,1,0,4,11,0,Matches
12,Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,1998,4.9,5,4,1,2,2,5,7,71.4,2,3,0,3,2,7,5,0,Matches
13,David Alaba,at AUT,DF,es Real Madrid,31,1992,2.8,1,1,0,1,0,1,1,100.0,0,1,1,0,3,4,9,1,Matches
14,Luis Alberto,es ESP,MF,it Lazio,30,1992,7.1,4,2,1,2,1,1,10,10.0,9,13,4,9,7,11,3,0,Matches
15,Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5.0,6,4,4,2,0,5,9,55.6,4,9,5,4,5,11,24,0,Matches
16,Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,2004,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
17,Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,1994,4.6,15,11,4,7,4,10,15,66.7,5,8,1,7,4,19,2,0,Matches
18,Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,1990,1.5,1,0,0,1,0,1,1,100.0,0,3,0,3,2,3,5,0,Matches
19,Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,2000,1.4,2,2,0,1,1,0,4,0.0,4,0,0,0,2,4,0,0,Matches
20,Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,2000,3.1,3,2,0,2,1,2,5,40.0,3,1,1,0,0,3,2,0,Matches
21,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5.0,8,4,6,2,0,3,6,50.0,3,12,9,3,6,14,24,0,Matches
22,Aurele Amenda,ch SUI,DF,ch Young Boys,20,2003,3.5,7,4,4,3,0,3,9,33.3,6,5,1,4,6,13,10,0,Matches
23,Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,1996,3.6,8,5,5,2,1,6,8,75.0,2,10,1,9,3,11,3,0,Matches
24,Elliot Anderson,eng ENG,MF,eng Newcastle Utd,20,2002,0.5,2,1,1,1,0,0,2,0.0,2,1,1,0,2,4,0,0,Matches
25,Felipe Anderson,br BRA,FW,it Lazio,30,1993,6.0,17,7,5,10,2,5,21,23.8,16,7,0,7,12,29,5,0,Matches
26,Angeliño,es ESP,DF,tr Galatasaray,26,1997,4.7,7,5,3,2,2,4,9,44.4,5,6,3,3,6,13,9,0,Matches
27,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,32,1990,5.2,12,8,7,4,1,8,17,47.1,9,5,4,1,10,22,11,0,Matches
28,Antony,br BRA,FW,eng Manchester Utd,23,2000,2.6,7,6,5,1,1,5,9,55.6,4,5,1,4,5,12,2,0,Matches
29,Jon Aramburu,ve VEN,DF,es Real Sociedad,21,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
30,Ronald Araújo,uy URU,DF,es Barcelona,24,1999,7.3,12,10,4,7,1,4,5,80.0,1,14,10,4,8,20,20,0,Matches
31,Tomás Araújo,pt POR,DF,pt Benfica,21,2002,1.8,3,2,1,2,0,1,1,100.0,0,5,4,1,4,7,5,0,Matches
32,Marko Arnautović,at AUT,FW,it Inter,34,1989,2.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,Matches
33,Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
34,Marco Asensio,es ESP,"FW,MF",fr Paris S-G,27,1996,1.4,2,1,2,0,0,0,1,0.0,1,2,2,0,0,2,0,0,Matches
35,Kristjan Asllani,al ALB,MF,it Inter,21,2002,2.3,2,1,1,1,0,0,2,0.0,2,3,1,2,1,3,3,0,Matches
36,Otavio Ataide,br BRA,DF,pt Porto,21,2002,2.3,4,4,3,1,0,1,1,100.0,0,3,3,0,0,4,6,0,Matches
37,Emil Audero,id IDN,GK,it Inter,26,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
38,Carlos Augusto,br BRA,"DF,FW",it Inter,24,1999,5.3,10,6,6,4,0,5,10,50.0,5,6,2,4,0,10,15,0,Matches
39,Yann Aurel Bisseck,de GER,DF,it Inter,22,2000,1.9,1,0,1,0,0,0,1,0.0,1,3,2,1,1,2,8,0,Matches
40,Fredrik Aursnes,no NOR,"DF,MF",pt Benfica,27,1995,6.0,13,8,8,4,1,7,13,53.8,6,9,2,7,3,16,13,0,Matches
41,Kaan Ayhan,tr TUR,"MF,DF",tr Galatasaray,28,1994,4.2,8,5,2,5,1,3,9,33.3,6,3,2,1,11,19,8,0,Matches
42,Neil El Aynaoui,fr FRA,MF,fr Lens,22,2001,1.5,5,2,2,2,1,2,2,100.0,0,2,1,1,1,6,4,0,Matches
43,Irakli Azarov,ge GEO,DF,ua Shakhtar,21,2002,3.3,9,5,6,3,0,3,13,23.1,10,2,1,1,4,13,12,0,Matches
44,César Azpilicueta,es ESP,DF,es Atlético Madrid,33,1989,3.2,6,5,3,2,1,2,6,33.3,4,11,5,6,5,11,13,0,Matches
45,Isaac Babadi,nl NED,"FW,MF",nl PSV Eindhoven,18,2005,0.2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,1,Matches
46,Loïc Bade,fr FRA,DF,es Sevilla,23,2000,1.1,4,3,4,0,0,4,4,100.0,0,1,1,0,1,5,7,0,Matches
47,Alexander Bah,dk DEN,DF,pt Benfica,25,1997,2.1,11,6,7,3,1,7,9,77.8,2,7,1,6,4,15,6,0,Matches
48,Samson Baidoo,at AUT,DF,at RB Salzburg,19,2004,3.4,9,5,6,3,0,5,10,50.0,5,6,3,3,0,9,12,0,Matches
49,Cédric Bakambu,cd COD,FW,tr Galatasaray,32,1991,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
50,Johan Bakayoko,be BEL,FW,nl PSV Eindhoven,20,2003,7.2,10,8,4,4,2,6,9,66.7,3,8,1,7,4,14,3,0,Matches
51,Alejandro Balde,es ESP,DF,es Barcelona,19,2003,3.7,6,4,2,2,2,4,5,80.0,1,3,0,3,1,7,5,0,Matches
52,Michel-Ange Balikwisha,be BEL,"FW,MF",be Antwerp,22,2001,4.3,9,4,1,7,1,3,8,37.5,5,5,0,5,5,14,1,0,Matches
53,David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
54,Simon Banza,cd COD,FW,pt Braga,26,1996,3.8,1,0,0,1,0,0,0,,0,3,0,3,0,1,2,0,Matches
55,Bradley Barcola,fr FRA,"FW,DF",fr Paris S-G,20,2002,5.3,12,10,4,5,3,3,16,18.8,13,9,0,9,3,15,3,0,Matches
