Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
26,Manuel Neuer,de GER,GK,de Bayern Munich,37,1986,9.0,8,2,0,1,0,10.8,0.33,+2.8,+0.31,34,70,48.6,315,34,21.0,28.9,31,12.9,26.5,78,3,3.8,11,1.22,18.9,Matches
27,Ørjan Nyland,no NOR,GK,es Sevilla,32,1990,2.0,4,1,0,0,0,4.3,0.27,+0.3,+0.13,16,34,47.1,64,10,35.9,34.5,19,57.9,41.5,26,0,0.0,0,0.00,8.5,Matches
28,Jan Oblak,si SVN,GK,es Atlético Madrid,30,1993,10.3,13,0,0,2,1,11.8,0.25,-0.2,-0.02,34,99,34.3,214,46,32.2,33.5,64,46.9,37.9,140,11,7.9,3,0.30,9.9,Matches
29,André Onana,cm CMR,GK,eng Manchester Utd,27,1996,6.0,15,2,2,1,0,12.9,0.29,-2.1,-0.34,39,94,41.5,210,26,38.6,34.6,19,68.4,48.2,77,2,2.6,2,0.33,9.0,Matches
30,Stefan Ortega,de GER,GK,eng Manchester City,30,1992,3.0,7,0,0,1,1,4.4,0.31,-1.6,-0.55,17,38,44.7,159,18,18.9,25.8,13,61.5,49.8,18,0,0.0,8,2.67,19.9,Matches
31,Iñaki Peña,es ESP,GK,es Barcelona,24,1999,2.0,4,0,0,0,0,3.8,0.39,-0.2,-0.11,10,16,62.5,60,7,21.7,24.3,12,25.0,34.4,19,0,0.0,1,0.50,11.7,Matches
32,Nick Pope,eng ENG,GK,eng Newcastle Utd,31,1992,5.0,5,1,0,0,0,9.7,0.30,+4.7,+0.93,22,60,36.7,84,28,32.1,32.4,45,73.3,52.1,73,6,8.2,6,1.20,12.7,Matches
33,Ivan Provedel,it ITA,GK,it Lazio,29,1994,8.0,10,0,0,1,0,11.1,0.38,+1.1,+0.14,18,45,40.0,205,31,16.1,27.4,39,30.8,31.8,88,3,3.4,7,0.88,17.0,Matches
34,Anthony Racioppi,ch SUI,GK,ch Young Boys,24,1998,5.0,11,2,0,3,0,13.8,0.30,+2.8,+0.56,31,80,38.8,178,25,35.4,34.3,31,54.8,45.5,67,1,1.5,4,0.80,13.5,Matches
35,Aaron Ramsdale,eng ENG,GK,eng Arsenal,25,1998,1.0,1,0,0,0,0,1.2,0.25,+0.2,+0.25,3,9,33.3,30,3,20.0,25.2,8,37.5,36.5,13,0,0.0,0,0.00,15.0,Matches
36,David Raya,es ESP,GK,eng Arsenal,27,1995,9.3,7,1,0,1,0,6.0,0.22,-1.0,-0.11,40,100,40.0,265,44,32.1,30.1,33,45.5,40.3,86,14,16.3,16,1.78,16.7,Matches
37,Álex Remiro,es ESP,GK,es Real Sociedad,28,1995,8.0,6,0,0,1,0,7.9,0.31,+1.9,+0.23,55,144,38.2,229,8,50.7,40.6,30,93.3,64.8,81,2,2.5,6,0.75,15.6,Matches
38,Dmytro Riznyk,ua UKR,GK,ua Shakhtar,24,1999,6.0,12,0,0,1,0,11.3,0.31,-0.7,-0.12,27,61,44.3,174,24,26.4,28.0,31,48.4,42.2,93,8,8.6,10,1.67,16.3,Matches
39,Frederik Rønnow,dk DEN,GK,de Union Berlin,30,1992,6.0,10,0,0,3,0,10.4,0.33,+0.4,+0.07,30,89,33.7,154,31,43.5,36.4,44,50.0,43.5,116,7,6.0,1,0.17,6.5,Matches
40,Brice Samba,fr FRA,GK,fr Lens,29,1994,6.0,11,2,0,1,0,10.0,0.25,-1.0,-0.16,40,86,46.5,182,27,38.5,36.5,28,57.1,43.6,83,7,8.4,7,1.17,14.6,Matches
41,Alexander Schlager,at AUT,GK,at RB Salzburg,27,1996,6.0,8,2,0,1,0,9.7,0.23,+1.7,+0.28,33,86,38.4,210,20,31.4,33.4,46,43.5,38.9,87,3,3.4,7,1.17,14.0,Matches
42,Yann Sommer,ch SUI,GK,it Inter,34,1988,7.3,4,0,0,0,0,6.9,0.24,+2.9,+0.42,16,55,29.1,281,32,17.4,25.6,39,15.4,25.5,108,6,5.6,4,0.57,11.4,Matches
43,Marco Sportiello,it ITA,GK,it Milan,31,1992,0.1,0,0,0,0,0,0.1,0.07,+0.1,+0.63,2,2,100.0,5,2,20.0,30.8,2,50.0,46.0,1,0,0.0,0,0.00,3.0,Matches
44,Marc-André ter Stegen,de GER,GK,es Barcelona,31,1992,8.0,10,1,0,1,0,9.8,0.30,-0.2,-0.03,31,73,42.5,260,29,23.8,30.9,32,34.4,37.5,90,5,5.6,13,1.63,19.8,Matches
45,Anatolii Trubin,ua UKR,GK,pt Benfica,21,2001,6.0,11,2,0,2,0,14.6,0.37,+3.6,+0.60,23,58,39.7,143,24,25.9,28.5,52,40.4,36.8,72,3,4.2,6,1.00,12.1,Matches
46,Sven Ulreich,de GER,GK,de Bayern Munich,34,1988,3.0,5,1,0,0,0,5.3,0.37,+0.3,+0.11,13,37,35.1,118,14,28.8,29.7,19,15.8,22.5,35,1,2.9,2,0.67,11.2,Matches
47,Timon Wellenreuther,de GER,GK,nl Feyenoord,27,1995,2.0,3,0,0,1,0,2.5,0.41,-0.5,-0.26,1,6,16.7,62,7,9.7,22.5,9,0.0,15.4,11,0,0.0,0,0.00,10.5,Matches
