Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
1,Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,1990,1.1,0,0,0,0,0,0,0,2,1,0,0,0,4,0,2,0.0,Matches
2,Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,1.5,0,0,0,1,1,0,0,3,0,0,0,0,10,2,3,40.0,Matches
3,Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,5.5,2,0,0,12,9,0,0,5,5,0,0,0,29,4,5,44.4,Matches
4,Francesco Acerbi,it ITA,DF,it Inter,35,1988,4.7,1,0,0,4,6,1,4,5,1,0,0,0,25,12,5,70.6,Matches
5,Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,6.1,0,0,0,5,4,4,12,2,11,0,0,0,37,9,6,60.0,Matches
6,Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,2.2,0,0,0,5,2,0,4,1,2,0,0,0,16,2,3,40.0,Matches
7,Karim Adeyemi,de GER,FW,de Dortmund,21,2002,7.9,0,0,0,15,12,1,14,8,5,0,0,0,42,5,4,55.6,Matches
8,Yacine Adli,fr FRA,MF,it Milan,23,2000,1.4,0,0,0,1,3,0,10,3,2,0,0,0,10,1,2,33.3,Matches
9,Ruben Aguilar,fr FRA,DF,fr Lens,30,1993,1.1,0,0,0,1,1,2,1,0,4,0,0,0,5,0,2,0.0,Matches
10,Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,7.4,2,0,0,5,8,0,2,2,7,0,0,0,29,5,4,55.6,Matches
11,Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,1995,4.3,0,0,0,2,3,0,3,0,2,0,0,0,22,6,2,75.0,Matches
12,Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,1998,4.9,0,0,0,2,7,3,23,2,4,0,0,0,25,3,6,33.3,Matches
13,David Alaba,at AUT,DF,es Real Madrid,31,1992,2.8,1,0,0,1,0,0,7,3,1,0,0,0,7,2,1,66.7,Matches
14,Luis Alberto,es ESP,MF,it Lazio,30,1992,7.1,1,0,0,2,4,1,43,7,2,0,0,0,32,1,3,25.0,Matches
15,Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5.0,2,0,0,5,0,0,1,5,4,0,0,0,24,13,7,65.0,Matches
16,Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,2004,1.5,0,0,0,2,2,0,4,0,0,0,0,0,10,1,2,33.3,Matches
17,Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,1994,4.6,1,0,0,2,13,1,5,4,11,0,0,0,24,0,1,0.0,Matches
18,Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,1990,1.5,0,0,0,3,1,0,7,2,0,0,0,0,8,1,1,50.0,Matches
19,Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,2000,1.4,0,0,0,2,3,0,1,2,2,0,0,0,8,2,10,16.7,Matches
20,Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,2000,3.1,0,0,0,1,0,0,20,0,2,0,0,0,7,1,2,33.3,Matches
21,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5.0,2,0,0,12,3,1,1,6,4,0,1,0,24,7,10,41.2,Matches
22,Aurele Amenda,ch SUI,DF,ch Young Boys,20,2003,3.5,1,0,0,9,1,0,0,6,4,0,0,0,16,8,2,80.0,Matches
23,Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,1996,3.6,2,0,0,4,5,0,3,3,5,0,0,0,21,2,2,50.0,Matches
24,Elliot Anderson,eng ENG,MF,eng Newcastle Utd,20,2002,0.5,0,0,0,1,1,0,0,2,1,0,0,0,3,0,0,,Matches
25,Felipe Anderson,br BRA,FW,it Lazio,30,1993,6.0,0,0,0,5,9,0,8,12,7,0,0,0,30,1,3,25.0,Matches
26,Angeliño,es ESP,DF,tr Galatasaray,26,1997,4.7,0,0,0,10,5,0,15,6,5,0,0,0,21,6,8,42.9,Matches
27,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,32,1990,5.2,0,0,0,2,2,0,22,10,8,0,0,0,39,3,6,33.3,Matches
28,Antony,br BRA,FW,eng Manchester Utd,23,2000,2.6,1,0,0,2,5,0,2,5,6,0,0,0,8,1,2,33.3,Matches
29,Jon Aramburu,ve VEN,DF,es Real Sociedad,21,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
30,Ronald Araújo,uy URU,DF,es Barcelona,24,1999,7.3,2,1,0,5,3,0,0,8,10,0,0,0,28,13,5,72.2,Matches
31,Tomás Araújo,pt POR,DF,pt Benfica,21,2002,1.8,0,0,0,0,1,0,1,4,2,0,0,0,11,3,6,33.3,Matches
32,Marko Arnautović,at AUT,FW,it Inter,34,1989,2.1,0,0,0,1,4,2,4,1,0,0,0,0,4,4,5,44.4,Matches
33,Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,1994,4.0,1,0,0,0,1,0,0,0,0,0,0,0,6,2,0,100.0,Matches
34,Marco Asensio,es ESP,"FW,MF",fr Paris S-G,27,1996,1.4,0,0,0,1,1,0,1,0,1,0,0,0,6,0,2,0.0,Matches
35,Kristjan Asllani,al ALB,MF,it Inter,21,2002,2.3,2,0,0,3,2,0,3,1,1,0,0,0,13,0,1,0.0,Matches
36,Otavio Ataide,br BRA,DF,pt Porto,21,2002,2.3,0,0,0,1,2,0,0,0,4,0,0,0,8,1,4,20.0,Matches
37,Emil Audero,id IDN,GK,it Inter,26,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
38,Carlos Augusto,br BRA,"DF,FW",it Inter,24,1999,5.3,1,0,0,5,1,2,16,0,6,0,0,0,26,11,9,55.0,Matches
39,Yann Aurel Bisseck,de GER,DF,it Inter,22,2000,1.9,2,0,0,4,2,0,3,1,0,0,0,0,6,3,1,75.0,Matches
40,Fredrik Aursnes,no NOR,"DF,MF",pt Benfica,27,1995,6.0,0,0,0,4,2,0,9,3,8,0,0,0,45,3,7,30.0,Matches
41,Kaan Ayhan,tr TUR,"MF,DF",tr Galatasaray,28,1994,4.2,2,0,0,3,2,1,1,11,5,0,0,0,27,9,2,81.8,Matches
42,Neil El Aynaoui,fr FRA,MF,fr Lens,22,2001,1.5,1,0,0,3,1,0,0,1,2,0,0,0,6,0,1,0.0,Matches
43,Irakli Azarov,ge GEO,DF,ua Shakhtar,21,2002,3.3,0,0,0,1,0,0,5,4,5,0,0,0,16,1,0,100.0,Matches
44,César Azpilicueta,es ESP,DF,es Atlético Madrid,33,1989,3.2,2,0,0,4,1,0,1,5,5,0,0,0,17,3,5,37.5,Matches
45,Isaac Babadi,nl NED,"FW,MF",nl PSV Eindhoven,18,2005,0.2,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,,Matches
46,Loïc Bade,fr FRA,DF,es Sevilla,23,2000,1.1,1,0,0,1,0,0,0,1,3,0,0,0,5,0,0,,Matches
47,Alexander Bah,dk DEN,DF,pt Benfica,25,1997,2.1,0,0,0,0,2,0,6,4,6,0,0,0,16,4,3,57.1,Matches
48,Samson Baidoo,at AUT,DF,at RB Salzburg,19,2004,3.4,2,0,0,4,1,1,0,0,5,0,0,0,19,11,8,57.9,Matches
49,Cédric Bakambu,cd COD,FW,tr Galatasaray,32,1991,0.4,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0.0,Matches
50,Johan Bakayoko,be BEL,FW,nl PSV Eindhoven,20,2003,7.2,0,0,0,13,6,1,30,4,8,0,0,0,32,4,6,40.0,Matches
51,Alejandro Balde,es ESP,DF,es Barcelona,19,2003,3.7,1,0,0,4,4,0,15,1,4,0,0,0,22,2,1,66.7,Matches
52,Michel-Ange Balikwisha,be BEL,"FW,MF",be Antwerp,22,2001,4.3,0,0,0,6,2,0,30,5,4,0,0,0,14,1,2,33.3,Matches
53,David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
54,Simon Banza,cd COD,FW,pt Braga,26,1996,3.8,2,0,0,11,14,1,1,0,0,0,0,0,3,22,17,56.4,Matches
55,Bradley Barcola,fr FRA,"FW,DF",fr Paris S-G,20,2002,5.3,0,0,0,6,4,4,11,3,10,0,0,0,19,3,4,42.9,Matches
56,Abdülkerim Bardakcı,tr TUR,DF,tr Galatasaray,28,1994,6.0,1,0,0,4,3,1,2,11,9,0,0,0,45,11,11,50.0,Matches
57,Roony Bardghji,se SWE,"MF,FW",dk FC Copenhagen,17,2005,1.6,0,0,0,0,0,0,2,1,0,0,0,0,6,0,0,,Matches
58,Nicolò Barella,it ITA,MF,it Inter,26,1997,5.2,1,0,0,6,9,2,16,5,13,0,0,0,32,10,3,76.9,Matches
59,Harvey Barnes,eng ENG,FW,eng Newcastle Utd,25,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
60,Romário Baró,pt POR,MF,pt Porto,23,2000,0.7,0,0,0,1,1,0,1,1,0,0,0,0,4,0,0,,Matches
61,Ander Barrenetxea,es ESP,"FW,MF",es Real Sociedad,21,2001,4.4,1,0,0,8,4,2,12,1,6,0,0,0,22,3,4,42.9,Matches
62,Pablo Barrios,es ESP,MF,es Atlético Madrid,20,2003,2.9,0,0,0,2,2,0,4,7,5,0,0,0,18,3,2,60.0,Matches
63,Davide Bartesaghi,it ITA,FW,it Milan,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
64,Alessandro Bastoni,it ITA,DF,it Inter,24,1999,5.6,0,0,0,8,6,0,12,6,1,0,0,0,32,9,3,75.0,Matches
65,Jelle Bataille,be BEL,DF,be Antwerp,24,1999,4.6,1,0,0,1,3,0,10,5,6,0,0,1,25,2,6,25.0,Matches
66,Christoph Baumgartner,at AUT,MF,de RB Leipzig,23,1999,1.3,0,0,0,3,5,0,1,3,1,0,0,0,4,5,3,62.5,Matches
67,Sheraldo Becker,sr SUR,FW,de Union Berlin,28,1995,4.1,0,0,0,6,1,5,21,1,0,0,0,0,15,2,4,33.3,Matches
68,Sheraldo Becker,sr SUR,FW,es Real Sociedad,28,1995,0.7,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,,Matches
69,Thomas Beelen,nl NED,DF,nl Feyenoord,22,2001,0.9,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0.0,Matches
70,Kevin Behrens,de GER,FW,de Union Berlin,32,1991,3.3,0,0,0,2,8,5,3,1,2,0,0,0,11,10,11,47.6,Matches
71,Armel Bella Kotchap,de GER,DF,nl PSV Eindhoven,21,2001,0.9,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,,Matches
72,Jude Bellingham,eng ENG,"MF,FW",es Real Madrid,20,2003,11.0,2,0,0,9,21,1,14,7,9,0,0,0,33,11,11,50.0,Matches
73,Walter Benítez,ar ARG,GK,nl PSV Eindhoven,30,1993,8.0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,,Matches
74,Loris Benito,ch SUI,DF,ch Young Boys,31,1992,4.5,2,0,0,5,3,0,0,7,4,0,0,0,22,5,5,50.0,Matches
75,Ramy Bensebaini,dz ALG,DF,de Dortmund,28,1995,4.2,0,0,0,6,8,0,9,7,12,0,0,0,37,3,0,100.0,Matches
76,Lucas Beraldo,br BRA,DF,fr Paris S-G,19,2003,4.5,1,0,0,4,6,0,0,5,7,0,0,0,23,15,7,68.2,Matches
77,Paulo Bernardo,pt POR,MF,sct Celtic,21,2002,3.5,0,0,0,5,9,0,1,5,0,0,0,0,12,4,3,57.1,Matches
78,Juan Bernat,es ESP,DF,pt Benfica,30,1993,1.2,1,0,0,0,1,0,0,1,2,0,0,0,4,0,0,,Matches
79,Mads Bidstrup,dk DEN,MF,at RB Salzburg,22,2001,5.5,0,0,0,4,3,0,2,7,15,0,1,0,41,3,4,42.9,Matches
80,Justin Bijlow,nl NED,GK,nl Feyenoord,25,1998,4.0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,100.0,Matches
81,Janis Blaswich,de GER,GK,de RB Leipzig,32,1991,5.0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0,Matches
82,Lewin Blum,ch SUI,DF,ch Young Boys,22,2001,2.4,1,0,0,5,0,1,12,2,5,0,0,0,6,1,4,20.0,Matches
