Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
6.0,Sat,2014-09-27,15:30,Stuttgart,1–0,Hannover 96,40500.0,Mercedes-Benz Arena,Günter Perl,Match Report,
6.0,Sat,2014-09-27,15:30,Paderborn 07,1–2,Gladbach,15000.0,Benteler-Arena,Marco Fritz,Match Report,
6.0,Sat,2014-09-27,15:30,Köln,0–2,Bayern Munich,50000.0,RheinEnergieSTADION,Knut Kircher,Match Report,
6.0,Sat,2014-09-27,15:30,Freiburg,0–0,Leverkusen,23500.0,Schwarzwald-Stadion,Felix Brych,Match Report,
6.0,Sat,2014-09-27,15:30,Schalke 04,2–1,Dortmund,61973.0,Veltins-Arena,Peter Gagelmann,Match Report,
6.0,Sat,2014-09-27,18:30,Wolfsburg,2–1,Werder Bremen,29117.0,Volkswagen Arena,Peter Sippel,Match Report,
6.0,Sun,2014-09-28,15:30,Augsburg,1–0,Hertha BSC,28532.0,WWK Arena,Bastian Dankert,Match Report,
6.0,Sun,2014-09-28,17:30,Hamburger SV,1–2,Eint Frankfurt,47643.0,Volksparkstadion,Florian Meyer,Match Report,
,,,,,,,,,,,
7.0,Fri,2014-10-03,20:30,Hertha BSC,3–2,Stuttgart,46312.0,Olympiastadion Berlin,Deniz Aytekin,Match Report,
7.0,Sat,2014-10-04,15:30,Dortmund,0–1,Hamburger SV,80667.0,Signal Iduna Park,Felix Zwayer,Match Report,
7.0,Sat,2014-10-04,15:30,Werder Bremen,1–1,Freiburg,40029.0,Weserstadion,Knut Kircher,Match Report,
7.0,Sat,2014-10-04,15:30,Hoffenheim,2–1,Schalke 04,30000.0,PreZero Arena,Florian Meyer,Match Report,
7.0,Sat,2014-10-04,15:30,Leverkusen,2–2,Paderborn 07,30210.0,BayArena,Günter Perl,Match Report,
7.0,Sat,2014-10-04,15:30,Bayern Munich,4–0,Hannover 96,71000.0,Allianz Arena,Daniel Siebert,Match Report,
7.0,Sat,2014-10-04,18:30,Eint Frankfurt,3–2,Köln,51500.0,Commerzbank-Arena,Wolfgang Stark,Match Report,
7.0,Sun,2014-10-05,15:30,Wolfsburg,1–0,Augsburg,25734.0,Volkswagen Arena,Markus Schmidt,Match Report,
7.0,Sun,2014-10-05,17:30,Gladbach,1–1,Mainz 05,50383.0,Stadion im Borussia-Park,Manuel Gräfe,Match Report,
,,,,,,,,,,,
8.0,Sat,2014-10-18,15:30,Mainz 05,2–1,Augsburg,27687.0,Opel Arena,Tobias Stieler,Match Report,
8.0,Sat,2014-10-18,15:30,Köln,2–1,Dortmund,50000.0,RheinEnergieSTADION,Marco Fritz,Match Report,
8.0,Sat,2014-10-18,15:30,Freiburg,1–2,Wolfsburg,23500.0,Schwarzwald-Stadion,Christian Dingert,Match Report,
8.0,Sat,2014-10-18,15:30,Bayern Munich,6–0,Werder Bremen,71000.0,Allianz Arena,Bastian Dankert,Match Report,
8.0,Sat,2014-10-18,15:30,Hannover 96,0–3,Gladbach,49000.0,HDI-Arena,Thorsten Kinhöfer,Match Report,
8.0,Sat,2014-10-18,15:30,Stuttgart,3–3,Leverkusen,40900.0,Mercedes-Benz Arena,Felix Zwayer,Match Report,
8.0,Sat,2014-10-18,18:30,Schalke 04,2–0,Hertha BSC,61973.0,Veltins-Arena,Knut Kircher,Match Report,
8.0,Sun,2014-10-19,15:30,Hamburger SV,1–1,Hoffenheim,49003.0,Volksparkstadion,Peter Sippel,Match Report,
8.0,Sun,2014-10-19,17:30,Paderborn 07,3–1,Eint Frankfurt,15000.0,Benteler-Arena,Deniz Aytekin,Match Report,
,,,,,,,,,,,
9.0,Fri,2014-10-24,20:30,Werder Bremen,0–1,Köln,42100.0,Weserstadion,Felix Brych,Match Report,
9.0,Sat,2014-10-25,15:30,Dortmund,0–1,Hannover 96,80667.0,Signal Iduna Park,Tobias Stieler,Match Report,
9.0,Sat,2014-10-25,15:30,Hertha BSC,3–0,Hamburger SV,58768.0,Olympiastadion Berlin,Thorsten Kinhöfer,Match Report,
9.0,Sat,2014-10-25,15:30,Hoffenheim,1–0,Paderborn 07,25712.0,PreZero Arena,Robert Hartmann,Match Report,
9.0,Sat,2014-10-25,15:30,Eint Frankfurt,4–5,Stuttgart,49700.0,Commerzbank-Arena,Christian Dingert,Match Report,
9.0,Sat,2014-10-25,15:30,Augsburg,2–0,Freiburg,28324.0,WWK Arena,Marco Fritz,Match Report,
9.0,Sat,2014-10-25,18:30,Leverkusen,1–0,Schalke 04,30210.0,BayArena,Manuel Gräfe,Match Report,
9.0,Sun,2014-10-26,15:30 (16:30),Wolfsburg,3–0,Mainz 05,26238.0,Volkswagen Arena,Guido Winkmann,Match Report,
9.0,Sun,2014-10-26,17:30 (18:30),Gladbach,0–0,Bayern Munich,54010.0,Stadion im Borussia-Park,Felix Zwayer,Match Report,
,,,,,,,,,,,
10.0,Fri,2014-10-31,20:30 (21:30),Schalke 04,1–0,Augsburg,60954.0,Veltins-Arena,Christian Dingert,Match Report,
10.0,Sat,2014-11-01,15:30 (16:30),Hannover 96,1–0,Eint Frankfurt,42200.0,HDI-Arena,Sascha Stegemann,Match Report,
10.0,Sat,2014-11-01,15:30 (16:30),Mainz 05,1–2,Werder Bremen,31017.0,Opel Arena,Wolfgang Stark,Match Report,
10.0,Sat,2014-11-01,15:30 (16:30),Hamburger SV,1–0,Leverkusen,52990.0,Volksparkstadion,Florian Meyer,Match Report,
10.0,Sat,2014-11-01,15:30 (16:30),Stuttgart,0–4,Wolfsburg,50050.0,Mercedes-Benz Arena,Bastian Dankert,Match Report,
10.0,Sat,2014-11-01,18:30 (19:30),Bayern Munich,2–1,Dortmund,71000.0,Allianz Arena,Manuel Gräfe,Match Report,
10.0,Sun,2014-11-02,15:30 (16:30),Gladbach,3–1,Hoffenheim,52409.0,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
10.0,Sun,2014-11-02,17:30 (18:30),Köln,0–1,Freiburg,46500.0,RheinEnergieSTADION,Peter Gagelmann,Match Report,
10.0,Sun,2014-11-02,17:30 (18:30),Paderborn 07,3–1,Hertha BSC,14630.0,Benteler-Arena,Jochen Drees,Match Report,
,,,,,,,,,,,
11.0,Fri,2014-11-07,20:30 (21:30),Hertha BSC,0–2,Hannover 96,39710.0,Olympiastadion Berlin,Peter Sippel,Match Report,
11.0,Sat,2014-11-08,15:30 (16:30),Augsburg,3–0,Paderborn 07,27755.0,WWK Arena,Daniel Siebert,Match Report,
11.0,Sat,2014-11-08,15:30 (16:30),Hoffenheim,3–4,Köln,30150.0,PreZero Arena,Günter Perl,Match Report,
11.0,Sat,2014-11-08,15:30 (16:30),Freiburg,2–0,Schalke 04,24000.0,Schwarzwald-Stadion,Felix Zwayer,Match Report,
11.0,Sat,2014-11-08,15:30 (16:30),Leverkusen,0–0,Mainz 05,29714.0,BayArena,Markus Schmidt,Match Report,
11.0,Sat,2014-11-08,15:30 (16:30),Eint Frankfurt,0–4,Bayern Munich,51500.0,Commerzbank-Arena,Florian Meyer,Match Report,
11.0,Sat,2014-11-08,18:30 (19:30),Werder Bremen,2–0,Stuttgart,40284.0,Weserstadion,Guido Winkmann,Match Report,
11.0,Sun,2014-11-09,15:30 (16:30),Wolfsburg,2–0,Hamburger SV,30000.0,Volkswagen Arena,Knut Kircher,Match Report,
11.0,Sun,2014-11-09,17:30 (18:30),Dortmund,1–0,Gladbach,80667.0,Signal Iduna Park,Felix Brych,Match Report,
,,,,,,,,,,,
12.0,Sat,2014-11-22,15:30 (16:30),Paderborn 07,2–2,Dortmund,15000.0,Benteler-Arena,Wolfgang Stark,Match Report,
12.0,Sat,2014-11-22,15:30 (16:30),Schalke 04,3–2,Wolfsburg,60989.0,Veltins-Arena,Robert Hartmann,Match Report,
12.0,Sat,2014-11-22,15:30 (16:30),Mainz 05,2–2,Freiburg,28157.0,Opel Arena,Daniel Siebert,Match Report,
12.0,Sat,2014-11-22,15:30 (16:30),Hannover 96,1–3,Leverkusen,40800.0,HDI-Arena,Marco Fritz,Match Report,
12.0,Sat,2014-11-22,15:30 (16:30),Gladbach,1–3,Eint Frankfurt,54010.0,Stadion im Borussia-Park,Bastian Dankert,Match Report,
12.0,Sat,2014-11-22,15:30 (16:30),Bayern Munich,4–0,Hoffenheim,71000.0,Allianz Arena,Peter Gagelmann,Match Report,
12.0,Sat,2014-11-22,18:30 (19:30),Köln,1–2,Hertha BSC,49200.0,RheinEnergieSTADION,Tobias Stieler,Match Report,
12.0,Sun,2014-11-23,15:30 (16:30),Hamburger SV,2–0,Werder Bremen,57000.0,Volksparkstadion,Felix Zwayer,Match Report,
12.0,Sun,2014-11-23,17:30 (18:30),Stuttgart,0–1,Augsburg,48200.0,Mercedes-Benz Arena,Thorsten Kinhöfer,Match Report,
,,,,,,,,,,,
13.0,Fri,2014-11-28,20:30 (21:30),Freiburg,1–4,Stuttgart,24000.0,Schwarzwald-Stadion,Manuel Gräfe,Match Report,
13.0,Sat,2014-11-29,15:30 (16:30),Hertha BSC,0–1,Bayern Munich,76195.0,Olympiastadion Berlin,Christian Dingert,Match Report,
13.0,Sat,2014-11-29,15:30 (16:30),Augsburg,3–1,Hamburger SV,30321.0,WWK Arena,Jochen Drees,Match Report,
13.0,Sat,2014-11-29,15:30 (16:30),Schalke 04,4–1,Mainz 05,60904.0,Veltins-Arena,Günter Perl,Match Report,
13.0,Sat,2014-11-29,15:30 (16:30),Werder Bremen,4–0,Paderborn 07,41800.0,Weserstadion,Knut Kircher,Match Report,
13.0,Sat,2014-11-29,15:30 (16:30),Leverkusen,5–1,Köln,30210.0,BayArena,Thorsten Kinhöfer,Match Report,
13.0,Sat,2014-11-29,18:30 (19:30),Hoffenheim,4–3,Hannover 96,22716.0,PreZero Arena,Felix Brych,Match Report,
13.0,Sun,2014-11-30,15:30 (16:30),Wolfsburg,1–0,Gladbach,30000.0,Volkswagen Arena,Wolfgang Stark,Match Report,
13.0,Sun,2014-11-30,17:30 (18:30),Eint Frankfurt,2–0,Dortmund,51500.0,Commerzbank-Arena,Peter Gagelmann,Match Report,
,,,,,,,,,,,
14.0,Fri,2014-12-05,20:30 (21:30),Dortmund,1–0,Hoffenheim,80000.0,Signal Iduna Park,Felix Zwayer,Match Report,
14.0,Sat,2014-12-06,15:30 (16:30),Paderborn 07,1–1,Freiburg,14738.0,Benteler-Arena,Peter Sippel,Match Report,
14.0,Sat,2014-12-06,15:30 (16:30),Hannover 96,1–3,Wolfsburg,41400.0,HDI-Arena,Markus Schmidt,Match Report,
14.0,Sat,2014-12-06,15:30 (16:30),Stuttgart,0–4,Schalke 04,44700.0,Mercedes-Benz Arena,Florian Meyer,Match Report,
14.0,Sat,2014-12-06,15:30 (16:30),Köln,1–2,Augsburg,48500.0,RheinEnergieSTADION,Tobias Welz,Match Report,
14.0,Sat,2014-12-06,15:30 (16:30),Gladbach,3–2,Hertha BSC,50190.0,Stadion im Borussia-Park,Marco Fritz,Match Report,
14.0,Sat,2014-12-06,18:30 (19:30),Bayern Munich,1–0,Leverkusen,71000.0,Allianz Arena,Knut Kircher,Match Report,
14.0,Sun,2014-12-07,15:30 (16:30),Hamburger SV,2–1,Mainz 05,45968.0,Volksparkstadion,Sascha Stegemann,Match Report,
14.0,Sun,2014-12-07,17:30 (18:30),Eint Frankfurt,5–2,Werder Bremen,46800.0,Commerzbank-Arena,Christian Dingert,Match Report,
,,,,,,,,,,,
15.0,Fri,2014-12-12,20:30 (21:30),Hoffenheim,3–2,Eint Frankfurt,28331.0,PreZero Arena,Jochen Drees,Match Report,
