Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
130,Andreas Cornelius,dk DEN,FW,dk FC Copenhagen,23,1993,5.0,,3,,,,,,,,,,,2,,,,Matches
131,Maxwel Cornet,ci CIV,"DF,FW",fr Lyon,19,1996,3.2,,3,,,,,,,,,,,3,,,,Matches
132,Jesús Corona,mx MEX,"DF,FW",pt Porto,23,1993,3.5,,7,,,,,,,,,,,7,,,,Matches
133,Ángel Correa,ar ARG,"FW,MF",es Atlético Madrid,21,1995,2.8,,3,,,,,,,,,,,2,,,,Matches
134,Joaquín Correa,ar ARG,"FW,MF",es Sevilla,21,1994,1.2,,1,,,,,,,,,,,0,,,,Matches
135,Danny da Costa,de GER,"DF,FW",de Leverkusen,23,1993,1.0,,1,,,,,,,,,,,1,,,,Matches
136,Douglas Costa,br BRA,"FW,MF",de Bayern Munich,25,1990,5.1,,3,,,,,,,,,,,7,,,,Matches
137,Juan Cuadrado,co COL,"DF,FW",it Juventus,28,1988,6.5,,4,,,,,,,,,,,4,,,,Matches
138,Jakub Czerwiński,pl POL,DF,pl Legia Warsaw,24,1991,4.0,,7,,,,,,,,,,,6,,,,Matches
139,Maciej Dąbrowski,pl POL,DF,pl Legia Warsaw,29,1987,1.0,,1,,,,,,,,,,,3,,,,Matches
140,Mahmoud Dahoud,de GER,MF,de Gladbach,20,1996,3.3,,10,,,,,,,,,,,6,,,,Matches
141,Danilo,br BRA,"DF,MF",es Real Madrid,25,1991,3.0,,7,,,,,,,,,,,5,,,,Matches
142,Sergi Darder,es ESP,MF,fr Lyon,22,1993,4.4,,8,,,,,,,,,,,10,,,,Matches
143,Ben Davies,wls WAL,"DF,MF",eng Tottenham,23,1993,3.0,,2,,,,,,,,,,,7,,,,Matches
144,Laurens De Bock,be BEL,DF,be Club Brugge,23,1992,2.8,,3,,,,,,,,,,,6,,,,Matches
145,Kevin De Bruyne,be BEL,"FW,MF",eng Manchester City,25,1991,6.0,,7,,,,,,,,,,,9,,,,Matches
146,Morgan De Sanctis,it ITA,GK,fr Monaco,39,1977,1.0,,0,,,,,,,,,,,0,,,,Matches
147,Thomas Delaney,dk DEN,MF,dk FC Copenhagen,24,1991,6.0,,14,,,,,,,,,,,11,,,,Matches
148,Mousa Dembélé,be BEL,MF,eng Tottenham,29,1987,1.8,,4,,,,,,,,,,,6,,,,Matches
149,Moussa Dembélé,fr FRA,FW,sct Celtic,20,1996,5.8,,2,,,,,,,,,,,1,,,,Matches
150,Ousmane Dembélé,fr FRA,"FW,MF",de Dortmund,19,1997,8.6,,9,,,,,,,,,,,6,,,,Matches
151,Stefano Denswil,sr SUR,DF,be Club Brugge,23,1993,5.0,,10,,,,,,,,,,,11,,,,Matches
152,Laurent Depoitre,be BEL,FW,pt Porto,27,1988,0.3,,0,,,,,,,,,,,1,,,,Matches
153,Ángel Di María,ar ARG,"FW,MF",fr Paris S-G,28,1988,6.0,,2,,,,,,,,,,,6,,,,Matches
154,Abdoulay Diaby,ml MLI,"FW,MF",be Club Brugge,25,1991,1.2,,1,,,,,,,,,,,0,,,,Matches
155,Mouctar Diakhaby,gn GUI,DF,fr Lyon,19,1996,3.0,,4,,,,,,,,,,,10,,,,Matches
156,Abdou Diallo,sn SEN,DF,fr Monaco,20,1996,1.0,,2,,,,,,,,,,,4,,,,Matches
157,Amadou Diawara,gn GUI,MF,it Napoli,19,1997,4.3,,9,,,,,,,,,,,4,,,,Matches
158,Serey Die,ci CIV,MF,ch Basel,31,1984,2.6,,1,,,,,,,,,,,3,,,,Matches
159,Eric Dier,eng ENG,"DF,MF",eng Tottenham,22,1994,4.9,,2,,,,,,,,,,,10,,,,Matches
160,Lucas Digne,fr FRA,"DF,MF",es Barcelona,23,1993,3.2,,3,,,,,,,,,,,4,,,,Matches
161,Nabil Dirar,ma MAR,"DF,MF",fr Monaco,30,1986,2.6,,9,,,,,,,,,,,3,,,,Matches
162,Bas Dost,nl NED,FW,pt Sporting CP,27,1989,5.3,,4,,,,,,,,,,,2,,,,Matches
163,Moussa Doumbia,ml MLI,"FW,MF",ru Rostov,21,1994,1.0,,1,,,,,,,,,,,0,,,,Matches
164,Seydou Doumbia,ci CIV,FW,ch Basel,28,1987,3.8,,3,,,,,,,,,,,0,,,,Matches
165,Aleksandar Dragović,at AUT,"DF,MF",de Leverkusen,25,1991,3.0,,6,,,,,,,,,,,7,,,,Matches
166,Julian Draxler,de GER,"FW,MF",fr Paris S-G,22,1993,1.8,,2,,,,,,,,,,,7,,,,Matches
167,Danny Drinkwater,eng ENG,MF,eng Leicester City,26,1990,9.8,,13,,,,,,,,,,,27,,,,Matches
168,Erik Durm,de GER,"DF,FW",de Dortmund,24,1992,2.6,,4,,,,,,,,,,,3,,,,Matches
169,Svetoslav Dyakov,bg BUL,MF,bg Ludogorets,32,1984,6.0,,14,,,,,,,,,,,20,,,,Matches
170,Paulo Dybala,ar ARG,"FW,MF",it Juventus,22,1993,8.9,,7,,,,,,,,,,,4,,,,Matches
171,Alan Dzagoev,ru RUS,MF,ru CSKA Moscow,26,1990,2.9,,4,,,,,,,,,,,5,,,,Matches
172,Soslan Dzhanayev,ru RUS,GK,ru Rostov,29,1987,6.0,,0,,,,,,,,,,,2,,,,Matches
173,Ederson,br BRA,GK,pt Benfica,22,1993,7.0,,0,,,,,,,,,,,2,,,,Matches
174,Elías,br BRA,MF,pt Sporting CP,31,1985,0.9,,1,,,,,,,,,,,1,,,,Matches
175,Eliseu,pt POR,"DF,MF",pt Benfica,32,1983,3.0,,3,,,,,,,,,,,6,,,,Matches
176,Mohamed Elneny,eg EGY,MF,eng Arsenal,24,1992,0.9,,1,,,,,,,,,,,2,,,,Matches
177,Nico Elvedi,ch SUI,DF,de Gladbach,19,1996,6.0,,16,,,,,,,,,,,16,,,,Matches
178,Mohamed Elyounoussi,no NOR,"FW,MF",ch Basel,21,1994,1.9,,7,,,,,,,,,,,5,,,,Matches
179,Matías Emilio Delgado,ar ARG,MF,ch Basel,33,1982,4.0,,4,,,,,,,,,,,7,,,,Matches
180,Björn Engels,be BEL,DF,be Club Brugge,21,1994,0.6,,1,,,,,,,,,,,0,,,,Matches
181,Roman Eremenko,fi FIN,MF,ru CSKA Moscow,29,1987,2.0,,1,,,,,,,,,,,1,,,,Matches
182,Christian Eriksen,dk DEN,"FW,MF",eng Tottenham,24,1992,5.0,,3,,,,,,,,,,,0,,,,Matches
183,Caner Erkin,tr TUR,"DF,MF",tr Beşiktaş,27,1988,3.0,,9,,,,,,,,,,,5,,,,Matches
184,Aleksandr Erokhin,ru RUS,MF,ru Rostov,26,1989,5.5,,11,,,,,,,,,,,11,,,,Matches
185,Sergio Escudero,es ESP,"DF,MF",es Sevilla,26,1989,8.0,,24,,,,,,,,,,,25,,,,Matches
186,Ricardo Esgaio,pt POR,"DF,FW",pt Sporting CP,23,1993,0.4,,1,,,,,,,,,,,1,,,,Matches
187,Patrice Evra,fr FRA,DF,it Juventus,35,1981,5.6,,9,,,,,,,,,,,6,,,,Matches
188,Saeid Ezatolahi,ir IRN,MF,ru Rostov,19,1996,0.0,,1,,,,,,,,,,,0,,,,Matches
189,Fabinho,br BRA,"DF,MF",fr Monaco,22,1993,9.4,,27,,,,,,,,,,,31,,,,Matches
190,Fabricio,es ESP,GK,tr Beşiktaş,28,1987,5.0,,0,,,,,,,,,,,2,,,,Matches
191,Radamel Falcao,co COL,FW,fr Monaco,30,1986,7.4,,4,,,,,,,,,,,6,,,,Matches
192,Rasmus Falk,dk DEN,"FW,MF",dk FC Copenhagen,24,1992,3.5,,6,,,,,,,,,,,4,,,,Matches
193,Valeriy Fedorchuk,ua UKR,MF,ua Dynamo Kyiv,27,1988,0.6,,0,,,,,,,,,,,0,,,,Matches
194,Ljubomir Fejsa,rs SRB,MF,pt Benfica,27,1988,6.6,,13,,,,,,,,,,,14,,,,Matches
195,Nabil Fekir,fr FRA,"FW,MF",fr Lyon,23,1993,3.2,,1,,,,,,,,,,,1,,,,Matches
196,Felipe,br BRA,DF,pt Porto,27,1989,8.0,,12,,,,,,,,,,,28,,,,Matches
197,Junior Fernándes,cl CHI,"FW,MF",hr Dinamo Zagreb,28,1988,5.6,,5,,,,,,,,,,,3,,,,Matches
198,Mário Fernandes,ru RUS,"DF,MF",ru CSKA Moscow,25,1990,5.0,,12,,,,,,,,,,,8,,,,Matches
199,Fernandinho,br BRA,"DF,MF",eng Manchester City,31,1985,6.1,,15,,,,,,,,,,,22,,,,Matches
200,Fernando,br BRA,"DF,MF",eng Manchester City,29,1987,1.5,,7,,,,,,,,,,,7,,,,Matches
201,Jordan Ferri,fr FRA,MF,fr Lyon,24,1992,2.3,,2,,,,,,,,,,,2,,,,Matches
202,Ivan Fiolić,hr CRO,MF,hr Dinamo Zagreb,20,1996,2.1,,1,,,,,,,,,,,1,,,,Matches
203,James Forrest,sct SCO,"FW,MF",sct Celtic,25,1991,3.4,,6,,,,,,,,,,,0,,,,Matches
204,Alexander Fransson,se SWE,MF,ch Basel,22,1994,1.2,,1,,,,,,,,,,,0,,,,Matches
205,Kerim Frei,tr TUR,"FW,MF",tr Beşiktaş,22,1993,0.3,,0,,,,,,,,,,,1,,,,Matches
206,Christian Fuchs,at AUT,"DF,MF",eng Leicester City,30,1986,9.0,,12,,,,,,,,,,,12,,,,Matches
