Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
32,Danilo Arboleda,co COL,DF,md Sheriff Tiraspol,26,1995,6.0,208,64,145,62,2,1,208,1,1,100.0,0,0.0,117,629,377,4,2,0,1,0,113,0,Matches
33,Maximilian Arnold,de GER,MF,de Wolfsburg,27,1994,6.0,328,13,81,211,45,1,328,3,2,66.7,1,33.3,161,671,339,4,1,0,7,4,186,2,Matches
34,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,26,1994,1.0,34,27,34,0,0,0,34,0,0,,0,,12,38,17,0,0,0,0,0,16,0,Matches
35,Marco Asensio,es ESP,"FW,MF",es Real Madrid,25,1996,2.3,120,1,13,56,51,7,120,3,1,33.3,2,66.7,75,448,146,2,5,0,11,2,90,14,Matches
36,Giorgos Athanasiadis,gr GRE,GK,md Sheriff Tiraspol,28,1993,5.0,191,176,191,0,0,0,191,0,0,,0,,82,596,415,0,0,0,0,0,58,0,Matches
37,Ludwig Augustinsson,se SWE,DF,es Sevilla,27,1994,0.9,82,3,27,34,22,1,82,0,0,,0,,44,188,120,3,2,0,1,1,53,4,Matches
38,Serge Aurier,ci CIV,DF,es Villarreal,28,1992,1.5,96,10,32,38,26,2,96,1,0,0.0,1,100.0,46,214,101,3,4,0,0,0,51,1,Matches
39,Sardar Azmoun,ir IRN,FW,ru Zenit,26,1995,3.4,87,4,11,44,32,16,87,1,1,100.0,0,0.0,39,190,101,6,1,4,11,1,51,15,Matches
40,César Azpilicueta,es ESP,DF,eng Chelsea,31,1989,7.5,638,14,119,302,219,16,638,4,3,75.0,1,25.0,323,1364,747,13,10,1,5,4,456,57,Matches
41,Eric Bailly,ci CIV,DF,eng Manchester Utd,27,1994,2.0,135,22,72,64,0,0,135,1,1,100.0,0,0.0,77,400,191,1,0,0,0,1,88,0,Matches
42,Tiemoué Bakayoko,fr FRA,"MF,FW",it Milan,26,1994,0.7,47,0,9,30,8,4,47,1,1,100.0,0,0.0,24,117,39,0,1,0,0,2,31,2,Matches
43,Ridle Baku,de GER,"FW,DF",de Wolfsburg,23,1998,4.6,226,13,79,96,53,1,226,11,4,36.4,7,63.6,116,530,261,7,6,0,10,2,125,16,Matches
44,Alejandro Balde,es ESP,"DF,FW",es Barcelona,17,2003,0.2,20,0,5,7,9,1,20,1,1,100.0,0,0.0,17,155,93,4,4,0,2,0,18,3,Matches
45,Gareth Bale,wls WAL,FW,es Real Madrid,32,1989,0.1,3,0,1,1,1,0,3,0,0,,0,,1,2,0,0,0,0,0,0,2,0,Matches
46,David von Ballmoos,ch SUI,GK,ch Young Boys,26,1994,3.0,93,79,92,1,0,0,93,0,0,,0,,60,253,153,0,0,0,0,0,50,0,Matches
47,Fodé Ballo-Touré,sn SEN,"DF,MF",it Milan,24,1997,1.0,57,4,19,27,12,0,57,1,1,100.0,0,0.0,20,139,55,1,3,0,2,0,21,0,Matches
48,Jonathan Bamba,ci CIV,"MF,FW",fr Lille,25,1996,5.2,299,5,49,149,111,18,299,25,17,68.0,8,32.0,175,1185,490,17,13,8,19,3,211,32,Matches
49,Nicolò Barella,it ITA,MF,it Inter,24,1997,5.5,364,3,32,204,134,7,364,11,5,45.5,6,54.5,262,1553,703,23,20,2,8,3,298,36,Matches
50,Ross Barkley,eng ENG,MF,eng Chelsea,27,1993,1.1,88,1,5,44,41,1,88,4,2,50.0,2,50.0,52,382,211,5,10,0,1,3,68,6,Matches
