Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
160,Costel Pantilimon,ro ROU,GK,Sunderland,eng Premier League,28,1987,17.0,33,,,,,,,,,,,,,,,,,,,,,,,,,Matches
161,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,34,1981,1.7,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
162,Alberto Pelagotti,it ITA,GK,Empoli,it Serie A,25,1989,6.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
163,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,32,1982,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
164,Mattia Perin,it ITA,GK,Genoa,it Serie A,22,1992,25.0,30,,,,,,,,,,,,,,,,,,,,,,,,,Matches
165,Denis Petrić,rs SRB,GK,Troyes,fr Ligue 1,27,1988,9.0,19,,,,,,,,,,,,,,,,,,,,,,,,,Matches
166,Denis Petrić,rs SRB,GK,Angers,fr Ligue 1,27,1988,2.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
167,Jordan Pickford,eng ENG,GK,Sunderland,eng Premier League,21,1994,2.0,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
168,Laurent Pionnier,fr FRA,GK,Montpellier,fr Ligue 1,33,1982,25.0,29,,,,,,,,,,,,,,,,,,,,,,,,,Matches
169,Johny Placide,ht HAI,GK,Reims,fr Ligue 1,27,1988,18.0,23,,,,,,,,,,,,,,,,,,,,,,,,,Matches
170,Stipe Pletikosa,hr CRO,GK,La Coruña,es La Liga,36,1979,2.0,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
171,Josip Posavec,hr CRO,GK,Palermo,it Serie A,19,1996,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
172,Simon Pouplin,fr FRA,GK,Nice,fr Ligue 1,30,1985,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
173,Jérôme Prior,fr FRA,GK,Bordeaux,fr Ligue 1,19,1995,12.0,10,,,,,,,,,,,,,,,,,,,,,,,,,Matches
174,Maurizio Pugliesi,it ITA,GK,Empoli,it Serie A,38,1976,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
175,Boris Radunović,rs SRB,GK,Atalanta,it Serie A,19,1996,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
