Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
31,Rodrigo Aguirre,uy URU,FW,Udinese,it Serie A,20,1994,3.8,,,,,,,,,,,,,,,1,,,,,,Matches
32,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,24,1990,29.6,,,,,,,,,,,,,,,1,,,,,,Matches
33,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,23,1991,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
34,Stefan Aigner,de GER,"FW,MF",Eint Frankfurt,de Bundesliga,27,1987,26.6,,,,,,,,,,,,,,,3,,,,,,Matches
35,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,es La Liga,22,1993,11.8,,,,,,,,,,,,,,,2,,,,,,Matches
36,Albian Ajeti,ch SUI,FW,Augsburg,de Bundesliga,18,1997,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
37,Arlind Ajeti,al ALB,DF,Frosinone,it Serie A,21,1993,13.5,,,,,,,,,,,,,,,0,,,,,,Matches
38,Nathan Aké,nl NED,"DF,MF",Watford,eng Premier League,20,1995,20.8,,,,,,,,,,,,,,,0,,,,,,Matches
39,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,21,1993,2.1,,,,,,,,,,,,,,,0,,,,,,Matches
40,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,fr Ligue 1,22,1992,28.4,,,,,,,,,,,,,,,4,,,,,,Matches
41,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,23,1992,27.7,,,,,,,,,,,,,,,0,,,,,,Matches
42,Fabrizio Alastra,it ITA,GK,Palermo,it Serie A,17,1997,1.6,,,,,,,,,,,,,,,0,,,,,,Matches
43,Jordi Alba,es ESP,"DF,MF",Barcelona,es La Liga,26,1989,28.8,,,,,,,,,,,,,,,6,,,,,,Matches
44,Raúl Albentosa,es ESP,DF,Málaga,es La Liga,26,1988,28.4,,,,,,,,,,,,,,,0,,,,,,Matches
45,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,it Serie A,24,1991,7.8,,,,,,,,,,,,,,,0,,,,,,Matches
46,Luis Alberto,es ESP,"FW,MF",La Coruña,es La Liga,22,1992,23.3,,,,,,,,,,,,,,,7,,,,,,Matches
47,Raúl Albiol,es ESP,DF,Napoli,it Serie A,29,1985,36.0,,,,,,,,,,,,,,,1,,,,,,Matches
48,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,24,1990,23.0,,,,,,,,,,,,,,,1,,,,,,Matches
49,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,25,1989,30.5,,,,,,,,,,,,,,,6,,,,,,Matches
50,Paco Alcácer,es ESP,FW,Valencia,es La Liga,21,1993,26.9,,,,,,,,,,,,,,,6,,,,,,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,24,1991,18.3,,,,,,,,,,,,,,,3,,,,,,Matches
52,Antolín Alcaraz,py PAR,DF,Las Palmas,es La Liga,33,1982,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,26,1989,38.0,,,,,,,,,,,,,,,2,,,,,,Matches
54,Alexis Alegue,fr FRA,"FW,MF",Nantes,fr Ligue 1,18,1996,1.1,,,,,,,,,,,,,,,0,,,,,,Matches
55,Nauzet Alemán,es ESP,MF,Las Palmas,es La Liga,30,1985,2.8,,,,,,,,,,,,,,,0,,,,,,Matches
56,Diego Alende,es ESP,DF,Celta Vigo,es La Liga,17,1997,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
57,Romain Alessandrini,fr FRA,"FW,MF",Marseille,fr Ligue 1,26,1989,13.8,,,,,,,,,,,,,,,4,,,,,,Matches
58,Alex,br BRA,DF,Milan,it Serie A,33,1982,23.2,,,,,,,,,,,,,,,1,,,,,,Matches
59,Alexis,es ESP,DF,Getafe,es La Liga,29,1985,15.0,,,,,,,,,,,,,,,0,,,,,,Matches
60,Chaker Alhadhur,km COM,"DF,MF",Caen,fr Ligue 1,23,1991,8.7,,,,,,,,,,,,,,,0,,,,,,Matches
61,Allan,br BRA,"DF,MF",Napoli,it Serie A,24,1991,31.3,,,,,,,,,,,,,,,5,,,,,,Matches
62,Joe Allen,wls WAL,MF,Liverpool,eng Premier League,25,1990,8.2,,,,,,,,,,,,,,,1,,,,,,Matches
63,Dele Alli,eng ENG,"FW,MF",Tottenham,eng Premier League,19,1996,27.4,,,,,,,,,,,,,,,9,,,,,,Matches
64,Ryan Allsop,eng ENG,GK,Bournemouth,eng Premier League,23,1992,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
65,Hugo Almeida,pt POR,FW,Hannover 96,de Bundesliga,31,1984,5.9,,,,,,,,,,,,,,,0,,,,,,Matches
66,Marcos Alonso,es ESP,"DF,MF",Fiorentina,it Serie A,24,1990,26.1,,,,,,,,,,,,,,,4,,,,,,Matches
67,Xabi Alonso,es ESP,MF,Bayern Munich,de Bundesliga,33,1981,21.6,,,,,,,,,,,,,,,2,,,,,,Matches
68,Batuhan Altıntaş,tr TUR,FW,Hamburger SV,de Bundesliga,19,1996,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
69,Halil Altıntop,tr TUR,"FW,MF",Augsburg,de Bundesliga,32,1982,13.3,,,,,,,,,,,,,,,2,,,,,,Matches
70,Ricky Álvarez,ar ARG,MF,Sampdoria,it Serie A,27,1988,9.0,,,,,,,,,,,,,,,1,,,,,,Matches
71,Sergio Álvarez,es ESP,"DF,MF",Sporting Gijón,es La Liga,23,1992,24.3,,,,,,,,,,,,,,,2,,,,,,Matches
72,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,28,1986,30.3,,,,,,,,,,,,,,,0,,,,,,Matches
73,Víctor Álvarez,es ESP,"DF,MF",Espanyol,es La Liga,22,1993,21.8,,,,,,,,,,,,,,,2,,,,,,Matches
74,Dani Alves,br BRA,"DF,MF",Barcelona,es La Liga,32,1983,23.8,,,,,,,,,,,,,,,3,,,,,,Matches
75,Diego Alves,br BRA,GK,Valencia,es La Liga,30,1985,13.0,,,,,,,,,,,,,,,0,,,,,,Matches
76,Ibrahim Amadou,fr FRA,"DF,MF",Lille,fr Ligue 1,22,1993,18.5,,,,,,,,,,,,,,,0,,,,,,Matches
77,Morgan Amalfitano,fr FRA,MF,Lille,fr Ligue 1,30,1985,10.6,,,,,,,,,,,,,,,0,,,,,,Matches
78,Daniel Amartey,gh GHA,"DF,MF",Leicester City,eng Premier League,20,1994,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
79,Jordi Amat,id IDN,DF,Swansea City,eng Premier League,23,1992,5.1,,,,,,,,,,,,,,,0,,,,,,Matches
80,Amauri,it ITA,FW,Torino,it Serie A,35,1980,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
81,Jordan Amavi,fr FRA,DF,Aston Villa,eng Premier League,21,1994,9.3,,,,,,,,,,,,,,,2,,,,,,Matches
82,Antonio Amaya,es ESP,DF,Rayo Vallecano,es La Liga,32,1983,11.5,,,,,,,,,,,,,,,1,,,,,,Matches
83,Jean Ambrose,ht HAI,DF,Bordeaux,fr Ligue 1,21,1993,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
84,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,18,1996,16.2,,,,,,,,,,,,,,,4,,,,,,Matches
85,Nordin Amrabat,ma MAR,"FW,MF",Watford,eng Premier League,28,1987,5.6,,,,,,,,,,,,,,,0,,,,,,Matches
86,Nordin Amrabat,ma MAR,"FW,MF",Málaga,es La Liga,28,1987,11.1,,,,,,,,,,,,,,,1,,,,,,Matches
87,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,22,1993,23.0,,,,,,,,,,,,,,,4,,,,,,Matches
88,Benjamin André,fr FRA,"DF,MF",Rennes,fr Ligue 1,24,1990,29.2,,,,,,,,,,,,,,,0,,,,,,Matches
89,Leon Andreasen,dk DEN,"DF,MF",Hannover 96,de Bundesliga,32,1983,12.0,,,,,,,,,,,,,,,1,,,,,,Matches
90,Ionuț Andrei Radu,ro ROU,GK,Inter,it Serie A,,,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
91,Marco Andreolli,it ITA,DF,Sevilla,es La Liga,29,1986,6.1,,,,,,,,,,,,,,,1,,,,,,Matches
92,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,26,1989,30.2,,,,,,,,,,,,,,,1,,,,,,Matches
93,José Ángel Crespo,es ESP,DF,Aston Villa,eng Premier League,28,1987,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
94,José Ángel Crespo,es ESP,DF,Rayo Vallecano,es La Liga,28,1987,7.9,,,,,,,,,,,,,,,0,,,,,,Matches
95,Miguel Ángel Guerrero,es ESP,"FW,MF",Sporting Gijón,es La Liga,25,1990,12.1,,,,,,,,,,,,,,,1,,,,,,Matches
96,Miguel Ángel,es ESP,DF,Getafe,es La Liga,19,1996,2.2,,,,,,,,,,,,,,,0,,,,,,Matches
97,Marcos Angeleri,ar ARG,DF,Málaga,es La Liga,32,1983,12.3,,,,,,,,,,,,,,,0,,,,,,Matches
98,Benjamin Angoua,ci CIV,DF,Guingamp,fr Ligue 1,28,1986,13.8,,,,,,,,,,,,,,,0,,,,,,Matches
99,Gaël Angoula,fr FRA,"DF,MF",Angers,fr Ligue 1,33,1982,11.3,,,,,,,,,,,,,,,0,,,,,,Matches
100,Victor Anichebe,ng NGA,FW,West Brom,eng Premier League,27,1988,4.1,,,,,,,,,,,,,,,0,,,,,,Matches
101,Vurnon Anita,cw CUW,"DF,MF",Newcastle Utd,eng Premier League,26,1989,23.3,,,,,,,,,,,,,,,3,,,,,,Matches
102,Cristian Ansaldi,ar ARG,"DF,MF",Genoa,it Serie A,28,1986,22.3,,,,,,,,,,,,,,,4,,,,,,Matches
103,Ion Ansotegi,es ESP,DF,Eibar,es La Liga,33,1982,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
104,Luca Antei,it ITA,DF,Sassuolo,it Serie A,23,1992,3.8,,,,,,,,,,,,,,,1,,,,,,Matches
105,Waldemar Anton,de GER,"DF,MF",Hannover 96,de Bundesliga,19,1996,6.5,,,,,,,,,,,,,,,0,,,,,,Matches
106,Luca Antonelli,it ITA,"DF,MF",Milan,it Serie A,28,1987,26.0,,,,,,,,,,,,,,,1,,,,,,Matches
107,Michail Antonio,jm JAM,"FW,MF",West Ham,eng Premier League,25,1990,22.9,,,,,,,,,,,,,,,3,,,,,,Matches
108,José Antonio Reyes,es ESP,MF,Sevilla,es La Liga,31,1983,13.1,,,,,,,,,,,,,,,1,,,,,,Matches
109,Ikechi Anya,sct SCO,"FW,MF",Watford,eng Premier League,27,1988,18.7,,,,,,,,,,,,,,,1,,,,,,Matches
110,Siniša Anđelković,si SVN,DF,Palermo,it Serie A,29,1986,21.2,,,,,,,,,,,,,,,1,,,,,,Matches
111,Dennis Aogo,de GER,"DF,MF",Schalke 04,de Bundesliga,28,1987,20.6,,,,,,,,,,,,,,,1,,,,,,Matches
112,Dennis Appiah,fr FRA,"DF,MF",Caen,fr Ligue 1,23,1992,38.0,,,,,,,,,,,,,,,1,,,,,,Matches
113,Youssef El-Arabi,ma MAR,FW,Granada,es La Liga,28,1987,27.9,,,,,,,,,,,,,,,1,,,,,,Matches
114,Mauro Arambarri,uy URU,MF,Bordeaux,fr Ligue 1,19,1995,1.7,,,,,,,,,,,,,,,0,,,,,,Matches
115,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,26,1989,5.2,,,,,,,,,,,,,,,1,,,,,,Matches
116,Alexis Araujo,pt POR,MF,Lille,fr Ligue 1,18,1996,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
117,Sergio Araujo,ar ARG,"FW,MF",Las Palmas,es La Liga,23,1992,20.2,,,,,,,,,,,,,,,2,,,,,,Matches
118,Álvaro Arbeloa,es ESP,DF,Real Madrid,es La Liga,32,1983,2.9,,,,,,,,,,,,,,,0,,,,,,Matches
119,Anaitz Arbilla,es ESP,DF,Espanyol,es La Liga,28,1987,7.0,,,,,,,,,,,,,,,0,,,,,,Matches
120,Alphonse Areola,fr FRA,GK,Villarreal,es La Liga,22,1993,32.0,,,,,,,,,,,,,,,0,,,,,,Matches
