Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
329,Yann Bodiger,fr FRA,MF,Toulouse,fr Ligue 1,20,1995,22,12,1083,12.0,1,0,1,1,0,0,8,0,0.08,0.00,0.08,0.08,0.08,Matches
330,Mathieu Bodmer,fr FRA,"DF,MF",Nice,fr Ligue 1,32,1982,19,16,1356,15.1,1,1,2,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches
331,Sebastian Boenisch,pl POL,DF,Leverkusen,de Bundesliga,28,1987,8,7,548,6.1,1,0,1,1,0,0,1,1,0.16,0.00,0.16,0.16,0.16,Matches
332,Jeremie Boga,ci CIV,"FW,MF",Rennes,fr Ligue 1,18,1997,27,6,983,10.9,2,0,2,2,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches
333,Ádám Bogdán,hu HUN,GK,Liverpool,eng Premier League,27,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
334,Arthur Boka,ci CIV,DF,Málaga,es La Liga,32,1983,14,12,1046,11.6,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
335,Yannick Bolasie,cd COD,"FW,MF",Crystal Palace,eng Premier League,26,1989,26,23,2075,23.1,5,3,8,5,0,0,2,0,0.22,0.13,0.35,0.22,0.35,Matches
336,Giacomo Bonaventura,it ITA,"FW,MF",Milan,it Serie A,25,1989,33,31,2840,31.6,6,8,14,6,0,0,8,0,0.19,0.25,0.44,0.19,0.44,Matches
337,Federico Bonazzoli,it ITA,FW,Sampdoria,it Serie A,18,1997,4,0,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
338,Daniele Bonera,it ITA,DF,Villarreal,es La Liga,34,1981,14,10,974,10.8,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
339,Theo Bongonda,cd COD,"FW,MF",Celta Vigo,es La Liga,19,1995,23,14,1193,13.3,2,1,3,2,0,0,5,0,0.15,0.08,0.23,0.15,0.23,Matches
340,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,28,1987,36,35,3156,35.1,3,1,4,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,Matches
341,Wilfried Bony,ci CIV,FW,Manchester City,eng Premier League,26,1988,26,13,1226,13.6,4,3,7,4,0,1,1,0,0.29,0.22,0.51,0.29,0.51,Matches
