Round,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
First qualifying round,Wed,2021-07-14,20:00,Legia Warsaw pl,,2–0,,no Bodø/Glimt,17473,Stadion Miejski Legii Warszawa im. Marsz...,Aristotelis Diamantopoulos,Match Report,Leg 2 of 2; Legia Warsaw won
First qualifying round,Wed,2021-07-14,20:00 (16:00),Qaırat Almaty kz,,2–0,,il Maccabi Haifa,7952,Ortalıq Stadion,Viktor Kopievskii,Match Report,Leg 2 of 2; Qaırat Almaty won
First qualifying round,Wed,2021-07-14,21:00 (19:00),Neftçi az,,2–1,,ge Dinamo Tbilisi,3218,Bakcell Arena,Dumitru Muntean,Match Report,Leg 2 of 2; Neftçi won
,,,,,,,,,,,,,
Second qualifying round,Tue,2021-07-20,18:00,Red Imps gi,,1–2,,ro CFR Cluj,1039,Victoria Stadium,Willy Delajod,Match Report,Leg 1 of 2
Second qualifying round,Tue,2021-07-20,19:00 (17:00),Alashkert am,,0–1,,md Sheriff Tiraspol,5800,Vazgen Sargsyan anvan Hanrapetakan Marza...,Rade Obrenović,Match Report,Leg 1 of 2
Second qualifying round,Tue,2021-07-20,19:45 (20:45),Celtic sct,,1–1,,dk Midtjylland,9000,Celtic Park,Sandro Schärer,Match Report,Leg 1 of 2
Second qualifying round,Tue,2021-07-20,20:00,Dinamo Zagreb hr,,2–0,,cy AC Omonia,2234,Stadion Maksimir,Paweł Gil,Match Report,Leg 1 of 2
Second qualifying round,Tue,2021-07-20,20:00,Ferencváros hu,,2–0,,lt Žalgiris,10107,Groupama Arena,Giorgi Kruashvili,Match Report,Leg 1 of 2
Second qualifying round,Tue,2021-07-20,20:30,Rapid Wien at,,2–1,,cz Sparta Prague,19500,Nachwuchszentrum First Vienna,Serdar Gözübüyük,Match Report,Leg 1 of 2
Second qualifying round,Wed,2021-07-21,19:00,Malmö se,,2–1,,fi HJK,5324,Malmö IP,Mykola Balakin,Match Report,Leg 1 of 2
Second qualifying round,Wed,2021-07-21,20:00,NŠ Mura si,,0–0,,bg Ludogorets,3450,Mestni Štadion Fazanerija,Harm Osmers,Match Report,Leg 1 of 2
Second qualifying round,Wed,2021-07-21,20:00 (16:00),Qaırat Almaty kz,,2–1,,rs Red Star,7000,Ortalıq Stadion,Halil Umut Meler,Match Report,Leg 1 of 2
Second qualifying round,Wed,2021-07-21,20:30,Slovan Bratislava sk,,0–0,,ch Young Boys,1000,Mestni Štadion Fazanerija,Chris Kavanagh,Match Report,Leg 1 of 2
Second qualifying round,Wed,2021-07-21,21:00,PSV Eindhoven nl,,5–1,,tr Galatasaray,23500,Philips Stadion,Alejandro Hernández,Match Report,Leg 1 of 2
Second qualifying round,Wed,2021-07-21,21:00,Legia Warsaw pl,,2–1,,ee Flora,16721,Stadion Miejski Legii Warszawa im. Marsz...,Vitaly Meshkov,Match Report,Leg 1 of 2
Second qualifying round,Wed,2021-07-21,22:00 (21:00),Olympiacos gr,,1–0,,az Neftçi,7305,Stadio Georgios Karaiskáki,João Pinheiro,Match Report,Leg 1 of 2
Second qualifying round,Tue,2021-07-27,19:00 (18:00),AC Omonia cy,,0–1,,hr Dinamo Zagreb,7256,Neo GSP,Glenn Nyberg,Match Report,Leg 2 of 2; Dinamo Zagreb won
Second qualifying round,Tue,2021-07-27,19:00 (18:00),HJK fi,,2–2,,se Malmö,6465,Telia 5G -areena,Stuart Attwell,Match Report,Leg 2 of 2; Malmö won
Second qualifying round,Tue,2021-07-27,19:00 (18:00),Flora ee,,0–1,,pl Legia Warsaw,3691,A. Le Coq Arena,Anastasios Papapetrou,Match Report,Leg 2 of 2; Legia Warsaw won
Second qualifying round,Tue,2021-07-27,20:00 (19:00),Žalgiris lt,,1–3,,hu Ferencváros,2032,Vilniaus LFF stadionas,Erik Lambrechts,Match Report,Leg 2 of 2; Ferencváros won
Second qualifying round,Wed,2021-07-28,19:45,Midtjylland dk,,2–1,,sct Celtic,4890,MCH Arena,Bartosz Frankowski,Match Report,Leg 2 of 2; Midtjylland won; Required Extra Time
Second qualifying round,Wed,2021-07-28,20:00 (19:00),Sheriff Tiraspol md,,3–1,,am Alashkert,2046,Bolshaya Sportivnaya Arena,Bojan Pandzic,Match Report,Leg 2 of 2; Sheriff Tiraspol won
Second qualifying round,Wed,2021-07-28,20:15,Young Boys ch,,3–2,,sk Slovan Bratislava,19564,Wankdorfstadion,Irfan Peljto,Match Report,Leg 2 of 2; Young Boys won
Second qualifying round,Wed,2021-07-28,20:30 (19:30),CFR Cluj ro,,2–0,,gi Red Imps,5230,Stadionul Dr. Constantin Rădulescu,Igal Frid,Match Report,Leg 2 of 2; CFR Cluj won
Second qualifying round,Wed,2021-07-28,20:30,Sparta Prague cz,,2–0,,at Rapid Wien,9105,Generali Česká Pojišťovna Arena,Bobby Madden,Match Report,Leg 2 of 2; Sparta Prague won
Second qualifying round,Wed,2021-07-28,20:30,Red Star rs,,5–0,,kz Qaırat Almaty,,Stadion Rajko Mitić,Andris Treimanis,Match Report,Leg 2 of 2; Red Star won
Second qualifying round,Wed,2021-07-28,21:00 (20:00),Ludogorets bg,,3–1,,si NŠ Mura,5008,Huvepharma Arena,Marco Di Bello,Match Report,Leg 2 of 2; Ludogorets won
Second qualifying round,Wed,2021-07-28,21:00 (20:00),Galatasaray tr,,1–2,,nl PSV Eindhoven,5775,Başakşehir Fatih Terim Stadium,Massimiliano Irrati,Match Report,Leg 2 of 2; PSV Eindhoven won
Round,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Second qualifying round,Wed,2021-07-28,21:00 (19:00),Neftçi az,,0–1,,gr Olympiacos,5500,Bakcell Arena,Ricardo de Burgos,Match Report,Leg 2 of 2; Olympiacos won
,,,,,,,,,,,,,
Third qualifying round,Tue,2021-08-03,19:00,Sparta Prague cz,,0–2,,fr Monaco,10533,Generali Česká Pojišťovna Arena,Michael Oliver,Match Report,Leg 1 of 2
Third qualifying round,Tue,2021-08-03,19:00,Malmö se,,2–1,,sct Rangers,5820,Eleda Stadion,Szymon Marciniak,Match Report,Leg 1 of 2
Third qualifying round,Tue,2021-08-03,20:00,PSV Eindhoven nl,,3–0,,dk Midtjylland,22700,Philips Stadion,Sergey Karasev,Match Report,Leg 1 of 2
Third qualifying round,Tue,2021-08-03,20:00,Genk be,,1–2,,ua Shakhtar,5096,Luminus Arena,Anastasios Sidiropoulos,Match Report,Leg 1 of 2
Third qualifying round,Tue,2021-08-03,21:00,Red Star rs,,1–1,,md Sheriff Tiraspol,24433,Stadion Rajko Mitić,Ovidiu Hațegan,Match Report,Leg 1 of 2
Third qualifying round,Tue,2021-08-03,21:00 (20:00),CFR Cluj ro,,1–1,,ch Young Boys,9500,Stadionul Dr. Constantin Rădulescu,Danny Makkelie,Match Report,Leg 1 of 2
