Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%,Matches
1,Alisson,br BRA,GK,eng Liverpool,32-240,1992,6,6,570,6.3,3,0.47,27,24,88.9,5,0,1,3,50.0,0,0,0,0,,Matches
2,David von Ballmoos,ch SUI,GK,ch Young Boys,30-151,1994,4,4,360,4.0,15,3.75,29,13,48.3,0,0,4,0,0.0,1,0,1,0,100.0,Matches
3,Walter Benítez,ar ARG,GK,nl PSV Eindhoven,32-131,1993,11,11,1020,11.3,21,1.85,59,38,66.1,5,3,3,1,9.1,1,1,0,0,0.0,Matches
4,Justin Bijlow,nl NED,GK,nl Feyenoord,27-128,1998,2,2,125,1.4,1,0.72,8,7,87.5,1,0,1,1,50.0,0,0,0,0,,Matches
5,Marco Bizot,nl NED,GK,fr Brest,34-081,1991,9,9,810,9.0,14,1.56,43,30,74.4,4,1,4,2,22.2,3,3,0,0,0.0,Matches
6,Janis Blaswich,de GER,GK,at RB Salzburg,34-028,1991,5,4,382,4.2,14,3.30,25,11,44.0,1,0,3,0,0.0,0,0,0,0,,Matches
7,Fabian Bredlow,de GER,GK,de Stuttgart,30-089,1995,1,1,90,1.0,4,4.00,6,2,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
8,Marco Carnesecchi,it ITA,GK,it Atalanta,24-333,2000,9,9,810,9.0,9,1.00,23,14,60.9,4,3,2,5,55.6,0,0,0,0,,Matches
9,Lucas Chevalier,fr FRA,GK,fr Lille,23-205,2001,10,10,900,10.0,13,1.30,45,32,75.6,5,2,3,1,10.0,2,2,0,0,0.0,Matches
10,Grégoire Coudert,fr FRA,GK,fr Brest,26-057,1999,1,1,90,1.0,7,7.00,9,2,22.2,0,0,1,0,0.0,0,0,0,0,,Matches
11,Thibaut Courtois,be BEL,GK,es Real Madrid,33-019,1992,12,12,1110,12.3,18,1.46,70,51,77.1,8,0,4,1,8.3,4,2,1,1,33.3,Matches
12,Michele Di Gregorio,it ITA,GK,it Juventus,27-307,1997,8,8,718,8.0,7,0.88,27,20,74.1,4,3,1,3,37.5,0,0,0,0,,Matches
13,Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,26-094,1999,14,14,1290,14.3,14,0.98,46,33,69.6,9,1,4,5,35.7,0,0,0,0,,Matches
14,Joel Drommel,nl NED,GK,nl PSV Eindhoven,28-195,1996,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
15,Ederson,br BRA,GK,eng Manchester City,31-286,1993,8,8,720,8.0,20,2.50,47,27,61.7,1,2,5,1,12.5,2,2,0,0,0.0,Matches
16,Paulo Gazzaniga,ar ARG,GK,es Girona,33-148,1992,7,7,630,7.0,11,1.57,38,30,73.7,1,0,6,1,14.3,2,1,1,0,50.0,Matches
17,Omri Glazer,il ISR,GK,rs Red Star,29-080,1996,3,3,270,3.0,9,3.00,15,6,46.7,0,0,3,0,0.0,1,1,0,0,0.0,Matches
18,Péter Gulácsi,hu HUN,GK,de RB Leipzig,35-024,1990,6,6,540,6.0,13,2.17,32,20,59.4,0,0,6,0,0.0,0,0,0,0,,Matches
19,Ivan Guteša,rs SRB,GK,rs Red Star,23-056,2002,3,3,270,3.0,3,1.00,15,12,80.0,2,0,1,1,33.3,0,0,0,0,,Matches
20,Lukáš Hrádecký,fi FIN,GK,de Leverkusen,35-187,1989,4,4,360,4.0,6,1.50,21,15,71.4,2,0,2,2,50.0,0,0,0,0,,Matches
21,Marko Ilić,rs SRB,GK,rs Red Star,27-116,1998,2,2,180,2.0,10,5.00,17,7,41.2,0,0,2,0,0.0,0,0,0,0,,Matches
22,Franco Israel,uy URU,GK,pt Sporting CP,25-038,2000,8,8,720,8.0,12,1.50,39,28,71.8,3,2,3,2,25.0,2,1,0,1,0.0,Matches
23,Caoimhín Kelleher,ie IRL,GK,eng Liverpool,26-188,1998,4,4,360,4.0,3,0.75,17,13,82.4,3,0,1,3,75.0,1,0,1,0,100.0,Matches
24,Marvin Keller,ch SUI,GK,ch Young Boys,22-331,2002,4,4,360,4.0,9,2.25,24,16,62.5,0,0,4,0,0.0,1,0,1,0,100.0,Matches
25,Daniil Khudiakov,ru RUS,GK,at Sturm Graz,21-141,2004,2,2,180,2.0,3,1.50,10,7,70.0,1,0,1,1,50.0,0,0,0,0,,Matches
26,Gregor Kobel,ch SUI,GK,de Dortmund,27-175,1997,13,13,1170,13.0,19,1.46,57,39,66.7,7,2,4,4,30.8,0,0,0,0,,Matches
27,Philipp Köhn,ch SUI,GK,fr Monaco,27-058,1998,2,2,180,2.0,3,1.50,4,1,25.0,1,1,0,0,0.0,0,0,0,0,,Matches
28,Matej Kovar,cz CZE,GK,de Leverkusen,25-013,2000,6,6,540,6.0,6,1.00,13,7,61.5,3,1,2,3,50.0,1,1,0,0,0.0,Matches
29,Pau López,es ESP,GK,es Girona,30-168,1994,1,1,90,1.0,2,2.00,6,3,83.3,0,0,1,0,0.0,2,1,1,0,50.0,Matches
30,Andriy Lunin,ua UKR,GK,es Real Madrid,26-108,1999,2,2,180,2.0,4,2.00,12,8,75.0,0,0,2,0,0.0,1,1,0,0,0.0,Matches
31,Mike Maignan,fr FRA,GK,it Milan,29-331,1995,10,10,860,9.6,12,1.26,49,37,77.6,5,1,4,1,10.0,1,1,0,0,0.0,Matches
32,Radosław Majecki,pl POL,GK,fr Monaco,25-195,1999,8,8,720,8.0,14,1.75,45,31,75.6,3,1,4,2,25.0,3,3,0,0,0.0,Matches
33,Emiliano Martínez,ar ARG,GK,eng Aston Villa,32-270,1992,12,12,1080,12.0,12,1.00,60,48,81.7,8,1,3,5,41.7,1,1,0,0,0.0,Matches
34,Josep Martinez,es ESP,GK,it Inter,27-003,1998,1,1,90,1.0,0,0.00,5,5,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
35,Alexander Meyer,de GER,GK,de Dortmund,34-047,1991,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
36,Simon Mignolet,be BEL,GK,be Club Brugge,37-085,1988,12,12,1080,12.0,19,1.58,53,35,67.9,5,2,5,3,25.0,3,2,1,0,33.3,Matches
37,Neto,br BRA,GK,eng Arsenal,35-315,1989,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches
38,Manuel Neuer,de GER,GK,de Bayern Munich,39-064,1986,10,10,822,9.1,11,1.20,21,10,52.4,6,1,3,2,20.0,1,1,0,0,0.0,Matches
39,Ivan Nevistić,hr CRO,GK,hr Dinamo Zagreb,26-303,1998,5,5,450,5.0,15,3.00,34,19,67.6,2,1,2,1,20.0,4,4,0,0,0.0,Matches
