Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
1,Alisson,br BRA,GK,eng Liverpool,32-240,1992,6.3,3,0,0,0,0,6.6,0.24,+3.6,+0.60,34,87,39.1,222,25,34.7,32.4,21,47.6,42.2,63,4,6.3,7,1.17,14.0,Matches
2,David von Ballmoos,ch SUI,GK,ch Young Boys,30-151,1994,4.0,15,0,0,2,0,9.5,0.30,-5.5,-1.38,23,67,34.3,127,9,43.3,36.4,23,52.2,46.3,59,1,1.7,4,1.00,16.2,Matches
3,Walter Benítez,ar ARG,GK,nl PSV Eindhoven,32-131,1993,11.3,21,1,0,2,0,19.1,0.31,-1.9,-0.18,66,149,44.3,400,49,28.5,31.2,61,57.4,44.5,147,13,8.8,11,1.00,12.4,Matches
4,Justin Bijlow,nl NED,GK,nl Feyenoord,27-128,1998,1.4,1,0,0,0,0,2.8,0.35,+1.8,+1.31,9,29,31.0,39,2,43.6,39.7,18,66.7,54.3,40,3,7.5,0,0.00,7.0,Matches
5,Marco Bizot,nl NED,GK,fr Brest,34-081,1991,9.0,14,3,0,0,1,13.7,0.27,+0.7,+0.08,80,174,46.0,232,33,62.9,44.6,38,73.7,53.4,111,11,9.9,16,1.78,15.2,Matches
6,Janis Blaswich,de GER,GK,at RB Salzburg,34-028,1991,4.2,14,0,0,0,0,10.0,0.40,-4.0,-0.94,14,44,31.8,105,13,28.6,30.7,27,51.9,38.6,48,1,2.1,6,1.42,15.5,Matches
7,Fabian Bredlow,de GER,GK,de Stuttgart,30-089,1995,1.0,4,0,0,1,0,3.3,0.55,-0.7,-0.72,4,14,28.6,31,5,45.2,38.1,2,0.0,12.5,8,0,0.0,2,2.00,23.7,Matches
8,Marco Carnesecchi,it ITA,GK,it Atalanta,24-333,2000,9.0,9,0,0,2,0,7.6,0.35,-1.4,-0.16,40,114,35.1,206,22,35.9,34.5,52,76.9,54.7,60,2,3.3,15,1.67,16.3,Matches
9,Lucas Chevalier,fr FRA,GK,fr Lille,23-205,2001,10.0,13,2,0,3,0,15.4,0.33,+2.4,+0.24,44,125,35.2,303,34,33.3,32.7,36,66.7,49.9,112,5,4.5,3,0.30,9.7,Matches
10,Grégoire Coudert,fr FRA,GK,fr Brest,26-057,1999,1.0,7,0,0,0,0,5.7,0.65,-1.3,-1.32,7,20,35.0,29,9,44.8,36.3,8,87.5,63.3,8,2,25.0,2,2.00,15.8,Matches
