Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
1,Brenden Aaronson,us USA,MF,at RB Salzburg,20,2000,7.9,235,205,28,2,4,1,20,5,4,1,3,0,177,2,10,Matches
2,Malik Abubakari,gh GHA,FW,se Malmö,21,2000,1.3,30,28,2,0,0,0,1,0,0,0,0,0,23,0,0,Matches
3,Marcos Acuña,ar ARG,DF,es Sevilla,29,1991,4.2,339,274,64,13,1,7,27,46,5,0,5,0,248,1,4,Matches
4,Tyler Adams,us USA,MF,de RB Leipzig,22,1999,3.3,173,171,2,1,0,1,2,1,0,0,0,0,148,0,2,Matches
5,Junior Adamu,at AUT,FW,at RB Salzburg,20,2001,2.6,57,56,1,0,1,0,3,0,0,0,0,0,27,0,6,Matches
6,Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,7.0,247,179,67,34,0,0,0,0,0,0,0,0,171,1,0,Matches
7,Edmund Addo,gh GHA,MF,md Sheriff Tiraspol,21,2000,5.4,144,140,4,4,0,0,0,0,0,0,0,0,124,0,4,Matches
8,Karim Adeyemi,de GER,FW,at RB Salzburg,19,2002,6.7,91,87,3,1,2,0,4,2,0,0,0,0,49,1,8,Matches
9,Michel Aebischer,ch SUI,MF,ch Young Boys,24,1997,5.6,275,256,16,4,0,2,19,1,11,5,5,0,223,3,6,Matches
10,Sergio Agüero,ar ARG,FW,es Barcelona,33,1988,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
11,Anel Ahmedhodžić,ba BIH,DF,se Malmö,22,1999,4.6,227,217,10,10,0,4,0,0,0,0,0,0,189,0,4,Matches
12,Manuel Akanji,ch SUI,DF,de Dortmund,26,1995,5.0,294,287,7,7,1,4,1,0,0,0,0,0,250,0,0,Matches
13,Nathan Aké,nl NED,DF,eng Manchester City,26,1995,3.6,280,260,20,6,0,3,0,14,0,0,0,0,254,0,0,Matches
14,David Alaba,at AUT,DF,es Real Madrid,29,1992,11.5,678,652,26,18,3,2,16,4,2,1,1,0,607,0,4,Matches
15,Jordi Alba,es ESP,"DF,FW",es Barcelona,32,1989,4.1,359,311,41,9,1,1,27,32,0,0,0,0,285,7,7,Matches
16,Raúl Albiol,es ESP,DF,es Villarreal,35,1985,11.6,469,456,13,13,0,3,1,0,0,0,0,0,391,0,3,Matches
17,Paco Alcácer,es ESP,FW,es Villarreal,27,1993,0.8,9,8,1,0,0,0,0,0,0,0,0,0,7,0,1,Matches
18,Thiago Alcántara,es ESP,MF,eng Liverpool,30,1991,6.7,552,536,14,11,1,10,1,1,0,0,0,0,501,2,5,Matches
19,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,22,1998,8.8,839,688,147,25,4,16,81,86,36,6,27,0,651,4,7,Matches
20,Alisson,br BRA,GK,eng Liverpool,28,1992,13.0,491,417,71,17,0,1,0,0,0,0,0,0,432,3,1,Matches
21,André Almeida,pt POR,"DF,MF",pt Benfica,30,1990,2.6,119,104,15,10,0,4,3,5,0,0,0,0,87,0,1,Matches
22,Marcos Alonso,es ESP,"DF,MF",eng Chelsea,30,1990,6.1,386,295,90,9,0,1,31,66,15,6,7,0,318,1,11,Matches
23,Éder Álvarez Balanta,co COL,MF,be Club Brugge,28,1993,4.5,149,149,0,0,0,0,1,0,0,0,0,0,106,0,3,Matches
24,Edson Álvarez,mx MEX,MF,nl Ajax,23,1997,6.2,369,366,3,3,0,1,1,0,0,0,0,0,335,0,3,Matches
