Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
491,Sérgio Oliveira,pt POR,MF,pt Porto,29,1992,3.3,11,3.31,3,8,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
492,Dani Olmo,es ESP,MF,de RB Leipzig,23,1998,1.0,2,2.02,2,0,0,0,0,0,1,1.01,1,0,0,0,0,0,Matches
493,Martin Olsson,se SWE,DF,se Malmö,33,1988,3.2,2,0.63,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
494,Amadou Onana,be BEL,"MF,DF",fr Lille,19,2001,2.9,7,2.43,5,0,0,1,1,0,1,0.35,1,0,0,0,0,0,Matches
495,André Onana,cm CMR,GK,nl Ajax,25,1996,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
496,Jérôme Onguéné,cm CMR,DF,at RB Salzburg,23,1997,4.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
497,Willi Orban,hu HUN,DF,de RB Leipzig,28,1992,3.5,2,0.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
498,Divock Origi,be BEL,FW,eng Liverpool,26,1995,2.1,8,3.85,5,0,0,1,1,1,1,0.48,1,0,0,0,0,0,Matches
499,Nicolás Otamendi,ar ARG,DF,pt Benfica,33,1988,9.0,10,1.11,8,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
500,Otávio,pt POR,MF,pt Porto,26,1995,5.0,20,4.03,16,2,0,1,1,0,1,0.20,1,0,0,0,0,0,Matches
501,Paulo Otávio,br BRA,"DF,MF",de Wolfsburg,26,1994,1.9,1,0.53,1,0,0,0,0,0,1,0.53,1,0,0,0,0,0,Matches
502,Alex Oxlade-Chamberlain,eng ENG,MF,eng Liverpool,27,1993,3.3,15,4.49,4,3,4,2,1,1,3,0.90,0,0,0,1,1,1,Matches
503,Magomed Ozdoyev,ru RUS,MF,ru Zenit,28,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
504,Oğuzhan Özyakup,tr TUR,MF,tr Beşiktaş,28,1992,0.6,4,6.79,2,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
505,João Palhinha,pt POR,MF,pt Sporting CP,26,1995,5.9,2,0.34,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
506,Cole Palmer,eng ENG,"MF,FW",eng Manchester City,19,2002,0.5,1,2.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
507,Leandro Paredes,ar ARG,MF,fr Paris S-G,27,1994,3.5,4,1.14,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
508,Daniel Parejo,es ESP,MF,es Villarreal,32,1989,11.7,38,3.25,19,18,0,1,0,0,4,0.34,1,2,0,1,0,0,Matches
509,Mario Pašalić,hr CRO,MF,it Atalanta,26,1995,2.4,5,2.06,5,0,0,0,0,0,1,0.41,1,0,0,0,0,0,Matches
510,Felix Passlack,de GER,DF,de Dortmund,23,1998,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
511,Remko Pasveer,nl NED,GK,nl Ajax,37,1983,6.0,2,0.33,2,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
512,Alan Patrick,br BRA,MF,ua Shakhtar,30,1991,3.0,13,4.38,9,1,2,1,0,0,1,0.34,1,0,0,0,0,0,Matches
