Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
1.0,Fri,2015-08-14,20:30,Bayern Munich,5–0,Hamburger SV,75000.0,Allianz Arena,Bastian Dankert,Match Report,
1.0,Sat,2015-08-15,15:30,Augsburg,0–1,Hertha BSC,28130.0,WWK Arena,Tobias Welz,Match Report,
1.0,Sat,2015-08-15,15:30,Darmstadt 98,2–2,Hannover 96,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Felix Brych,Match Report,
1.0,Sat,2015-08-15,15:30,Leverkusen,2–1,Hoffenheim,27125.0,BayArena,Robert Hartmann,Match Report,
1.0,Sat,2015-08-15,15:30,Werder Bremen,0–3,Schalke 04,42100.0,Weserstadion,Daniel Siebert,Match Report,
1.0,Sat,2015-08-15,15:30,Mainz 05,0–1,Ingolstadt 04,27152.0,Opel Arena,Guido Winkmann,Match Report,
1.0,Sat,2015-08-15,18:30,Dortmund,4–0,Gladbach,81359.0,Signal Iduna Park,Tobias Stieler,Match Report,
1.0,Sun,2015-08-16,15:30,Wolfsburg,2–1,Eint Frankfurt,29126.0,Volkswagen Arena,Christian Dingert,Match Report,
1.0,Sun,2015-08-16,17:30,Stuttgart,1–3,Köln,59500.0,Mercedes-Benz Arena,Wolfgang Stark,Match Report,
,,,,,,,,,,,
2.0,Fri,2015-08-21,20:30,Hertha BSC,1–1,Werder Bremen,56376.0,Olympiastadion Berlin,Sascha Stegemann,Match Report,
2.0,Sat,2015-08-22,15:30,Hannover 96,0–1,Leverkusen,39100.0,HDI-Arena,Wolfgang Stark,Match Report,
2.0,Sat,2015-08-22,15:30,Köln,1–1,Wolfsburg,46000.0,RheinEnergieSTADION,Knut Kircher,Match Report,
2.0,Sat,2015-08-22,15:30,Hoffenheim,1–2,Bayern Munich,30150.0,PreZero Arena,Tobias Stieler,Match Report,
2.0,Sat,2015-08-22,15:30,Schalke 04,1–1,Darmstadt 98,61565.0,Veltins-Arena,Benjamin Brand,Match Report,
2.0,Sat,2015-08-22,15:30,Eint Frankfurt,1–1,Augsburg,45000.0,Commerzbank-Arena,Florian Meyer,Match Report,
2.0,Sat,2015-08-22,18:30,Hamburger SV,3–2,Stuttgart,54618.0,Volksparkstadion,Günter Perl,Match Report,
2.0,Sun,2015-08-23,15:30,Ingolstadt 04,0–4,Dortmund,15000.0,Audi-Sportpark,Christian Dingert,Match Report,
2.0,Sun,2015-08-23,17:30,Gladbach,1–2,Mainz 05,50172.0,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
,,,,,,,,,,,
3.0,Fri,2015-08-28,20:30,Wolfsburg,3–0,Schalke 04,30000.0,Volkswagen Arena,Felix Brych,Match Report,
3.0,Sat,2015-08-29,15:30,Stuttgart,1–4,Eint Frankfurt,49327.0,Mercedes-Benz Arena,Bastian Dankert,Match Report,
3.0,Sat,2015-08-29,15:30,Augsburg,0–1,Ingolstadt 04,30003.0,WWK Arena,Jochen Drees,Match Report,
3.0,Sat,2015-08-29,15:30,Darmstadt 98,0–0,Hoffenheim,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Marco Fritz,Match Report,
3.0,Sat,2015-08-29,15:30,Mainz 05,3–0,Hannover 96,26872.0,Opel Arena,Peter Sippel,Match Report,
3.0,Sat,2015-08-29,15:30,Köln,2–1,Hamburger SV,50000.0,RheinEnergieSTADION,Deniz Aytekin,Match Report,
3.0,Sat,2015-08-29,18:30,Bayern Munich,3–0,Leverkusen,75000.0,Allianz Arena,Florian Meyer,Match Report,
3.0,Sun,2015-08-30,15:30,Dortmund,3–1,Hertha BSC,80500.0,Signal Iduna Park,Guido Winkmann,Match Report,
3.0,Sun,2015-08-30,17:30,Werder Bremen,2–1,Gladbach,42100.0,Weserstadion,Felix Zwayer,Match Report,
,,,,,,,,,,,
4.0,Fri,2015-09-11,20:30,Gladbach,0–3,Hamburger SV,54010.0,Stadion im Borussia-Park,Tobias Welz,Match Report,
4.0,Sat,2015-09-12,15:30,Hertha BSC,2–1,Stuttgart,45994.0,Olympiastadion Berlin,Tobias Stieler,Match Report,
4.0,Sat,2015-09-12,15:30,Leverkusen,0–1,Darmstadt 98,29396.0,BayArena,Peter Sippel,Match Report,
4.0,Sat,2015-09-12,15:30,Ingolstadt 04,0–0,Wolfsburg,14095.0,Audi-Sportpark,Sascha Stegemann,Match Report,
4.0,Sat,2015-09-12,15:30,Bayern Munich,2–1,Augsburg,75000.0,Allianz Arena,Knut Kircher,Match Report,
4.0,Sat,2015-09-12,15:30,Hannover 96,2–4,Dortmund,49000.0,HDI-Arena,Daniel Siebert,Match Report,
4.0,Sat,2015-09-12,18:30,Eint Frankfurt,6–2,Köln,51500.0,Commerzbank-Arena,Marco Fritz,Match Report,
4.0,Sun,2015-09-13,15:30,Hoffenheim,1–3,Werder Bremen,28312.0,PreZero Arena,Jochen Drees,Match Report,
4.0,Sun,2015-09-13,17:30,Schalke 04,2–1,Mainz 05,60083.0,Veltins-Arena,Robert Hartmann,Match Report,
,,,,,,,,,,,
5.0,Fri,2015-09-18,20:30,Mainz 05,3–1,Hoffenheim,28973.0,Opel Arena,Daniel Siebert,Match Report,
5.0,Sat,2015-09-19,15:30,Werder Bremen,0–1,Ingolstadt 04,40500.0,Weserstadion,Bastian Dankert,Match Report,
5.0,Sat,2015-09-19,15:30,Köln,1–0,Gladbach,47800.0,RheinEnergieSTADION,Felix Brych,Match Report,
5.0,Sat,2015-09-19,15:30,Darmstadt 98,0–3,Bayern Munich,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Felix Zwayer,Match Report,
5.0,Sat,2015-09-19,15:30,Wolfsburg,2–0,Hertha BSC,30000.0,Volkswagen Arena,Günter Perl,Match Report,
5.0,Sat,2015-09-19,15:30,Hamburger SV,0–0,Eint Frankfurt,55322.0,Volksparkstadion,Wolfgang Stark,Match Report,
5.0,Sun,2015-09-20,15:30,Stuttgart,0–1,Schalke 04,48510.0,Mercedes-Benz Arena,Manuel Gräfe,Match Report,
5.0,Sun,2015-09-20,17:30,Dortmund,3–0,Leverkusen,81359.0,Signal Iduna Park,Deniz Aytekin,Match Report,
5.0,Sun,2015-09-20,17:30,Augsburg,2–0,Hannover 96,28511.0,WWK Arena,Christian Dingert,Match Report,
,,,,,,,,,,,
6.0,Tue,2015-09-22,20:00,Hertha BSC,2–0,Köln,40181.0,Olympiastadion Berlin,Florian Meyer,Match Report,
6.0,Tue,2015-09-22,20:00,Ingolstadt 04,0–1,Hamburger SV,15000.0,Audi-Sportpark,Knut Kircher,Match Report,
6.0,Tue,2015-09-22,20:00,Darmstadt 98,2–1,Werder Bremen,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Guido Winkmann,Match Report,
6.0,Tue,2015-09-22,20:00,Bayern Munich,5–1,Wolfsburg,75000.0,Allianz Arena,Tobias Stieler,Match Report,
6.0,Wed,2015-09-23,20:00,Gladbach,4–2,Augsburg,40511.0,Stadion im Borussia-Park,Daniel Siebert,Match Report,
6.0,Wed,2015-09-23,20:00,Hoffenheim,1–1,Dortmund,29700.0,PreZero Arena,Tobias Welz,Match Report,
6.0,Wed,2015-09-23,20:00,Schalke 04,2–0,Eint Frankfurt,60104.0,Veltins-Arena,Felix Zwayer,Match Report,
6.0,Wed,2015-09-23,20:00,Leverkusen,1–0,Mainz 05,24805.0,BayArena,Marco Fritz,Match Report,
6.0,Wed,2015-09-23,20:00,Hannover 96,1–3,Stuttgart,36800.0,HDI-Arena,Sascha Stegemann,Match Report,
,,,,,,,,,,,
7.0,Fri,2015-09-25,20:30,Köln,1–1,Ingolstadt 04,47800.0,RheinEnergieSTADION,Christian Dingert,Match Report,
7.0,Sat,2015-09-26,15:30,Augsburg,1–3,Hoffenheim,27112.0,WWK Arena,Manuel Gräfe,Match Report,
7.0,Sat,2015-09-26,15:30,Wolfsburg,1–1,Hannover 96,29236.0,Volkswagen Arena,Deniz Aytekin,Match Report,
7.0,Sat,2015-09-26,15:30,Werder Bremen,0–3,Leverkusen,40005.0,Weserstadion,Wolfgang Stark,Match Report,
7.0,Sat,2015-09-26,15:30,Mainz 05,0–3,Bayern Munich,34000.0,Opel Arena,Bastian Dankert,Match Report,
7.0,Sat,2015-09-26,15:30,Stuttgart,1–3,Gladbach,51020.0,Mercedes-Benz Arena,Günter Perl,Match Report,
7.0,Sat,2015-09-26,18:30,Hamburger SV,0–1,Schalke 04,53192.0,Volksparkstadion,Jochen Drees,Match Report,
7.0,Sun,2015-09-27,15:30,Eint Frankfurt,1–1,Hertha BSC,46000.0,Commerzbank-Arena,Benjamin Brand,Match Report,
7.0,Sun,2015-09-27,17:30,Dortmund,2–2,Darmstadt 98,81359.0,Signal Iduna Park,Robert Hartmann,Match Report,
,,,,,,,,,,,
8.0,Fri,2015-10-02,20:30,Darmstadt 98,2–3,Mainz 05,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Florian Meyer,Match Report,
8.0,Sat,2015-10-03,15:30,Hoffenheim,2–2,Stuttgart,30150.0,PreZero Arena,Deniz Aytekin,Match Report,
8.0,Sat,2015-10-03,15:30,Ingolstadt 04,2–0,Eint Frankfurt,15000.0,Audi-Sportpark,Manuel Gräfe,Match Report,
8.0,Sat,2015-10-03,15:30,Hannover 96,1–0,Werder Bremen,49000.0,HDI-Arena,Peter Sippel,Match Report,
8.0,Sat,2015-10-03,15:30,Hertha BSC,3–0,Hamburger SV,65427.0,Olympiastadion Berlin,Felix Brych,Match Report,
8.0,Sat,2015-10-03,15:30,Gladbach,2–0,Wolfsburg,52581.0,Stadion im Borussia-Park,Felix Zwayer,Match Report,
8.0,Sun,2015-10-04,15:30,Schalke 04,0–3,Köln,61723.0,Veltins-Arena,Knut Kircher,Match Report,
8.0,Sun,2015-10-04,17:30,Bayern Munich,5–1,Dortmund,75000.0,Allianz Arena,Marco Fritz,Match Report,
8.0,Sun,2015-10-04,17:30,Leverkusen,1–1,Augsburg,28475.0,BayArena,Tobias Stieler,Match Report,
,,,,,,,,,,,
9.0,Fri,2015-10-16,20:30,Mainz 05,0–2,Dortmund,34000.0,Opel Arena,Tobias Stieler,Match Report,
9.0,Sat,2015-10-17,15:30,Werder Bremen,0–1,Bayern Munich,42100.0,Weserstadion,Christian Dingert,Match Report,
9.0,Sat,2015-10-17,15:30,Hamburger SV,0–0,Leverkusen,54957.0,Volksparkstadion,Tobias Welz,Match Report,
9.0,Sat,2015-10-17,15:30,Augsburg,0–2,Darmstadt 98,30009.0,WWK Arena,Sascha Stegemann,Match Report,
9.0,Sat,2015-10-17,15:30,Schalke 04,2–1,Hertha BSC,61336.0,Veltins-Arena,Marco Fritz,Match Report,
9.0,Sat,2015-10-17,15:30,Wolfsburg,4–2,Hoffenheim,28148.0,Volkswagen Arena,Felix Brych,Match Report,
9.0,Sat,2015-10-17,18:30,Eint Frankfurt,1–5,Gladbach,50700.0,Commerzbank-Arena,Florian Meyer,Match Report,
9.0,Sun,2015-10-18,15:30,Köln,0–1,Hannover 96,48700.0,RheinEnergieSTADION,Bastian Dankert,Match Report,
9.0,Sun,2015-10-18,17:30,Stuttgart,1–0,Ingolstadt 04,45700.0,Mercedes-Benz Arena,Guido Winkmann,Match Report,
,,,,,,,,,,,
10.0,Fri,2015-10-23,20:30,Hoffenheim,0–1,Hamburger SV,30000.0,PreZero Arena,Daniel Siebert,Match Report,
10.0,Sat,2015-10-24,15:30,Bayern Munich,4–0,Köln,75000.0,Allianz Arena,Florian Meyer,Match Report,
10.0,Sat,2015-10-24,15:30,Leverkusen,4–3,Stuttgart,30210.0,BayArena,Felix Brych,Match Report,
10.0,Sat,2015-10-24,15:30,Mainz 05,1–3,Werder Bremen,30837.0,Opel Arena,Robert Hartmann,Match Report,
10.0,Sat,2015-10-24,15:30,Darmstadt 98,0–1,Wolfsburg,15800.0,Jonathan-Heimes-Stadion am Böllenfalltor,Günter Perl,Match Report,
10.0,Sat,2015-10-24,15:30,Hannover 96,1–2,Eint Frankfurt,44200.0,HDI-Arena,Felix Zwayer,Match Report,
10.0,Sat,2015-10-24,18:30,Ingolstadt 04,0–1,Hertha BSC,15000.0,Audi-Sportpark,Sascha Stegemann,Match Report,
10.0,Sun,2015-10-25,15:30 (16:30),Dortmund,5–1,Augsburg,81359.0,Signal Iduna Park,Manuel Gräfe,Match Report,
