Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%,Matches
146,Adrián Ortolá,es ESP,GK,Alavés,es La Liga,22,1993,2,2,180,2.0,1,0.50,7,6,85.7,1,1,0,1,50.0,0,0,0,0,,Matches
147,David Ospina,co COL,GK,Arsenal,eng Premier League,27,1988,2,1,143,1.6,4,2.52,9,5,55.6,0,1,1,0,0.0,0,0,0,0,,Matches
148,Juan Pablo Carrizo,ar ARG,GK,Inter,it Serie A,32,1984,1,1,90,1.0,2,2.00,4,2,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
149,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,24,1992,36,36,3240,36.0,42,1.17,149,113,74.5,13,12,11,11,30.6,6,4,2,0,33.3,Matches
150,Daniele Padelli,it ITA,GK,Torino,it Serie A,30,1985,2,2,180,2.0,4,2.00,7,3,57.1,1,0,1,0,0.0,1,1,0,0,0.0,Matches
151,Costel Pantilimon,ro ROU,GK,Watford,eng Premier League,29,1987,2,0,83,0.9,4,4.34,10,6,60.0,0,0,1,0,,0,0,0,0,,Matches
152,Alberto Pelagotti,it ITA,GK,Empoli,it Serie A,26,1989,3,3,270,3.0,5,1.67,13,8,61.5,0,0,3,0,0.0,0,0,0,0,,Matches
153,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,33,1982,38,38,3420,38.0,41,1.08,163,122,76.1,17,11,10,18,47.4,2,2,0,0,0.0,Matches
154,Nauzet Pérez,es ESP,GK,Osasuna,es La Liga,31,1985,13,13,1170,13.0,29,2.23,66,38,57.6,1,3,9,0,0.0,1,1,0,0,0.0,Matches
155,Mattia Perin,it ITA,GK,Genoa,it Serie A,23,1992,16,16,1357,15.1,19,1.26,55,36,69.1,4,5,6,6,37.5,4,2,1,1,33.3,Matches
156,Denis Petrić,rs SRB,GK,Angers,fr Ligue 1,28,1988,9,9,810,9.0,15,1.67,32,17,56.3,1,2,6,0,0.0,1,1,0,0,0.0,Matches
157,Jordan Pickford,eng ENG,GK,Sunderland,eng Premier League,22,1994,29,29,2610,29.0,50,1.72,189,139,74.6,5,4,20,4,13.8,2,2,0,0,0.0,Matches
158,Laurent Pionnier,fr FRA,GK,Montpellier,fr Ligue 1,34,1982,25,25,2250,25.0,38,1.52,106,68,67.9,7,5,13,6,24.0,4,4,0,0,0.0,Matches
159,Josip Posavec,hr CRO,GK,Palermo,it Serie A,20,1996,29,29,2610,29.0,63,2.17,166,103,65.1,3,6,20,2,6.9,5,5,0,0,0.0,Matches
160,Jérôme Prior,fr FRA,GK,Bordeaux,fr Ligue 1,20,1995,14,14,1260,14.0,21,1.50,68,47,70.6,5,5,4,4,28.6,1,1,0,0,0.0,Matches
161,Christian Puggioni,it ITA,GK,Sampdoria,it Serie A,35,1981,21,21,1890,21.0,35,1.67,112,77,72.3,5,7,9,4,19.0,5,4,1,0,20.0,Matches
162,Rafael,br BRA,GK,Cagliari,it Serie A,34,1982,21,19,1802,20.0,32,1.60,105,73,71.4,9,2,9,3,15.8,5,2,2,1,50.0,Matches
163,Darren Randolph,ie IRL,GK,West Ham,eng Premier League,29,1987,22,22,1980,22.0,39,1.77,104,65,65.4,7,5,10,4,18.2,5,3,1,1,25.0,Matches
164,Pepe Reina,es ESP,GK,Napoli,it Serie A,33,1982,37,37,3330,37.0,38,1.03,124,86,71.8,26,7,4,12,32.4,4,3,1,0,25.0,Matches
165,Paul Reulet,fr FRA,GK,Caen,fr Ligue 1,22,1994,3,2,197,2.2,8,3.65,16,8,50.0,0,1,1,0,0.0,0,0,0,0,,Matches
166,Baptiste Reynet,fr FRA,GK,Dijon,fr Ligue 1,25,1990,37,37,3330,37.0,58,1.57,198,140,75.3,8,12,17,9,24.3,11,9,1,1,10.0,Matches
167,Sergio Rico,es ESP,GK,Sevilla,es La Liga,22,1993,35,35,3150,35.0,45,1.29,152,111,72.4,20,8,7,12,34.3,4,3,1,0,25.0,Matches
168,Asier Riesgo,es ESP,GK,Eibar,es La Liga,32,1983,16,16,1252,13.9,19,1.37,48,32,66.7,7,3,6,4,25.0,3,3,0,0,0.0,Matches
169,Rémy Riou,fr FRA,GK,Nantes,fr Ligue 1,28,1987,22,22,1980,22.0,34,1.55,88,54,68.2,6,6,10,5,22.7,6,6,0,0,0.0,Matches
170,Roberto,es ESP,GK,Espanyol,es La Liga,30,1986,4,3,307,3.4,12,3.52,22,10,45.5,0,2,1,0,0.0,0,0,0,0,,Matches
171,Paul Robinson,eng ENG,GK,Burnley,eng Premier League,36,1979,3,3,270,3.0,7,2.33,19,12,63.2,0,0,3,0,0.0,0,0,0,0,,Matches
172,Joel Robles,es ESP,GK,Everton,eng Premier League,26,1990,20,19,1737,19.3,20,1.04,80,60,77.5,12,4,3,10,52.6,2,2,0,0,0.0,Matches
173,Davy Roef,be BEL,GK,La Coruña,es La Liga,22,1994,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
174,Sergio Romero,ar ARG,GK,Manchester Utd,eng Premier League,29,1987,2,2,180,2.0,0,0.00,10,10,100.0,1,1,0,2,100.0,1,0,1,0,100.0,Matches
175,Rubinho,br BRA,GK,Genoa,it Serie A,33,1982,2,2,180,2.0,8,4.00,16,8,56.3,0,0,2,0,0.0,1,1,0,0,0.0,Matches
176,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,29,1986,31,31,2790,31.0,37,1.19,134,97,73.9,9,12,10,11,35.5,4,2,2,0,50.0,Matches
177,Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,24,1992,38,38,3420,38.0,53,1.39,156,108,68.6,19,7,12,10,26.3,7,4,1,2,20.0,Matches
178,Mathew Ryan,au AUS,GK,Valencia,es La Liga,24,1992,2,2,180,2.0,5,2.50,7,4,42.9,0,0,2,0,0.0,2,1,1,0,50.0,Matches
179,Romain Salin,fr FRA,GK,Guingamp,fr Ligue 1,32,1984,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
180,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,29,1986,30,30,2666,29.6,47,1.59,157,110,72.0,10,7,13,8,26.7,3,3,0,0,0.0,Matches
181,Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,24,1992,34,34,3060,34.0,60,1.76,165,105,66.1,14,6,14,6,17.6,6,4,2,0,33.3,Matches
182,Simone Scuffet,it ITA,GK,Udinese,it Serie A,20,1996,6,5,462,5.1,11,2.14,28,17,64.3,1,2,2,0,0.0,1,1,0,0,0.0,Matches
183,Andrea Seculin,it ITA,GK,Chievo,it Serie A,26,1990,4,4,360,4.0,9,2.25,30,21,70.0,0,0,4,0,0.0,0,0,0,0,,Matches
184,Salvatore Sirigu,it ITA,GK,Osasuna,es La Liga,29,1987,18,18,1620,18.0,51,2.83,97,49,49.5,3,3,12,1,5.6,4,2,1,1,33.3,Matches
185,Salvatore Sirigu,it ITA,GK,Sevilla,es La Liga,29,1987,2,2,177,2.0,3,1.53,7,5,71.4,0,1,1,0,0.0,1,1,0,0,0.0,Matches
186,Łukasz Skorupski,pl POL,GK,Empoli,it Serie A,25,1991,35,35,3150,35.0,56,1.60,199,143,74.4,8,8,19,10,28.6,9,5,3,1,37.5,Matches
187,Yann Sommer,ch SUI,GK,Gladbach,de Bundesliga,27,1988,34,34,3060,34.0,49,1.44,146,97,69.2,12,9,13,10,29.4,5,4,0,1,0.0,Matches
188,David Soria,es ESP,GK,Sevilla,es La Liga,23,1993,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
189,Stefano Sorrentino,it ITA,GK,Chievo,it Serie A,37,1979,34,34,3060,34.0,52,1.53,158,106,69.6,12,7,15,10,29.4,6,4,0,2,0.0,Matches
190,Marco Sportiello,it ITA,GK,Fiorentina,it Serie A,24,1992,2,2,180,2.0,4,2.00,6,2,50.0,1,0,1,0,0.0,1,1,0,0,0.0,Matches
191,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,24,1992,8,8,720,8.0,14,1.75,33,19,60.6,3,2,3,2,25.0,1,1,0,0,0.0,Matches
192,Tom Starke,de GER,GK,Bayern Munich,de Bundesliga,35,1981,3,3,270,3.0,5,1.67,17,12,76.5,3,0,0,1,33.3,2,1,1,0,50.0,Matches
193,Maarten Stekelenburg,nl NED,GK,Everton,eng Premier League,33,1982,19,19,1683,18.7,24,1.28,68,44,66.2,5,6,8,3,15.8,3,1,1,1,50.0,Matches
194,Marco Storari,it ITA,GK,Cagliari,it Serie A,39,1977,15,15,1256,14.0,36,2.58,89,53,62.9,3,2,9,0,0.0,4,3,0,1,0.0,Matches
195,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,21,1995,21,20,1845,20.5,26,1.27,86,60,74.4,12,3,5,6,30.0,4,4,0,0,0.0,Matches
196,Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,31,1984,36,36,3240,36.0,28,0.78,112,84,76.8,28,5,3,17,47.2,4,2,2,0,50.0,Matches
197,Seydou Sy,sn SEN,GK,Monaco,fr Ligue 1,20,1995,1,1,45,0.5,0,0.00,1,1,100.0,1,0,0,0,0.0,0,0,0,0,,Matches
198,Wojciech Szczęsny,pl POL,GK,Roma,it Serie A,26,1990,38,38,3420,38.0,38,1.00,154,116,76.6,28,3,7,14,36.8,4,2,2,0,50.0,Matches
199,Ciprian Tătărușanu,ro ROU,GK,Fiorentina,it Serie A,30,1986,35,35,3099,34.4,51,1.48,156,105,69.9,14,10,10,11,31.4,5,4,0,1,0.0,Matches
200,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,24,1992,36,36,3240,36.0,33,0.92,154,121,78.6,27,6,3,13,36.1,0,0,0,0,,Matches
201,Alexis Thébaux,fr FRA,GK,Bastia,fr Ligue 1,31,1985,1,1,90,1.0,5,5.00,8,3,37.5,0,0,1,0,0.0,0,0,0,0,,Matches
202,Kevin Trapp,de GER,GK,Paris S-G,fr Ligue 1,26,1990,24,24,2123,23.6,13,0.55,55,42,78.2,18,4,2,15,62.5,2,1,1,0,50.0,Matches
203,Przemysław Tytoń,pl POL,GK,La Coruña,es La Liga,29,1987,13,12,1125,12.5,23,1.84,53,31,58.5,2,5,5,2,16.7,1,1,0,0,0.0,Matches
204,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,27,1988,5,5,450,5.0,4,0.80,16,12,81.3,3,1,1,2,40.0,1,1,0,0,0.0,Matches
205,Víctor Valdés,es ESP,GK,Middlesbrough,eng Premier League,34,1982,28,28,2520,28.0,36,1.29,118,82,72.0,3,10,15,8,28.6,3,3,0,0,0.0,Matches
206,Javi Varas,es ESP,GK,Las Palmas,es La Liga,33,1982,25,25,2250,25.0,47,1.88,108,68,63.0,7,5,13,2,8.0,7,7,0,0,0.0,Matches
207,Ivan Vargić,hr CRO,GK,Lazio,it Serie A,29,1987,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
208,Rémy Vercoutre,fr FRA,GK,Caen,fr Ligue 1,36,1980,34,34,3043,33.8,55,1.63,144,89,66.7,9,6,19,8,23.5,7,7,0,0,0.0,Matches
209,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,19,1997,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches
210,Thomas Vincensini,fr FRA,GK,Bastia,fr Ligue 1,22,1993,3,3,270,3.0,5,1.67,26,21,80.8,0,1,2,0,0.0,0,0,0,0,,Matches
211,Emiliano Viviano,it ITA,GK,Sampdoria,it Serie A,30,1985,17,17,1530,17.0,20,1.18,68,48,73.5,7,5,5,3,17.6,3,2,1,0,33.3,Matches
212,Michel Vorm,nl NED,GK,Tottenham,eng Premier League,32,1983,5,4,416,4.6,2,0.43,9,7,88.9,2,3,0,2,50.0,1,1,0,0,0.0,Matches
213,Roman Weidenfeller,de GER,GK,Dortmund,de Bundesliga,35,1980,7,7,630,7.0,11,1.57,28,17,60.7,2,4,1,0,0.0,0,0,0,0,,Matches
214,Felix Wiedwald,de GER,GK,Werder Bremen,de Bundesliga,26,1990,25,24,2209,24.5,49,2.00,145,96,70.3,10,2,13,5,20.8,8,6,2,0,25.0,Matches
215,Yoel,es ESP,GK,Eibar,es La Liga,27,1988,25,22,2116,23.5,32,1.36,102,73,70.6,8,6,8,7,31.8,3,2,1,0,33.3,Matches
216,Ron-Robert Zieler,de GER,GK,Leicester City,eng Premier League,27,1989,9,8,754,8.4,16,1.91,33,17,51.5,2,1,5,1,12.5,0,0,0,0,,Matches
