Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
1,Anicet Abel,mg MAD,"FW,MF",bg Ludogorets,26,1990,6,540,90,100.0,6.0,6,,6,0,,0,1.33,6,15,-9,-1.50,,Matches
2,Vincent Aboubakar,cm CMR,FW,tr Beşiktaş,24,1992,6,492,82,91.1,5.5,6,,3,0,,0,1.17,8,12,-4,-0.73,+1.14,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,18,1997,1,90,90,12.5,1.0,1,,1,0,,0,2.00,1,1,0,0.00,-0.57,Matches
4,Adriano,br BRA,"DF,MF",tr Beşiktaş,31,1984,6,471,79,87.2,5.2,6,,3,0,,0,1.17,7,14,-7,-1.34,-3.95,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,28,1988,7,541,77,75.1,6.0,6,,4,1,,1,1.75,16,12,+4,+0.67,+0.67,Matches
6,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,30,1986,6,540,90,100.0,6.0,6,,6,0,,0,0.50,5,11,-6,-1.00,,Matches
7,David Alaba,at AUT,"DF,MF",de Bayern Munich,24,1992,9,840,93,90.3,9.3,9,,9,0,,1,2.00,25,11,+14,+1.50,+2.50,Matches
8,Jordi Alba,es ESP,"DF,MF",es Barcelona,27,1989,6,436,73,48.4,4.8,6,,4,0,,3,2.17,11,5,+6,+1.24,-0.31,Matches
9,Raúl Albiol,es ESP,DF,it Napoli,30,1985,6,461,77,64.0,5.1,6,,5,0,,0,1.67,6,8,-2,-0.39,-0.74,Matches
10,Marc Albrighton,eng ENG,"DF,FW",eng Leicester City,26,1989,9,750,83,83.3,8.3,8,,6,1,,1,1.78,11,7,+4,+0.48,+2.28,Matches
11,Paco Alcácer,es ESP,FW,es Barcelona,22,1993,3,176,59,19.6,2.0,2,,1,1,,7,2.33,4,1,+3,+1.53,+0.17,Matches
12,Thiago Alcántara,es ESP,MF,de Bayern Munich,25,1991,9,786,87,84.5,8.7,9,,6,0,,0,1.67,22,13,+9,+1.03,-1.47,Matches
13,Toby Alderweireld,be BEL,DF,eng Tottenham,27,1989,3,202,67,37.4,2.2,2,,2,1,,0,2.00,3,2,+1,+0.45,+0.71,Matches
14,Mihail Aleksandrov,bg BUL,MF,pl Legia Warsaw,27,1989,2,68,34,12.6,0.8,0,,0,2,,1,1.57,0,2,-2,-2.65,-0.17,Matches
15,Carles Aleñá,es ESP,MF,es Barcelona,18,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
