Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
84,Mykyta Burda,ua UKR,DF,ua Dynamo Kyiv,21,1995,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Roman Bürki,ch SUI,GK,de Dortmund,25,1990,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Dženis Burnić,ba BIH,MF,de Dortmund,18,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Sergio Busquets,es ESP,MF,es Barcelona,28,1988,8,8,691,7.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Ludovic Butelle,fr FRA,GK,be Club Brugge,33,1983,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Vitaliy Buyalskyi,ua UKR,MF,ua Dynamo Kyiv,23,1993,4,3,233,2.6,1,0,1,1,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches
90,Willy Caballero,ar ARG,GK,eng Manchester City,34,1981,5,4,393,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Jonathan Cafu,br BRA,"FW,MF",bg Ludogorets,25,1991,6,6,540,6.0,2,2,4,2,0,0,1,0,0.33,0.33,0.67,0.33,0.67,Matches
92,Hakan Çalhanoğlu,tr TUR,"FW,MF",de Leverkusen,22,1994,6,5,359,4.0,1,0,1,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
93,Davide Callà,ch SUI,MF,ch Basel,31,1984,3,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
94,José Callejón,es ESP,"FW,MF",it Napoli,29,1987,8,8,700,7.8,1,1,2,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,Matches
95,Gustavo Campanharo,br BRA,MF,bg Ludogorets,24,1992,2,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Joel Campbell,cr CRC,"FW,MF",pt Sporting CP,24,1992,4,0,67,0.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Marc Cardona,es ESP,FW,es Barcelona,21,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Yannick Carrasco,be BEL,"DF,FW",es Atlético Madrid,22,1993,12,11,856,9.5,2,1,3,2,0,0,0,0,0.21,0.11,0.32,0.21,0.32,Matches
99,Daniel Carriço,pt POR,"DF,MF",es Sevilla,27,1988,2,0,35,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
100,André Carrillo,pe PER,"FW,MF",pt Benfica,25,1991,3,2,135,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
101,Guido Carrillo,ar ARG,FW,fr Monaco,25,1991,5,1,174,1.9,0,1,1,0,0,0,0,0,0.00,0.52,0.52,0.00,0.52,Matches
102,Dani Carvajal,es ESP,DF,es Real Madrid,24,1992,11,11,976,10.8,0,5,5,0,0,0,2,0,0.00,0.46,0.46,0.00,0.46,Matches
103,William Carvalho,pt POR,MF,pt Sporting CP,24,1992,6,6,535,5.9,0,1,1,0,0,0,1,2,0.00,0.17,0.17,0.00,0.17,Matches
104,Casemiro,br BRA,MF,es Real Madrid,24,1992,9,9,827,9.2,2,2,4,2,0,0,2,0,0.22,0.22,0.44,0.22,0.44,Matches
105,Kiko Casilla,es ESP,GK,es Real Madrid,29,1986,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
106,Iker Casillas,es ESP,GK,pt Porto,35,1981,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
107,Luc Castaignos,nl NED,FW,pt Sporting CP,23,1992,1,1,46,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Gonzalo Castro,de GER,"DF,MF",de Dortmund,29,1987,7,5,442,4.9,1,1,2,0,1,1,1,0,0.20,0.20,0.41,0.00,0.20,Matches
109,Edinson Cavani,uy URU,"FW,MF",fr Paris S-G,29,1987,8,8,720,8.0,8,1,9,7,1,1,1,0,1.00,0.12,1.13,0.87,1.00,Matches
110,Santi Cazorla,es ESP,MF,eng Arsenal,31,1984,3,3,237,2.6,0,1,1,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,Matches
111,Guillermo Celis,co COL,MF,pt Benfica,23,1993,2,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Franco Cervi,ar ARG,"FW,MF",pt Benfica,22,1994,7,6,480,5.3,2,0,2,2,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches
113,Bruno César,br BRA,"FW,MF",pt Sporting CP,27,1988,6,5,397,4.4,2,0,2,2,0,0,1,0,0.45,0.00,0.45,0.45,0.45,Matches
114,Júlio César,br BRA,GK,pt Benfica,36,1979,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
115,Fyodor Chalov,ru RUS,"FW,MF",ru CSKA Moscow,18,1998,2,1,134,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
116,Giorgio Chiellini,it ITA,DF,it Juventus,31,1984,9,8,723,8.0,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
117,Ben Chilwell,eng ENG,"DF,MF",eng Leicester City,19,1996,2,1,134,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Vlad Chiricheș,ro ROU,DF,it Napoli,26,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Andreas Christensen,dk DEN,"DF,MF",de Gladbach,20,1996,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
120,Cicinho,bg BUL,"DF,MF",bg Ludogorets,27,1988,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Radosław Cierzniak,pl POL,GK,pl Legia Warsaw,33,1983,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Jasper Cillessen,nl NED,GK,es Barcelona,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
123,Gaël Clichy,fr FRA,DF,eng Manchester City,31,1985,5,3,289,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Sebastián Coates,uy URU,DF,pt Sporting CP,25,1990,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Fábio Coentrão,pt POR,DF,es Real Madrid,28,1988,2,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
