Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
1,Liel Abada,il ISR,"FW,MF",sct Celtic,20,2001,2.4,0,5,1,20.0,2.07,0.41,0.00,0.00,18.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
2,Oliver Abildgaard,dk DEN,MF,sct Celtic,26,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,Mohammad Abu Fani,il ISR,MF,il Maccabi Haifa,24,1998,4.4,0,11,2,18.2,2.48,0.45,0.00,0.00,25.1,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
4,Francesco Acerbi,it ITA,DF,it Inter,34,1988,10.2,0,8,2,25.0,0.78,0.20,0.00,0.00,21.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
5,Marcos Acuña,ar ARG,"DF,MF",es Sevilla,30,1991,2.4,0,2,0,0.0,0.82,0.00,0.00,,27.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
6,Junior Adamu,at AUT,FW,at RB Salzburg,21,2001,2.3,1,5,3,60.0,2.21,1.32,0.20,0.33,8.4,0,0,0,1.3,1.3,0.26,-0.3,-0.3,Matches
7,Antonio Adán,es ESP,GK,pt Sporting CP,35,1987,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,31,1991,5.2,0,6,2,33.3,1.15,0.38,0.00,0.00,16.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
9,Karim Adeyemi,de GER,"FW,MF",de Dortmund,20,2002,4.2,2,11,3,27.3,2.63,0.72,0.18,0.67,16.9,0,0,0,1.8,1.8,0.16,+0.2,+0.2,Matches
10,Amine Adli,ma MAR,"FW,MF",de Leverkusen,22,2000,1.3,0,3,1,33.3,2.23,0.74,0.00,0.00,15.6,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches
11,Manuel Akanji,ch SUI,DF,eng Manchester City,27,1995,10.5,1,7,4,57.1,0.67,0.38,0.14,0.25,16.4,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches
12,Nathan Aké,nl NED,DF,eng Manchester City,27,1995,6.8,0,4,1,25.0,0.59,0.15,0.00,0.00,15.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
13,David Alaba,at AUT,DF,es Real Madrid,30,1992,7.9,0,5,3,60.0,0.63,0.38,0.00,0.00,23.9,3,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
14,Lucas Alario,ar ARG,"FW,MF",de Eint Frankfurt,29,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Jordi Alba,es ESP,DF,es Barcelona,33,1989,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
16,Thiago Alcántara,es ESP,MF,eng Liverpool,31,1991,3.4,0,3,2,66.7,0.88,0.59,0.00,0.00,24.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
17,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,23,1998,6.9,1,9,4,44.4,1.30,0.58,0.11,0.25,23.9,3,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
18,Sotiris Alexandropoulos,gr GRE,MF,pt Sporting CP,20,2001,1.3,0,3,1,33.3,2.23,0.74,0.00,0.00,31.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
19,Faride Alidou,de GER,"DF,FW",de Eint Frankfurt,21,2001,0.8,1,2,2,100.0,2.47,2.47,0.50,0.50,16.1,0,0,0,0.3,0.3,0.13,+0.7,+0.7,Matches
20,Alisson,br BRA,GK,eng Liverpool,29,1992,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Marcos Alonso,es ESP,DF,es Barcelona,31,1990,4.5,1,3,1,33.3,0.67,0.22,0.33,1.00,13.3,0,0,0,1.0,1.0,0.34,0.0,0.0,Matches
22,Éder Álvarez Balanta,co COL,"MF,FW",be Club Brugge,29,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,Edson Álvarez,mx MEX,MF,nl Ajax,24,1997,5.9,1,10,2,20.0,1.69,0.34,0.10,0.50,13.1,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
24,Julián Álvarez,ar ARG,FW,eng Manchester City,22,2000,5.3,3,14,6,42.9,2.66,1.14,0.21,0.50,13.7,0,0,0,2.4,2.4,0.17,+0.6,+0.6,Matches
25,Nadiem Amiri,de GER,"MF,FW",de Leverkusen,25,1996,1.4,0,3,0,0.0,2.20,0.00,0.00,,25.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
26,Robert Andrich,de GER,MF,de Leverkusen,27,1994,4.5,1,5,1,20.0,1.11,0.22,0.20,1.00,22.6,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
27,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,31,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,Ofri Arad,il ISR,"DF,MF",il Maccabi Haifa,23,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
29,Charles Aránguiz,cl CHI,MF,de Leverkusen,33,1989,2.4,0,1,0,0.0,0.42,0.00,0.00,,12.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
30,Henrique Araújo,pt POR,FW,pt Benfica,20,2002,0.1,1,1,1,100.0,10.00,10.00,1.00,1.00,7.4,0,0,0,0.2,0.2,0.23,+0.8,+0.8,Matches
31,Ronald Araújo,uy URU,DF,es Barcelona,23,1999,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,11.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
32,Scott Arfield,ca CAN,MF,sct Rangers,33,1988,3.0,1,5,3,60.0,1.69,1.01,0.20,0.33,18.1,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches
33,Hákon Arnar Haraldsson,is ISL,FW,dk FC Copenhagen,19,2003,3.3,1,8,4,50.0,2.42,1.21,0.13,0.25,21.0,1,0,0,1.0,1.0,0.12,0.0,0.0,Matches
34,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,27,1994,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,Arthur,br BRA,"MF,FW",pt Sporting CP,24,1998,1.2,2,2,2,100.0,1.62,1.62,1.00,1.00,7.9,0,0,0,0.3,0.3,0.13,+1.7,+1.7,Matches
36,Marco Asensio,es ESP,"FW,MF",es Real Madrid,26,1996,3.6,3,12,5,41.7,3.33,1.39,0.25,0.60,18.8,0,0,0,0.9,0.9,0.08,+2.1,+2.1,Matches
37,Kristjan Asllani,al ALB,MF,it Inter,20,2002,1.4,0,1,1,100.0,0.70,0.70,0.00,0.00,7.4,0,0,0,0.7,0.7,0.74,-0.7,-0.7,Matches
38,Omer Atzili,il ISR,"FW,MF",il Maccabi Haifa,29,1993,3.4,2,14,7,50.0,4.09,2.05,0.14,0.29,21.4,1,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches
39,Pierre-Emerick Aubameyang,ga GAB,FW,eng Chelsea,33,1989,4.5,2,15,8,53.3,3.35,1.79,0.13,0.25,11.7,0,0,0,2.3,2.3,0.15,-0.3,-0.3,Matches
40,Lynnt Audoor,be BEL,MF,be Club Brugge,18,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
41,Fredrik Aursnes,no NOR,"FW,MF",pt Benfica,26,1995,6.9,1,6,1,16.7,0.87,0.15,0.17,1.00,15.1,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
42,Sardar Azmoun,ir IRN,FW,de Leverkusen,27,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,César Azpilicueta,es ESP,DF,eng Chelsea,32,1989,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Youri Baas,nl NED,DF,nl Ajax,19,2003,0.5,0,1,0,0.0,2.05,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
45,Alexander Bah,dk DEN,DF,pt Benfica,24,1997,7.3,0,2,0,0.0,0.28,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
46,Eric Bailly,ci CIV,DF,fr Marseille,28,1994,3.4,0,1,0,0.0,0.30,0.00,0.00,,22.5,0,0,0,0.0,0.0,0.00,0.0,0.0,Matches
47,Stefan Bajcetic,es ESP,MF,eng Liverpool,17,2004,1.2,0,2,1,50.0,1.65,0.83,0.00,0.00,33.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
48,Mitchel Bakker,nl NED,"MF,DF",de Leverkusen,22,2000,3.8,0,6,1,16.7,1.60,0.27,0.00,0.00,19.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
49,Alejandro Balde,es ESP,DF,es Barcelona,18,2003,1.9,0,1,0,0.0,0.53,0.00,0.00,,30.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
50,Leonardo Balerdi,ar ARG,DF,fr Marseille,23,1999,5.5,1,3,1,33.3,0.55,0.18,0.33,1.00,8.4,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches
51,Fodé Ballo-Touré,sn SEN,"DF,MF",it Milan,25,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
52,Tommaso Barbieri,it ITA,MF,it Juventus,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,Roony Bardghji,se SWE,FW,dk FC Copenhagen,16,2005,1.1,0,3,1,33.3,2.76,0.92,0.00,0.00,14.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
54,Nicolò Barella,it ITA,MF,it Inter,25,1997,11.0,3,20,5,25.0,1.82,0.45,0.15,0.60,22.4,0,0,0,1.4,1.4,0.07,+1.6,+1.6,Matches
55,Borna Barišić,hr CRO,DF,sct Rangers,29,1992,5.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Enzo Barrenechea,ar ARG,DF,it Juventus,21,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
57,Pablo Barrios,es ESP,MF,es Atlético Madrid,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
58,Calvin Bassey,ng NGA,DF,nl Ajax,22,1999,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,Fortune Bassey,ng NGA,FW,cz Viktoria Plzeň,23,1998,1.5,0,4,2,50.0,2.69,1.34,0.00,0.00,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
60,Alessandro Bastoni,it ITA,DF,it Inter,23,1999,10.9,0,4,1,25.0,0.37,0.09,0.00,0.00,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
61,Dylan Batubinsika,cd COD,DF,il Maccabi Haifa,26,1996,5.0,0,2,0,0.0,0.40,0.00,0.00,,8.1,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
62,Martin Baturina,hr CRO,MF,hr Dinamo Zagreb,19,2003,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Raoul Bellanova,it ITA,"DF,MF",it Inter,22,2000,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,Héctor Bellerín,es ESP,DF,es Barcelona,27,1995,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,19.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
65,Jude Bellingham,eng ENG,MF,de Dortmund,19,2003,7.0,4,11,4,36.4,1.57,0.57,0.36,1.00,14.6,0,0,0,1.3,1.3,0.12,+2.7,+2.7,Matches
66,Ismaël Bennacer,dz ALG,MF,it Milan,24,1997,6.5,1,7,3,42.9,1.08,0.46,0.14,0.33,23.6,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
67,Rodrigo Bentancur,uy URU,"MF,FW",eng Tottenham,25,1997,5.6,1,5,1,20.0,0.89,0.18,0.20,1.00,20.8,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
68,Karim Benzema,fr FRA,FW,es Real Madrid,34,1987,8.3,4,35,18,51.4,4.23,2.18,0.11,0.22,14.7,0,0,0,5.1,5.1,0.15,-1.1,-1.1,Matches
69,Steven Berghuis,nl NED,"MF,FW",nl Ajax,30,1991,5.1,2,13,3,23.1,2.53,0.58,0.15,0.67,24.2,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches
70,Steven Bergwijn,nl NED,FW,nl Ajax,24,1997,5.8,2,9,4,44.4,1.56,0.69,0.11,0.25,21.8,0,1,1,1.8,1.0,0.11,+0.2,0.0,Matches
71,Alexandro Bernabei,ar ARG,FW,sct Celtic,21,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
72,Bernardo,br BRA,DF,at RB Salzburg,27,1995,3.0,0,2,0,0.0,0.66,0.00,0.00,,7.3,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
73,Juan Bernat,es ESP,DF,fr Paris S-G,29,1993,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,Victor Bernth Kristiansen,dk DEN,"DF,MF",dk FC Copenhagen,19,2002,5.4,0,2,0,0.0,0.37,0.00,0.00,,19.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
75,Modou Biramé Ndiaye,sn SEN,MF,cz Viktoria Plzeň,25,1996,2.0,0,3,1,33.3,1.48,0.49,0.00,0.00,26.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
76,Yves Bissouma,ml MLI,MF,eng Tottenham,25,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,Janis Blaswich,de GER,GK,de RB Leipzig,31,1991,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
78,Daley Blind,nl NED,DF,nl Ajax,32,1990,4.5,0,3,0,0.0,0.66,0.00,0.00,,18.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
79,Petar Bočkaj,hr CRO,"DF,FW",hr Dinamo Zagreb,26,1996,0.4,0,3,1,33.3,6.92,2.31,0.00,0.00,20.7,1,0,0,0.3,0.3,0.12,-0.3,-0.3,Matches
80,Nicolai Boilesen,dk DEN,DF,dk FC Copenhagen,30,1992,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
81,Valerii Bondar,ua UKR,DF,ua Shakhtar,23,1999,6.0,0,1,1,100.0,0.17,0.17,0.00,0.00,9.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
82,Artem Bondarenko,ua UKR,MF,ua Shakhtar,21,2000,5.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
83,Leonardo Bonucci,it ITA,DF,it Juventus,35,1987,4.9,1,2,1,50.0,0.41,0.20,0.50,1.00,16.3,0,0,0,0.8,0.8,0.39,+0.2,+0.2,Matches
84,Gonçalo Borges,pt POR,"MF,FW",pt Porto,21,2001,0.4,0,1,0,0.0,2.31,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
85,Rafael Borré,co COL,FW,de Eint Frankfurt,26,1995,2.5,0,6,2,33.3,2.37,0.79,0.00,0.00,16.4,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
86,Yassine Bounou,ma MAR,GK,es Sevilla,31,1991,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
87,Dedryck Boyata,be BEL,DF,be Club Brugge,31,1990,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
88,Julian Brandt,de GER,"MF,FW",de Dortmund,26,1996,5.3,1,12,3,25.0,2.27,0.57,0.08,0.33,19.0,1,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
89,Gleison Bremer,br BRA,DF,it Juventus,25,1997,3.0,0,3,0,0.0,1.00,0.00,0.00,,18.1,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
90,Brian Brobbey,nl NED,FW,nl Ajax,20,2002,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
91,Armando Broja,al ALB,FW,eng Chelsea,20,2001,1.3,0,1,0,0.0,0.78,0.00,0.00,,12.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
92,Marcelo Brozović,hr CRO,MF,it Inter,29,1992,6.1,0,4,0,0.0,0.66,0.00,0.00,,24.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
93,Pavel Bucha,cz CZE,MF,cz Viktoria Plzeň,24,1998,4.0,0,3,0,0.0,0.74,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
94,Tajon Buchanan,ca CAN,"DF,MF",be Club Brugge,23,1999,5.8,0,8,1,12.5,1.38,0.17,0.00,0.00,20.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
95,Marko Bulat,hr CRO,MF,hr Dinamo Zagreb,20,2001,0.3,0,1,0,0.0,3.10,0.00,0.00,,23.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
96,Sergio Busquets,es ESP,MF,es Barcelona,34,1988,3.2,0,2,0,0.0,0.62,0.00,0.00,,13.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
97,Aurélio Buta,pt POR,DF,de Eint Frankfurt,25,1997,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
98,Jovane Cabral,cv CPV,MF,pt Sporting CP,24,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Davide Calabria,it ITA,DF,it Milan,25,1996,5.5,0,3,0,0.0,0.54,0.00,0.00,,20.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
100,Hakan Çalhanoğlu,tr TUR,MF,it Inter,28,1994,8.9,1,13,4,30.8,1.46,0.45,0.08,0.25,26.6,1,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
101,Eduardo Camavinga,fr FRA,"MF,DF",es Real Madrid,19,2002,8.0,0,4,1,25.0,0.50,0.12,0.00,0.00,19.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
102,Emre Can,de GER,MF,de Dortmund,28,1994,6.3,0,6,2,33.3,0.96,0.32,0.00,0.00,30.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
103,João Cancelo,pt POR,DF,de Bayern Munich,28,1994,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
104,João Cancelo,pt POR,DF,eng Manchester City,28,1994,4.2,0,8,2,25.0,1.91,0.48,0.00,0.00,25.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
105,Nicolás Capaldo,ar ARG,MF,at RB Salzburg,24,1997,3.0,0,3,0,0.0,1.00,0.00,0.00,,13.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
106,Valentin Carboni,ar ARG,FW,it Inter,17,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
107,Fábio Cardoso,pt POR,DF,pt Porto,28,1994,4.0,0,3,0,0.0,0.75,0.00,0.00,,9.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
108,David Carmo,ao ANG,DF,pt Porto,23,1999,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,12.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
109,Carmona,es ESP,DF,es Sevilla,20,2002,5.0,0,3,0,0.0,0.60,0.00,0.00,,15.5,0,0,0,0.5,0.5,0.15,-0.5,-0.5,Matches
110,Yannick Carrasco,be BEL,"DF,MF",es Atlético Madrid,28,1993,3.0,1,12,5,41.7,3.94,1.64,0.08,0.20,23.0,2,0,1,1.7,1.0,0.08,-0.7,0.0,Matches
111,Cameron Carter-Vickers,us USA,DF,sct Celtic,24,1997,4.0,0,2,0,0.0,0.50,0.00,0.00,,12.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
