Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
112,Dani Carvajal,es ESP,DF,es Real Madrid,30,1992,9.7,0,2,0,0.0,0.21,0.00,0.00,,18.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
113,Fabio Carvalho,pt POR,"MF,FW",eng Liverpool,19,2002,1.3,0,4,0,0.0,3.13,0.00,0.00,,21.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
114,Marc Casado,es ESP,MF,es Barcelona,18,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
115,Dani Ceballos,es ESP,MF,es Real Madrid,25,1996,1.0,0,2,2,100.0,2.09,2.09,0.00,0.00,14.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
116,Aleš Čermák,cz CZE,MF,cz Viktoria Plzeň,27,1994,0.4,0,1,0,0.0,2.81,0.00,0.00,,15.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
117,El Chadaille Bitshiabu,fr FRA,DF,fr Paris S-G,17,2005,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,Trevoh Chalobah,eng ENG,DF,eng Chelsea,23,1999,4.9,0,6,0,0.0,1.23,0.00,0.00,,13.1,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
119,Timothy Chandler,us USA,DF,de Eint Frankfurt,32,1990,0.1,0,1,1,100.0,7.50,7.50,0.00,0.00,34.1,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
120,Tjaronn Chery,sr SUR,"MF,FW",il Maccabi Haifa,34,1988,6.0,2,19,4,21.1,3.17,0.67,0.05,0.25,27.2,2,1,1,1.6,0.8,0.04,+0.4,+0.2,Matches
121,Federico Chiesa,it ITA,FW,it Juventus,24,1997,0.2,0,1,0,0.0,5.29,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
122,Ben Chilwell,eng ENG,"DF,MF",eng Chelsea,25,1996,6.2,0,6,0,0.0,0.97,0.00,0.00,,21.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
123,Chiquinho,pt POR,MF,pt Benfica,27,1995,4.5,0,7,1,14.3,1.56,0.22,0.00,0.00,16.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
124,Tomáš Chorý,cz CZE,FW,cz Viktoria Plzeň,27,1995,4.0,2,10,3,30.0,2.49,0.75,0.10,0.33,14.6,0,1,1,2.0,1.3,0.13,0.0,-0.3,Matches
125,Andreas Christensen,dk DEN,DF,es Barcelona,26,1996,2.4,0,1,1,100.0,0.42,0.42,0.00,0.00,12.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
126,Viktor Claesson,se SWE,"FW,MF",dk FC Copenhagen,30,1992,5.4,0,7,3,42.9,1.31,0.56,0.00,0.00,13.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
127,Jonathan Clauss,fr FRA,DF,fr Marseille,29,1992,4.6,0,5,1,20.0,1.10,0.22,0.00,0.00,19.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
128,William Clem,dk DEN,MF,dk FC Copenhagen,18,2004,1.9,0,3,0,0.0,1.59,0.00,0.00,,20.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
129,Sebastián Coates,uy URU,DF,pt Sporting CP,31,1990,4.4,0,2,0,0.0,0.46,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
130,Josh Cohen,us USA,GK,il Maccabi Haifa,29,1992,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
131,Antonio Čolak,hr CRO,FW,sct Rangers,28,1993,3.2,0,4,1,25.0,1.27,0.32,0.00,0.00,14.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
132,Kingsley Coman,fr FRA,"FW,DF",de Bayern Munich,26,1996,5.9,1,14,5,35.7,2.36,0.84,0.07,0.20,16.7,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
133,Francisco Conceição,pt POR,"FW,MF",nl Ajax,19,2002,0.2,1,1,1,100.0,5.29,5.29,1.00,1.00,13.5,0,0,0,0.5,0.5,0.55,+0.5,+0.5,Matches
134,Rodrigo Conceição,pt POR,DF,pt Porto,22,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
135,Andreas Cornelius,dk DEN,FW,dk FC Copenhagen,29,1993,1.2,0,1,0,0.0,0.83,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
136,Pierre Cornud,fr FRA,DF,il Maccabi Haifa,25,1996,4.1,0,1,0,0.0,0.24,0.00,0.00,,25.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
137,Ángel Correa,ar ARG,"FW,MF",es Atlético Madrid,27,1995,3.5,0,9,4,44.4,2.57,1.14,0.00,0.00,16.0,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
138,Joaquín Correa,ar ARG,FW,it Inter,27,1994,3.4,1,5,3,60.0,1.48,0.89,0.20,0.33,14.6,0,0,0,0.7,0.7,0.13,+0.3,+0.3,Matches
139,Bruno Xavier Almeida Costa,pt POR,MF,pt Porto,25,1997,0.8,0,1,0,0.0,1.23,0.00,0.00,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
140,Diogo Costa,pt POR,GK,pt Porto,22,1999,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
141,Soumaïla Coulibaly,fr FRA,DF,de Dortmund,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
142,Thibaut Courtois,be BEL,GK,es Real Madrid,30,1992,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
143,Juan Cuadrado,co COL,"DF,MF",it Juventus,34,1988,4.8,0,5,1,20.0,1.04,0.21,0.00,0.00,23.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
144,Marc Cucurella,es ESP,DF,eng Chelsea,24,1998,4.6,0,1,1,100.0,0.22,0.22,0.00,0.00,4.8,0,0,0,0.3,0.3,0.33,-0.3,-0.3,Matches
