Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
295,Samuel Iling-Junior,eng ENG,DF,it Juventus,18,2003,0.2,4,8,50.0,72,36,2,3,66.7,2,4,50.0,0,1,0.0,1,0.2,0.1,+0.8,2,0,2,2,1,Matches
296,Gonçalo Inácio,pt POR,DF,pt Sporting CP,20,2001,6.0,330,378,87.3,6548,2452,103,112,92.0,185,202,91.6,39,58,67.2,0,0.0,0.1,0.0,0,12,0,0,13,Matches
297,Isco,es ESP,"MF,FW",es Sevilla,30,1992,4.4,168,198,84.8,2859,755,93,100,93.0,54,60,90.0,18,26,69.2,1,0.2,0.4,+0.8,5,14,6,0,28,Matches
298,Franco Israel,uy URU,GK,pt Sporting CP,22,2000,1.7,43,70,61.4,1184,779,9,9,100.0,22,22,100.0,12,39,30.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
299,Luka Ivanušec,hr CRO,MF,hr Dinamo Zagreb,23,1998,5.8,175,215,81.4,3002,642,82,97,84.5,66,77,85.7,18,24,75.0,0,0.2,0.2,-0.2,4,13,3,1,17,Matches
300,Ryan Jack,sct SCO,MF,sct Rangers,30,1992,2.1,61,77,79.2,955,229,32,35,91.4,22,30,73.3,4,7,57.1,1,0.3,0.0,+0.7,3,10,0,0,5,Matches
301,Kristijan Jakić,hr CRO,DF,de Eint Frankfurt,25,1997,6.8,291,375,77.6,4731,1863,152,171,88.9,111,146,76.0,20,43,46.5,0,0.0,0.1,0.0,1,19,2,0,21,Matches
302,Reece James,eng ENG,"DF,MF",eng Chelsea,22,1999,7.7,435,528,82.4,7088,1713,230,246,93.5,165,199,82.9,34,49,69.4,1,1.0,1.0,0.0,9,25,11,5,44,Matches
303,Adnan Januzaj,be BEL,"FW,MF",es Sevilla,27,1995,0.6,15,19,78.9,234,59,9,10,90.0,5,6,83.3,1,2,50.0,0,0.0,0.1,0.0,1,1,2,0,5,Matches
304,Luis Javier Suárez,co COL,FW,fr Marseille,24,1997,1.3,21,32,65.6,322,45,9,13,69.2,9,14,64.3,1,1,100.0,0,0.3,0.1,-0.3,3,2,0,0,1,Matches
305,Elias Jelert,dk DEN,"DF,MF",dk FC Copenhagen,19,2003,2.1,72,90,80.0,1168,359,36,40,90.0,31,40,77.5,3,5,60.0,0,0.1,0.0,-0.1,1,4,1,0,7,Matches
