Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
1,Liel Abada,il ISR,"FW,MF",sct Celtic,20,2001,2.4,5,2.07,3,0,0,1,1,0,1,0.41,0,0,0,1,0,0,Matches
2,Oliver Abildgaard,dk DEN,MF,sct Celtic,26,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Mohammad Abu Fani,il ISR,MF,il Maccabi Haifa,24,1998,4.4,20,4.50,13,3,2,2,0,0,1,0.23,1,0,0,0,0,0,Matches
4,Francesco Acerbi,it ITA,DF,it Inter,34,1988,10.2,7,0.68,5,0,0,2,0,0,1,0.10,1,0,0,0,0,0,Matches
5,Marcos Acuña,ar ARG,"DF,MF",es Sevilla,30,1991,2.4,4,1.64,3,1,0,0,0,0,1,0.41,1,0,0,0,0,0,Matches
6,Junior Adamu,at AUT,FW,at RB Salzburg,21,2001,2.3,5,2.20,5,0,0,0,0,0,1,0.44,1,0,0,0,0,0,Matches
7,Antonio Adán,es ESP,GK,pt Sporting CP,35,1987,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,31,1991,5.2,3,0.57,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Karim Adeyemi,de GER,"FW,MF",de Dortmund,20,2002,4.2,17,4.07,9,0,4,2,2,0,2,0.48,0,0,2,0,0,0,Matches
10,Amine Adli,ma MAR,"FW,MF",de Leverkusen,22,2000,1.3,8,6.00,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Manuel Akanji,ch SUI,DF,eng Manchester City,27,1995,10.5,20,1.90,17,0,0,3,0,0,3,0.29,1,0,0,2,0,0,Matches
12,Nathan Aké,nl NED,DF,eng Manchester City,27,1995,6.8,7,1.04,6,0,0,0,0,1,1,0.15,1,0,0,0,0,0,Matches
13,David Alaba,at AUT,DF,es Real Madrid,30,1992,7.9,13,1.64,8,4,1,0,0,0,1,0.13,0,1,0,0,0,0,Matches
14,Lucas Alario,ar ARG,"FW,MF",de Eint Frankfurt,29,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Jordi Alba,es ESP,DF,es Barcelona,33,1989,1.6,7,4.32,7,0,0,0,0,0,2,1.23,2,0,0,0,0,0,Matches
16,Thiago Alcántara,es ESP,MF,eng Liverpool,31,1991,3.4,13,3.80,12,0,1,0,0,0,2,0.58,2,0,0,0,0,0,Matches
17,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,23,1998,6.9,28,4.03,14,12,0,2,0,0,1,0.14,1,0,0,0,0,0,Matches
18,Sotiris Alexandropoulos,gr GRE,MF,pt Sporting CP,20,2001,1.3,1,0.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Faride Alidou,de GER,"DF,FW",de Eint Frankfurt,21,2001,0.8,4,4.93,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Alisson,br BRA,GK,eng Liverpool,29,1992,8.0,3,0.37,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Marcos Alonso,es ESP,DF,es Barcelona,31,1990,4.5,12,2.67,11,1,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
22,Éder Álvarez Balanta,co COL,"MF,FW",be Club Brugge,29,1993,0.6,3,5.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Edson Álvarez,mx MEX,MF,nl Ajax,24,1997,5.9,3,0.51,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Julián Álvarez,ar ARG,FW,eng Manchester City,22,2000,5.3,19,3.61,14,1,1,1,0,2,4,0.76,3,0,0,0,0,1,Matches
25,Nadiem Amiri,de GER,"MF,FW",de Leverkusen,25,1996,1.4,6,4.39,4,0,1,0,0,1,2,1.46,1,0,0,0,0,1,Matches
26,Robert Andrich,de GER,MF,de Leverkusen,27,1994,4.5,6,1.33,6,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
27,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,31,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
28,Ofri Arad,il ISR,"DF,MF",il Maccabi Haifa,23,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Charles Aránguiz,cl CHI,MF,de Leverkusen,33,1989,2.4,6,2.51,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Henrique Araújo,pt POR,FW,pt Benfica,20,2002,0.1,2,20.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Ronald Araújo,uy URU,DF,es Barcelona,23,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Scott Arfield,ca CAN,MF,sct Rangers,33,1988,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,Hákon Arnar Haraldsson,is ISL,FW,dk FC Copenhagen,19,2003,3.3,7,2.11,4,0,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
34,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,27,1994,9.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,Arthur,br BRA,"MF,FW",pt Sporting CP,24,1998,1.2,5,4.05,3,0,1,0,1,0,1,0.81,0,0,1,0,0,0,Matches
36,Marco Asensio,es ESP,"FW,MF",es Real Madrid,26,1996,3.6,17,4.72,15,2,0,0,0,0,3,0.83,3,0,0,0,0,0,Matches
37,Kristjan Asllani,al ALB,MF,it Inter,20,2002,1.4,4,2.79,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
38,Omer Atzili,il ISR,"FW,MF",il Maccabi Haifa,29,1993,3.4,12,3.51,8,2,0,1,0,1,1,0.29,0,1,0,0,0,0,Matches
39,Pierre-Emerick Aubameyang,ga GAB,FW,eng Chelsea,33,1989,4.5,8,1.79,7,0,0,1,0,0,1,0.22,1,0,0,0,0,0,Matches
40,Lynnt Audoor,be BEL,MF,be Club Brugge,18,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,Fredrik Aursnes,no NOR,"FW,MF",pt Benfica,26,1995,6.9,24,3.48,23,0,0,1,0,0,3,0.44,3,0,0,0,0,0,Matches
42,Sardar Azmoun,ir IRN,FW,de Leverkusen,27,1995,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,César Azpilicueta,es ESP,DF,eng Chelsea,32,1989,2.9,9,3.12,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Youri Baas,nl NED,DF,nl Ajax,19,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Alexander Bah,dk DEN,DF,pt Benfica,24,1997,7.3,21,2.89,19,1,0,0,1,0,5,0.69,5,0,0,0,0,0,Matches
46,Eric Bailly,ci CIV,DF,fr Marseille,28,1994,3.4,1,0.30,1,0,0,0,0,0,1,0.30,1,0,0,0,0,0,Matches
47,Stefan Bajcetic,es ESP,MF,eng Liverpool,17,2004,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Mitchel Bakker,nl NED,"MF,DF",de Leverkusen,22,2000,3.8,8,2.13,5,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
49,Alejandro Balde,es ESP,DF,es Barcelona,18,2003,1.9,4,2.12,4,0,0,0,0,0,1,0.53,1,0,0,0,0,0,Matches
50,Leonardo Balerdi,ar ARG,DF,fr Marseille,23,1999,5.5,4,0.73,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,Fodé Ballo-Touré,sn SEN,"DF,MF",it Milan,25,1997,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Tommaso Barbieri,it ITA,MF,it Juventus,19,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Roony Bardghji,se SWE,FW,dk FC Copenhagen,16,2005,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
54,Nicolò Barella,it ITA,MF,it Inter,25,1997,11.0,25,2.27,24,0,0,1,0,0,4,0.36,4,0,0,0,0,0,Matches
55,Borna Barišić,hr CRO,DF,sct Rangers,29,1992,5.2,7,1.35,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Enzo Barrenechea,ar ARG,DF,it Juventus,21,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Pablo Barrios,es ESP,MF,es Atlético Madrid,19,2003,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58,Calvin Bassey,ng NGA,DF,nl Ajax,22,1999,6.0,5,0.83,5,0,0,0,0,0,2,0.33,2,0,0,0,0,0,Matches
59,Fortune Bassey,ng NGA,FW,cz Viktoria Plzeň,23,1998,1.5,4,2.67,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Alessandro Bastoni,it ITA,DF,it Inter,23,1999,10.9,17,1.55,15,1,1,0,0,0,4,0.37,3,0,1,0,0,0,Matches
61,Dylan Batubinsika,cd COD,DF,il Maccabi Haifa,26,1996,5.0,2,0.40,1,0,0,0,0,1,1,0.20,1,0,0,0,0,0,Matches
62,Martin Baturina,hr CRO,MF,hr Dinamo Zagreb,19,2003,0.7,4,6.21,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
