Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
1,Liel Abada,il ISR,"FW,MF",sct Celtic,20,2001,2.4,0,0,0,0,3,1,10,2,1,1,0,0,7,0,3,0.0,Matches
2,Oliver Abildgaard,dk DEN,MF,sct Celtic,26,1996,0.7,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,100.0,Matches
3,Mohammad Abu Fani,il ISR,MF,il Maccabi Haifa,24,1998,4.4,1,0,0,13,12,0,2,3,6,0,0,0,35,0,3,0.0,Matches
4,Francesco Acerbi,it ITA,DF,it Inter,34,1988,10.2,1,0,0,6,9,1,1,11,8,0,0,0,46,25,21,54.3,Matches
5,Marcos Acuña,ar ARG,"DF,MF",es Sevilla,30,1991,2.4,0,0,0,8,0,0,9,2,5,0,0,0,17,3,1,75.0,Matches
6,Junior Adamu,at AUT,FW,at RB Salzburg,21,2001,2.3,1,0,0,6,1,4,5,1,8,0,0,0,13,4,10,28.6,Matches
7,Antonio Adán,es ESP,GK,pt Sporting CP,35,1987,4.2,0,1,0,1,0,0,0,0,0,0,0,0,8,0,1,0.0,Matches
8,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,31,1991,5.2,2,0,0,3,3,0,0,3,11,0,0,0,21,8,4,66.7,Matches
9,Karim Adeyemi,de GER,"FW,MF",de Dortmund,20,2002,4.2,1,0,0,7,6,0,6,2,1,0,0,0,21,1,6,14.3,Matches
10,Amine Adli,ma MAR,"FW,MF",de Leverkusen,22,2000,1.3,0,0,0,4,1,3,4,0,1,0,1,0,10,3,1,75.0,Matches
11,Manuel Akanji,ch SUI,DF,eng Manchester City,27,1995,10.5,2,0,0,9,5,0,1,9,16,0,1,0,61,10,13,43.5,Matches
12,Nathan Aké,nl NED,DF,eng Manchester City,27,1995,6.8,1,0,0,5,1,0,5,7,6,0,0,0,22,14,1,93.3,Matches
13,David Alaba,at AUT,DF,es Real Madrid,30,1992,7.9,0,0,0,3,0,0,19,7,3,0,0,0,38,2,8,20.0,Matches
14,Lucas Alario,ar ARG,"FW,MF",de Eint Frankfurt,29,1992,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,66.7,Matches
15,Jordi Alba,es ESP,DF,es Barcelona,33,1989,1.6,0,0,0,0,0,0,9,0,0,0,0,0,16,0,0,,Matches
16,Thiago Alcántara,es ESP,MF,eng Liverpool,31,1991,3.4,0,0,0,4,6,0,2,7,8,0,0,0,35,3,2,60.0,Matches
17,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,23,1998,6.9,2,0,0,2,2,0,57,4,13,0,0,0,57,2,0,100.0,Matches
18,Sotiris Alexandropoulos,gr GRE,MF,pt Sporting CP,20,2001,1.3,0,0,0,0,3,0,0,0,1,0,0,0,4,1,2,33.3,Matches
