Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
132,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,29,1985,38.0,42,,,,,,,,,,,,,,,,,,,,,,,,,Matches
133,Alex Manninger,at AUT,GK,Augsburg,de Bundesliga,37,1977,9.0,15,,,,,,,,,,,,,,,,,,,,,,,,,Matches
134,Vito Mannone,it ITA,GK,Sunderland,eng Premier League,26,1988,10.0,20,,,,,,,,,,,,,,,,,,,,,,,,,Matches
135,Federico Marchetti,it ITA,GK,Lazio,it Serie A,31,1983,29.0,29,,,,,,,,,,,,,,,,,,,,,,,,,Matches
136,Diego Mariño,es ESP,GK,Levante,es La Liga,24,1990,32.0,55,,,,,,,,,,,,,,,,,,,,,,,,,Matches
137,Emiliano Martínez,ar ARG,GK,Arsenal,eng Premier League,21,1992,3.4,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
138,Jordi Masip,es ESP,GK,Barcelona,es La Liga,25,1989,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
139,Alex McCarthy,eng ENG,GK,QPR,eng Premier League,24,1989,2.6,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
140,Allan McGregor,sct SCO,GK,Hull City,eng Premier League,32,1982,26.0,39,,,,,,,,,,,,,,,,,,,,,,,,,Matches
141,Anthony Mfa Mezui,ga GAB,GK,Metz,fr Ligue 1,23,1991,16.0,25,,,,,,,,,,,,,,,,,,,,,,,,,Matches
142,Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,26,1988,35.8,43,,,,,,,,,,,,,,,,,,,,,,,,,Matches
143,Antonio Mirante,it ITA,GK,Parma,it Serie A,31,1983,32.5,60,,,,,,,,,,,,,,,,,,,,,,,,,Matches
144,Boaz Myhill,wls WAL,GK,West Brom,eng Premier League,31,1982,10.4,17,,,,,,,,,,,,,,,,,,,,,,,,,Matches
145,Keylor Navas,cr CRC,GK,Real Madrid,es La Liga,27,1986,6.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
146,Neto,br BRA,GK,Fiorentina,it Serie A,25,1989,29.0,35,,,,,,,,,,,,,,,,,,,,,,,,,Matches
147,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,28,1986,31.9,18,,,,,,,,,,,,,,,,,,,,,,,,,Matches
148,David Oberhauser,fr FRA,GK,Metz,fr Ligue 1,23,1990,2.1,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
149,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,21,1993,11.0,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
150,Oier Olazábal,es ESP,GK,Granada,es La Liga,24,1989,14.0,27,,,,,,,,,,,,,,,,,,,,,,,,,Matches
151,David Ospina,co COL,GK,Arsenal,eng Premier League,25,1988,18.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
152,Juan Pablo Carrizo,ar ARG,GK,Inter,it Serie A,30,1984,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
153,Daniele Padelli,it ITA,GK,Torino,it Serie A,28,1985,25.0,31,,,,,,,,,,,,,,,,,,,,,,,,,Matches
154,Costel Pantilimon,ro ROU,GK,Sunderland,eng Premier League,27,1987,28.0,33,,,,,,,,,,,,,,,,,,,,,,,,,Matches
155,Mattia Perin,it ITA,GK,Genoa,it Serie A,21,1992,30.9,38,,,,,,,,,,,,,,,,,,,,,,,,,Matches
156,Laurent Pionnier,fr FRA,GK,Montpellier,fr Ligue 1,32,1982,3.0,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
157,Johny Placide,ht HAI,GK,Reims,fr Ligue 1,26,1988,21.0,31,,,,,,,,,,,,,,,,,,,,,,,,,Matches
158,Alberto Pomini,it ITA,GK,Sassuolo,it Serie A,33,1981,3.3,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
159,Simon Pouplin,fr FRA,GK,Nice,fr Ligue 1,29,1985,7.7,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
160,Rafael,br BRA,GK,Hellas Verona,it Serie A,32,1982,19.2,35,,,,,,,,,,,,,,,,,,,,,,,,,Matches
161,Pepe Reina,es ESP,GK,Bayern Munich,de Bundesliga,31,1982,2.1,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
162,Sergio Rico,es ESP,GK,Sevilla,es La Liga,20,1993,20.1,24,,,,,,,,,,,,,,,,,,,,,,,,,Matches
163,Rémy Riou,fr FRA,GK,Nantes,fr Ligue 1,26,1987,32.0,35,,,,,,,,,,,,,,,,,,,,,,,,,Matches
164,Rudy Riou,fr FRA,GK,Lens,fr Ligue 1,34,1980,31.2,50,,,,,,,,,,,,,,,,,,,,,,,,,Matches
165,Roberto,es ESP,GK,Granada,es La Liga,35,1979,23.0,36,,,,,,,,,,,,,,,,,,,,,,,,,Matches
166,Joel Robles,es ESP,GK,Everton,eng Premier League,24,1990,6.5,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
167,Sergio Romero,ar ARG,GK,Sampdoria,it Serie A,27,1987,9.8,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
168,Rubén,es ESP,GK,Almería,es La Liga,30,1984,23.0,38,,,,,,,,,,,,,,,,,,,,,,,,,Matches
169,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,27,1986,38.0,30,,,,,,,,,,,,,,,,,,,,,,,,,Matches
170,Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,22,1992,22.0,27,,,,,,,,,,,,,,,,,,,,,,,,,Matches
171,Mikel Saizar,es ESP,GK,Córdoba,es La Liga,31,1983,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
172,Mamadou Samassa,ml MLI,GK,Guingamp,fr Ligue 1,24,1990,8.1,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
173,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,27,1986,24.0,37,,,,,,,,,,,,,,,,,,,,,,,,,Matches
174,Mark Schwarzer,au AUS,GK,Leicester City,eng Premier League,41,1972,6.0,10,,,,,,,,,,,,,,,,,,,,,,,,,Matches
175,Simone Scuffet,it ITA,GK,Udinese,it Serie A,18,1996,1.7,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
176,Luigi Sepe,it ITA,GK,Empoli,it Serie A,23,1991,31.0,35,,,,,,,,,,,,,,,,,,,,,,,,,Matches
177,Salvatore Sirigu,it ITA,GK,Paris S-G,fr Ligue 1,27,1987,33.4,28,,,,,,,,,,,,,,,,,,,,,,,,,Matches
178,Łukasz Skorupski,pl POL,GK,Roma,it Serie A,23,1991,3.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
179,Yann Sommer,ch SUI,GK,Gladbach,de Bundesliga,25,1988,34.0,26,,,,,,,,,,,,,,,,,,,,,,,,,Matches
