Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
57,Kelvin Davis,eng ENG,GK,Southampton,eng Premier League,37,1976,6.9,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
58,Morgan De Sanctis,it ITA,GK,Roma,it Serie A,37,1977,35.0,26,,,,,,,,,,,,,,,,,,,,,,,,,Matches
59,Stole Dimitrievski,mk MKD,GK,Granada,es La Liga,20,1993,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
60,Nicolas Douchez,fr FRA,GK,Paris S-G,fr Ligue 1,34,1980,4.6,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
61,Jaroslav Drobný,cz CZE,GK,Hamburger SV,de Bundesliga,34,1979,22.2,30,,,,,,,,,,,,,,,,,,,,,,,,,Matches
62,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,21,1993,6.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
63,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,28,1986,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
64,Vincent Enyeama,ng NGA,GK,Lille,fr Ligue 1,31,1982,38.0,42,,,,,,,,,,,,,,,,,,,,,,,,,Matches
65,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,29,1985,36.8,46,,,,,,,,,,,,,,,,,,,,,,,,,Matches
66,Fabricio,es ESP,GK,La Coruña,es La Liga,26,1987,31.0,41,,,,,,,,,,,,,,,,,,,,,,,,,Matches
67,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,25,1988,25.0,30,,,,,,,,,,,,,,,,,,,,,,,,,Matches
68,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,26,1988,29.1,21,,,,,,,,,,,,,,,,,,,,,,,,,Matches
69,Ben Foster,eng ENG,GK,West Brom,eng Premier League,31,1983,27.6,34,,,,,,,,,,,,,,,,,,,,,,,,,Matches
70,Giorgio Frezzolini,it ITA,GK,Atalanta,it Serie A,38,1976,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
71,Cyriack Garel,fr FRA,GK,Reims,fr Ligue 1,18,1996,0.8,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
72,Paulo Gazzaniga,ar ARG,GK,Southampton,eng Premier League,22,1992,2.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
73,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,23,1990,36.8,36,,,,,,,,,,,,,,,,,,,,,,,,,Matches
74,Fabian Giefer,de GER,GK,Schalke 04,de Bundesliga,24,1990,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
75,Jean-François Gillet,be BEL,GK,Torino,it Serie A,35,1979,12.0,14,,,,,,,,,,,,,,,,,,,,,,,,,Matches
76,Shay Given,ie IRL,GK,Aston Villa,eng Premier League,38,1976,3.0,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
77,Pierluigi Gollini,it ITA,GK,Hellas Verona,it Serie A,19,1995,3.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
78,Robert Green,eng ENG,GK,QPR,eng Premier League,34,1980,35.4,65,,,,,,,,,,,,,,,,,,,,,,,,,Matches
79,Max Grün,de GER,GK,Wolfsburg,de Bundesliga,27,1987,3.0,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
80,Vicente Guaita,es ESP,GK,Getafe,es La Liga,27,1987,29.0,44,,,,,,,,,,,,,,,,,,,,,,,,,Matches
81,Brad Guzan,us USA,GK,Aston Villa,eng Premier League,29,1984,34.0,48,,,,,,,,,,,,,,,,,,,,,,,,,Matches
82,Ben Hamer,eng ENG,GK,Leicester City,eng Premier League,26,1987,8.0,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
83,Samir Handanović,si SVN,GK,Inter,it Serie A,30,1984,37.0,47,,,,,,,,,,,,,,,,,,,,,,,,,Matches
84,Jesper Hansen,dk DEN,GK,Evian,fr Ligue 1,29,1985,15.0,24,,,,,,,,,,,,,,,,,,,,,,,,,Matches
85,Steve Harper,eng ENG,GK,Hull City,eng Premier League,39,1975,9.5,10,,,,,,,,,,,,,,,,,,,,,,,,,Matches
86,Joe Hart,eng ENG,GK,Manchester City,eng Premier League,27,1987,36.0,34,,,,,,,,,,,,,,,,,,,,,,,,,Matches
87,Mouez Hassen,tn TUN,GK,Nice,fr Ligue 1,19,1995,30.0,42,,,,,,,,,,,,,,,,,,,,,,,,,Matches
88,Tom Heaton,eng ENG,GK,Burnley,eng Premier League,28,1986,38.0,53,,,,,,,,,,,,,,,,,,,,,,,,,Matches
89,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,27,1987,2.4,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
90,Manu Herrera,es ESP,GK,Elche,es La Liga,32,1981,6.2,15,,,,,,,,,,,,,,,,,,,,,,,,,Matches
91,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,26,1988,4.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
