Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
1,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,29,1986,6.0,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Asmir Begović,ba BIH,GK,eng Chelsea,28,1987,5.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Diego Benaglio,ch SUI,GK,de Wolfsburg,31,1983,8.0,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Gianluigi Buffon,it ITA,GK,it Juventus,37,1978,8.3,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Willy Caballero,ar ARG,GK,eng Manchester City,33,1981,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Eduardo Carvalho,pt POR,GK,hr Dinamo Zagreb,32,1982,6.0,14,,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Kiko Casilla,es ESP,GK,es Real Madrid,28,1986,2.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Iker Casillas,es ESP,GK,pt Porto,34,1981,6.0,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Koen Casteels,be BEL,GK,de Wolfsburg,23,1992,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Petr Čech,cz CZE,GK,eng Arsenal,33,1982,5.0,7,,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Júlio César,br BRA,GK,pt Benfica,35,1979,7.0,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Sergei Chernik,by BLR,GK,by BATE Borisov,27,1988,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Thibaut Courtois,be BEL,GK,eng Chelsea,23,1992,3.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Morgan De Sanctis,it ITA,GK,it Roma,38,1977,0.4,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Jaume Doménech,es ESP,GK,es Valencia,24,1990,6.0,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Ederson,br BRA,GK,pt Benfica,21,1993,3.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Nenad Erić,kz KAZ,GK,kz FC Astana,33,1982,6.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,David de Gea,es ESP,GK,eng Manchester Utd,24,1990,6.0,7,,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Joe Hart,eng ENG,GK,eng Manchester City,28,1987,11.9,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Anton Kanibolotskiy,ua UKR,GK,ua Shakhtar,27,1988,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Mikhail Kerzhakov,ru RUS,GK,ru Zenit,28,1987,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Bernd Leno,de GER,GK,de Leverkusen,23,1992,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Yuri Lodygin,ru RUS,GK,ru Zenit,25,1990,6.0,7,,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Anthony Lopes,pt POR,GK,fr Lyon,24,1990,6.0,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Fernando Muslera,uy URU,GK,tr Galatasaray,29,1986,6.0,10,,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Keylor Navas,cr CRC,GK,es Real Madrid,28,1986,11.3,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Manuel Neuer,de GER,GK,de Bayern Munich,29,1986,11.3,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Jan Oblak,si SVN,GK,es Atlético Madrid,22,1993,13.7,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,David Ospina,co COL,GK,eng Arsenal,26,1988,3.0,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Andriy Pyatov,ua UKR,GK,ua Shakhtar,31,1984,4.0,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Predrag Rajković,rs SRB,GK,il Maccabi Tel Aviv,19,1995,6.0,16,,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Sergio Rico,es ESP,GK,es Sevilla,21,1993,6.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Roberto,es ESP,GK,gr Olympiacos,29,1986,6.0,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Oleksandr Rybka,ua UKR,GK,ua Dynamo Kyiv,28,1987,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Matz Sels,be BEL,GK,be Gent,23,1992,8.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Oleksandr Shovkovskiy,ua UKR,GK,ua Dynamo Kyiv,40,1975,7.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Yann Sommer,ch SUI,GK,de Gladbach,26,1988,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Wojciech Szczęsny,pl POL,GK,it Roma,25,1990,7.6,20,,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Marc-André ter Stegen,de GER,GK,es Barcelona,23,1992,10.0,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Kevin Trapp,de GER,GK,fr Paris S-G,25,1990,10.0,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Sven Ulreich,de GER,GK,de Bayern Munich,26,1988,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Johan Wiland,se SWE,GK,se Malmö,34,1981,6.0,21,,,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Jeroen Zoet,nl NED,GK,nl PSV Eindhoven,24,1991,8.3,7,,,,,,,,,,,,,,,,,,,,,,,,,Matches
