Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,5.5,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
2,Marcos Acuña,ar ARG,"FW,DF",pt Sporting CP,25,1991,4.8,7,5,3,3,1,0,2,0.0,2,4,0,4,8,15,3,0,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,3,0,Matches
4,Adriano,br BRA,DF,tr Beşiktaş,32,1984,5.4,15,12,5,9,1,8,13,61.5,5,2,0,2,11,26,19,2,Matches
5,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6.0,8,6,2,3,3,1,4,25.0,3,5,1,4,1,9,16,0,Matches
6,Ansi Agolli,al ALB,DF,az Qarabağ,34,1982,4.0,7,5,6,1,0,2,2,100.0,0,5,1,4,6,13,15,0,Matches
7,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,4.9,3,2,1,1,1,0,3,0.0,3,4,0,4,3,6,0,0,Matches
8,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4.0,9,6,4,5,0,1,6,16.7,5,10,0,10,3,12,4,0,Matches
9,Valon Ahmedi,al ALB,"MF,FW",si NK Maribor,22,1994,2.5,2,1,1,1,0,2,4,50.0,2,1,0,1,0,2,2,0,Matches
10,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,1.1,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
11,Manuel Akanji,ch SUI,DF,ch Basel,22,1995,6.0,8,5,8,0,0,4,11,36.4,7,11,5,6,13,21,32,0,Matches
12,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,1,Matches
13,David Alaba,at AUT,DF,de Bayern Munich,25,1992,6.9,7,5,3,2,2,2,5,40.0,3,5,2,3,7,14,9,2,Matches
14,Jordi Alba,es ESP,DF,es Barcelona,28,1989,7.1,12,6,7,4,1,5,13,38.5,8,9,3,6,10,22,15,0,Matches
15,Raúl Albiol,es ESP,DF,it Napoli,31,1985,5.0,8,5,7,1,0,5,6,83.3,1,6,5,1,6,14,16,1,Matches
16,Paco Alcácer,es ESP,FW,es Barcelona,23,1993,1.1,1,0,1,0,0,0,0,,0,2,0,2,2,3,0,0,Matches
17,Thiago Alcántara,es ESP,MF,de Bayern Munich,26,1991,6.7,26,19,7,16,3,8,19,42.1,11,12,1,11,14,40,2,0,Matches
18,Toby Alderweireld,be BEL,DF,eng Tottenham,28,1989,3.3,6,5,3,3,0,4,6,66.7,2,5,2,3,2,8,20,0,Matches
19,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,18,1998,9.1,25,14,16,8,1,16,28,57.1,12,4,2,2,22,47,27,1,Matches
