Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
232,Leon Goretzka,de GER,MF,de Bayern Munich,23,1995,3.6,225,8,44,144,39,6,225,3,2,66.7,1,33.3,143,641,341,9,6,1,3,1,156,11,Matches
233,Mathieu Gorgelin,fr FRA,GK,fr Lyon,27,1990,0.6,20,17,20,0,0,0,20,0,0,,0,,12,55,37,0,0,0,0,0,11,0,Matches
234,Mario Götze,de GER,"MF,FW",de Dortmund,26,1992,4.9,327,4,27,153,150,21,327,10,6,60.0,4,40.0,232,1000,456,14,18,9,15,5,252,40,Matches
235,Gobe Gouano,fr FRA,FW,fr Monaco,17,2000,0.3,10,0,0,1,9,3,10,1,1,100.0,0,0.0,6,42,11,0,1,1,1,1,7,6,Matches
236,Samuel Grandsir,fr FRA,"MF,FW",fr Monaco,21,1996,2.1,102,4,20,43,42,7,102,6,4,66.7,2,33.3,62,480,290,9,5,2,4,3,68,20,Matches
237,Mason Greenwood,eng ENG,MF,eng Manchester Utd,16,2001,0.0,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
238,Antoine Griezmann,fr FRA,FW,es Atlético Madrid,27,1991,8.0,416,10,40,147,234,32,416,15,6,40.0,9,60.0,225,1198,573,22,15,7,8,8,297,66,Matches
239,Vincenzo Grifo,it ITA,DF,de Hoffenheim,25,1993,0.1,6,0,3,0,3,0,6,0,0,,0,,3,19,6,0,0,0,0,0,3,1,Matches
240,Florian Grillitsch,at AUT,MF,de Hoffenheim,22,1995,4.6,260,7,65,166,36,2,260,12,9,75.0,3,25.0,135,933,537,11,13,1,9,5,170,8,Matches
241,Álex Grimaldo,es ESP,DF,pt Benfica,22,1995,6.0,402,15,96,200,111,6,402,15,9,60.0,6,40.0,231,1598,1080,20,12,0,6,8,244,20,Matches
242,Gonçalo Guedes,pt POR,MF,es Valencia,21,1996,3.5,175,2,20,63,94,13,175,13,6,46.2,7,53.8,127,810,447,17,8,7,10,2,135,31,Matches
243,Raphaël Guerreiro,pt POR,"FW,MF",de Dortmund,24,1993,3.2,303,3,35,110,159,18,303,4,0,0.0,4,100.0,203,823,342,9,11,1,10,4,238,56,Matches
244,Sinan Gümüş,,FW,tr Galatasaray,24,1994,2.5,76,0,5,28,46,6,76,7,4,57.1,3,42.9,43,204,73,2,1,2,4,3,57,11,Matches
245,İlkay Gündoğan,de GER,MF,eng Manchester City,27,1990,6.5,573,9,53,404,121,6,573,7,6,85.7,1,14.3,380,1861,1112,14,10,0,6,8,448,16,Matches
246,Erick Gutiérrez,mx MEX,MF,nl PSV Eindhoven,23,1995,1.1,63,1,10,47,10,1,63,2,2,100.0,0,0.0,45,217,87,0,1,0,1,2,50,2,Matches
247,Robin Hack,de GER,MF,de Hoffenheim,19,1998,0.1,1,0,0,1,0,0,1,0,0,,0,,1,1,0,0,0,0,1,0,1,0,Matches
248,Munir El Haddadi,ma MAR,FW,es Barcelona,22,1995,0.7,24,1,4,13,7,3,24,0,0,,0,,15,62,16,1,1,1,2,2,20,1,Matches
249,Achraf Hakimi,ma MAR,DF,de Dortmund,19,1998,4.1,438,8,100,235,108,10,438,11,5,45.5,6,54.5,285,1340,739,19,10,5,5,6,344,40,Matches
250,Marek Hamšík,sk SVK,MF,it Napoli,31,1987,5.1,475,15,76,336,64,4,475,1,0,0.0,1,100.0,306,1107,702,10,11,0,2,3,385,7,Matches
251,Samir Handanović,si SVN,GK,it Inter,34,1984,6.0,226,216,226,0,0,0,226,0,0,,0,,89,568,409,0,0,0,0,0,98,0,Matches
252,Amine Harit,ma MAR,"MF,FW",de Schalke 04,21,1997,1.6,73,1,8,34,32,8,73,8,4,50.0,4,50.0,61,325,113,3,4,1,5,9,59,9,Matches
253,Milan Havel,cz CZE,"FW,DF",cz Viktoria Plzeň,23,1994,2.5,81,10,29,16,37,10,81,3,0,0.0,3,100.0,41,294,188,8,3,3,2,1,42,14,Matches
254,Lukáš Hejda,cz CZE,DF,cz Viktoria Plzeň,28,1990,5.0,218,43,121,87,11,3,218,1,0,0.0,1,100.0,79,357,204,0,2,1,1,0,118,3,Matches
255,Jordan Henderson,eng ENG,MF,eng Liverpool,28,1990,8.9,571,11,75,364,139,15,571,6,3,50.0,3,50.0,316,1418,687,16,7,4,7,4,350,19,Matches
256,Jorrit Hendrix,nl NED,MF,nl PSV Eindhoven,23,1995,5.8,263,17,83,152,30,2,263,7,5,71.4,2,28.6,109,581,277,5,4,2,6,5,139,1,Matches
257,Benjamin Henrichs,de GER,"DF,MF",fr Monaco,21,1997,3.3,194,6,43,94,58,7,194,3,1,33.3,2,66.7,126,726,425,16,8,2,5,1,119,27,Matches
258,Lucas Hernández,fr FRA,DF,es Atlético Madrid,22,1996,5.0,330,26,111,202,20,1,330,1,1,100.0,0,0.0,191,1168,665,7,7,0,3,0,221,4,Matches
259,Ander Herrera,es ESP,MF,eng Manchester Utd,28,1989,1.9,129,6,29,66,35,1,129,0,0,,0,,58,247,119,2,3,1,0,1,97,4,Matches
260,Héctor Herrera,mx MEX,MF,pt Porto,28,1990,9.2,523,13,72,313,145,22,523,15,10,66.7,5,33.3,296,1662,758,6,15,2,7,12,350,30,Matches
261,Son Heung-min,kr KOR,FW,eng Tottenham,26,1992,10.0,435,8,51,168,224,46,435,36,20,55.6,16,44.4,312,2299,1045,42,24,28,24,30,335,94,Matches
262,Marwin Hitz,ch SUI,GK,de Dortmund,30,1987,1.0,32,24,31,1,0,0,32,0,0,,0,,23,87,50,0,0,0,0,0,17,0,Matches
263,Guillaume Hoarau,fr FRA,FW,ch Young Boys,34,1984,4.5,160,14,21,84,56,17,158,2,0,0.0,2,100.0,58,233,55,3,2,0,10,5,103,13,Matches
264,Justin Hoogma,nl NED,MF,de Hoffenheim,20,1998,1.0,45,6,30,14,1,0,45,1,1,100.0,0,0.0,15,69,7,0,0,0,1,0,25,1,Matches
265,Tomáš Hořava,cz CZE,MF,cz Viktoria Plzeň,30,1988,2.4,130,1,25,71,38,2,130,5,2,40.0,3,60.0,71,473,222,5,5,0,5,2,91,4,Matches
266,Ethan Horvath,us USA,GK,be Club Brugge,23,1995,3.0,103,94,103,0,0,0,103,0,0,,0,,56,405,290,0,0,0,0,0,30,0,Matches
267,Benedikt Höwedes,de GER,DF,ru Loko Moscow,30,1988,5.0,203,21,72,119,14,3,203,1,0,0.0,1,100.0,72,400,227,5,1,0,3,0,90,2,Matches
268,Patrik Hrošovský,sk SVK,MF,cz Viktoria Plzeň,26,1992,6.0,343,13,89,206,51,4,343,3,1,33.3,2,66.7,157,967,468,5,5,2,2,6,206,6,Matches
269,Aleš Hruška,cz CZE,GK,cz Viktoria Plzeň,32,1985,4.0,173,145,172,1,0,0,173,0,0,,0,,60,383,287,0,0,0,1,0,56,0,Matches
270,Benjamin Hübner,de GER,DF,de Hoffenheim,29,1989,1.0,42,4,25,19,0,0,42,0,0,,0,,23,82,46,0,0,0,0,1,23,0,Matches
271,Roman Hubník,cz CZE,DF,cz Viktoria Plzeň,34,1984,6.0,273,63,182,80,13,8,273,1,0,0.0,1,100.0,100,716,212,0,1,0,3,0,122,2,Matches
272,Niklas Hult,se SWE,DF,gr AEK Athens,28,1990,6.0,354,19,125,174,61,5,354,7,5,71.4,2,28.6,197,1523,748,17,8,2,4,3,204,23,Matches
273,Mats Hummels,de GER,DF,de Bayern Munich,29,1988,6.0,522,39,280,230,14,8,522,2,2,100.0,0,0.0,325,1616,990,2,1,0,3,1,370,2,Matches
274,Klaas-Jan Huntelaar,nl NED,FW,nl Ajax,34,1983,1.1,25,0,0,4,21,6,25,1,0,0.0,1,100.0,13,39,6,0,0,0,3,0,18,5,Matches
275,Elseid Hysaj,al ALB,DF,it Napoli,24,1994,1.7,150,5,28,94,29,1,150,5,4,80.0,1,20.0,103,484,313,2,3,0,1,0,108,1,Matches
276,Mauro Icardi,ar ARG,FW,it Inter,25,1993,6.0,134,8,16,56,64,28,134,1,1,100.0,0,0.0,62,236,82,1,4,0,5,3,94,26,Matches
277,Brian Idowu,ng NGA,DF,ru Loko Moscow,26,1992,3.0,186,5,48,87,53,3,186,0,0,,0,,52,221,83,1,3,0,2,1,79,10,Matches
278,Vladislav Ignatyev,ru RUS,DF,ru Loko Moscow,31,1987,5.8,353,20,96,153,106,8,353,6,2,33.3,4,66.7,147,952,525,13,6,0,8,2,179,28,Matches
279,Selçuk İnan,tr TUR,MF,tr Galatasaray,33,1985,1.2,94,3,15,66,13,1,93,0,0,,0,,61,372,213,4,3,0,0,1,75,1,Matches
280,Lorenzo Insigne,it ITA,FW,it Napoli,27,1991,5.4,337,0,10,167,161,20,336,9,4,44.4,5,55.6,248,885,448,13,14,4,9,5,275,55,Matches
