Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
44,Marc Bartra,es ESP,DF,es Barcelona,24,1991,2.6,,,,,,,,,,,,,,,0,,,,,,Matches
45,Andrea Barzagli,it ITA,DF,it Juventus,34,1981,6.6,,,,,,,,,,,,,,,1,,,,,,Matches
46,Claudio Beauvue,gp GLP,"FW,MF",fr Lyon,27,1988,2.1,,,,,,,,,,,,,,,0,,,,,,Matches
47,Henri Bedimo,cm CMR,DF,fr Lyon,31,1984,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
48,Asmir Begović,ba BIH,GK,eng Chelsea,28,1987,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
49,Abzal Beisebekov,kz KAZ,"DF,MF",kz FC Astana,22,1992,1.1,,,,,,,,,,,,,,,0,,,,,,Matches
50,Younès Belhanda,ma MAR,"FW,MF",ua Dynamo Kyiv,25,1990,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
51,Karim Bellarabi,de GER,"FW,MF",de Leverkusen,25,1990,4.7,,,,,,,,,,,,,,,2,,,,,,Matches
52,Héctor Bellerín,es ESP,"DF,MF",eng Arsenal,20,1995,5.9,,,,,,,,,,,,,,,1,,,,,,Matches
53,Eden Ben Basat,il ISR,FW,il Maccabi Tel Aviv,28,1986,1.1,,,,,,,,,,,,,,,0,,,,,,Matches
54,Tal Ben Haim,il ISR,"FW,MF",il Maccabi Tel Aviv,25,1989,4.9,,,,,,,,,,,,,,,0,,,,,,Matches
55,Tal Ben Haim,il ISR,DF,il Maccabi Tel Aviv,33,1982,4.5,,,,,,,,,,,,,,,0,,,,,,Matches
56,Omri Ben Harush,il ISR,DF,il Maccabi Tel Aviv,25,1990,4.5,,,,,,,,,,,,,,,0,,,,,,Matches
57,Diego Benaglio,ch SUI,GK,de Wolfsburg,31,1983,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
58,Medhi Benatia,ma MAR,DF,de Bayern Munich,28,1987,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
59,Lars Bender,de GER,"DF,MF",de Leverkusen,26,1989,1.5,,,,,,,,,,,,,,,0,,,,,,Matches
60,Nicklas Bendtner,dk DEN,FW,de Wolfsburg,27,1988,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
61,Rasmus Bengtsson,se SWE,DF,se Malmö,29,1986,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
