Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
1,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,24,1995,5.0,263,248,10,10,0,3,0,0,0,0,0,0,189,5,4,Matches
2,Tammy Abraham,eng ENG,FW,eng Chelsea,22,1997,2.6,48,46,2,0,0,0,0,0,0,0,0,0,38,0,1,Matches
3,Francesco Acerbi,it ITA,DF,it Lazio,32,1988,8.0,467,431,35,18,1,9,21,8,0,0,0,0,389,1,6,Matches
4,Marcos Acuña,ar ARG,DF,es Sevilla,28,1991,3.6,305,264,41,5,0,3,30,32,4,0,4,0,244,0,2,Matches
5,Tyler Adams,us USA,"FW,MF",de RB Leipzig,21,1999,3.2,160,130,28,2,1,0,1,26,0,0,0,0,126,2,4,Matches
6,Karim Adeyemi,de GER,FW,at RB Salzburg,18,2002,0.6,8,7,1,0,0,0,1,0,1,0,0,0,4,0,0,Matches
7,Adrián,es ESP,GK,eng Liverpool,33,1987,1.0,32,23,9,1,0,0,0,0,0,0,0,0,21,0,1,Matches
8,Nayef Aguerd,ma MAR,DF,fr Rennes,24,1996,3.1,201,197,4,4,0,5,0,0,0,0,0,0,177,0,1,Matches
9,Sergio Agüero,ar ARG,FW,eng Manchester City,32,1988,1.7,22,21,1,0,0,0,0,0,0,0,0,0,17,0,0,Matches
10,Manuel Akanji,ch SUI,DF,de Dortmund,25,1995,7.0,567,556,10,8,0,6,0,2,0,0,0,0,521,1,1,Matches
11,Marley Aké,fr FRA,"FW,MF",fr Marseille,19,2001,0.4,12,10,2,0,0,0,0,0,0,0,0,0,11,0,0,Matches
12,Nathan Aké,nl NED,DF,eng Manchester City,25,1995,2.0,140,132,8,2,0,1,1,6,0,0,0,0,128,0,0,Matches
13,Jean-Daniel Akpa-Akpro,ci CIV,MF,it Lazio,27,1992,3.2,94,89,5,1,1,3,0,4,0,0,0,0,74,0,1,Matches
14,David Alaba,at AUT,"DF,MF",de Bayern Munich,28,1992,9.0,699,674,25,20,1,6,9,5,0,0,0,0,620,0,5,Matches
15,Jordi Alba,es ESP,DF,es Barcelona,31,1989,5.4,515,487,26,2,1,2,16,23,1,0,0,0,451,2,9,Matches
16,Luis Alberto,es ESP,MF,it Lazio,27,1992,5.3,355,307,46,14,6,1,26,2,22,14,6,0,278,2,5,Matches
17,Thiago Alcántara,es ESP,MF,eng Liverpool,29,1991,2.5,176,173,3,1,0,1,0,0,0,0,0,0,157,0,2,Matches
18,Danijel Aleksić,rs SRB,MF,tr Başakşehir,29,1991,1.2,55,52,2,0,0,0,3,0,1,0,0,0,42,1,1,Matches
19,Carles Aleñá,es ESP,"MF,DF",es Barcelona,22,1998,1.4,161,159,2,0,0,0,2,0,2,2,0,0,155,0,0,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,21,1998,7.9,631,530,96,11,2,21,49,67,18,1,13,0,439,5,11,Matches
21,Hasan Ali Kaldırım,tr TUR,DF,tr Başakşehir,30,1989,1.2,61,54,7,0,0,0,6,7,0,0,0,0,41,0,1,Matches
22,Alisson,br BRA,GK,eng Liverpool,27,1992,7.0,260,196,64,14,0,1,0,0,0,0,0,0,213,0,0,Matches
23,Marcos Alonso,es ESP,DF,eng Chelsea,29,1990,2.0,110,87,23,2,0,0,7,21,0,0,0,0,91,0,3,Matches
24,Éder Álvarez Balanta,co COL,MF,be Club Brugge,27,1993,2.6,123,119,3,3,0,2,0,0,0,0,0,0,99,1,2,Matches
25,Edson Álvarez,mx MEX,"MF,DF",nl Ajax,22,1997,1.4,63,60,3,3,0,0,0,0,0,0,0,0,51,0,1,Matches
