Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
852,Mateus Uribe,co COL,MF,pt Porto,29,1991,9,746,83,80.2,8.3,8,90,7,1,27,0,1.78,11,8,+3,+0.36,-1.11,8.9,12.3,-3.4,-0.41,-0.81,Matches
853,Daniil Utkin,ru RUS,"MF,FW",ru Krasnodar,20,1999,4,224,56,41.5,2.5,3,73,0,1,6,2,1.17,3,6,-3,-1.21,-0.64,3.1,5.0,-1.9,-0.75,+0.30,Matches
854,Myrto Uzuni,al ALB,"MF,FW",hu Ferencváros,25,1995,4,244,61,45.2,2.7,3,78,1,1,11,0,1.22,2,7,-5,-1.84,+0.28,2.3,5.4,-3.2,-1.17,+0.03,Matches
855,Tomáš Vaclík,cz CZE,GK,es Sevilla,31,1989,2,180,90,25.0,2.0,2,90,2,0,,4,3.00,5,3,+2,+1.00,+1.33,3.6,2.5,+1.2,+0.58,+0.61,Matches
856,Vladyslav Vakula,ua UKR,MF,ua Shakhtar,21,1999,0,,,,,0,,,0,,2,,,,,,,,,,,,Matches
857,Mathieu Valbuena,fr FRA,"FW,MF",gr Olympiacos,35,1984,3,256,85,47.4,2.8,3,85,0,0,,0,1.40,1,3,-2,-0.70,+1.20,2.3,3.6,-1.3,-0.46,+0.83,Matches
858,Germán Valera,es ESP,"FW,MF",es Atlético Madrid,18,2002,0,,,,,0,,,0,,4,,,,,,,,,,,,Matches
859,Albert Vallci,at AUT,DF,at RB Salzburg,25,1995,1,90,90,16.7,1.0,1,90,1,0,,5,2.00,2,2,0,0.00,+1.40,1.1,0.8,+0.3,+0.30,-0.03,Matches
860,Federico Valverde,uy URU,"MF,DF",es Real Madrid,22,1998,7,490,70,45.4,5.4,5,88,4,2,25,0,1.57,9,8,+1,+0.18,-0.43,8.3,8.6,-0.4,-0.06,-0.68,Matches
861,Thomas Van den Keybus,be BEL,DF,be Club Brugge,19,2001,1,1,1,0.2,0.0,0,,0,1,1,1,3.00,0,0,0,0.00,+0.33,0.0,0.0,0.0,0.00,+0.13,Matches
862,Ignace Van Der Brempt,be BEL,DF,be Club Brugge,18,2002,1,7,7,1.3,0.1,0,,0,1,7,4,1.00,0,0,0,0.00,+0.34,0.1,0.0,+0.1,+1.51,+1.66,Matches
863,Hans Vanaken,be BEL,MF,be Club Brugge,27,1992,6,530,88,98.1,5.9,6,88,4,0,,0,1.33,8,10,-2,-0.34,-0.34,8.4,9.3,-0.9,-0.15,-0.93,Matches
