Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
26,Mikhail Kerzhakov,ru RUS,GK,ru Zenit,33,1987,6.0,13,3,0,1,0,12.7,0.35,-0.3,-0.05,25,60,41.7,151,43,29.8,32.6,39,38.5,34.2,90,4,4.4,2,0.33,10.6,Matches
27,Steve Mandanda,fr FRA,GK,fr Marseille,35,1985,6.0,13,2,0,2,1,10.4,0.36,-1.6,-0.27,26,95,27.4,209,18,36.8,31.7,38,47.4,37.0,50,1,2.0,5,0.83,16.2,Matches
28,Agustín Marchesín,ar ARG,GK,pt Porto,32,1988,9.3,9,1,1,1,0,12.9,0.32,+3.9,+0.43,66,220,30.0,329,39,58.4,43.0,60,46.7,40.0,183,4,2.2,8,0.89,14.1,Matches
29,Guilherme Marinato,ru RUS,GK,ru Loko Moscow,34,1985,6.0,10,0,0,3,0,9.4,0.27,-0.6,-0.11,50,107,46.7,177,29,41.8,35.2,70,47.1,35.0,143,10,7.0,5,0.83,12.6,Matches
30,Edouard Mendy,sn SEN,GK,eng Chelsea,28,1992,12.0,3,0,0,2,0,6.8,0.20,+3.8,+0.31,48,113,42.5,295,52,25.4,28.3,76,50.0,38.6,153,7,4.6,5,0.42,13.0,Matches
31,Simon Mignolet,be BEL,GK,be Club Brugge,32,1988,5.0,9,1,1,1,0,7.5,0.30,-1.5,-0.29,46,95,48.4,199,26,41.7,35.3,32,37.5,36.7,43,3,7.0,13,2.60,23.7,Matches
32,Keylor Navas,cr CRC,GK,fr Paris S-G,33,1986,12.0,15,3,1,2,0,18.7,0.22,+3.7,+0.31,47,140,33.6,334,62,32.3,32.7,101,31.7,31.8,181,5,2.8,8,0.67,12.5,Matches
33,Ruslan Neshcheret,ua UKR,GK,ua Dynamo Kyiv,18,2002,1.0,2,1,0,1,0,5.4,0.39,+3.4,+3.40,3,6,50.0,27,5,22.2,28.1,11,0.0,19.3,13,0,0.0,0,0.00,8.5,Matches
34,Neto,br BRA,GK,es Barcelona,31,1989,3.0,1,1,0,0,0,1.8,0.20,+0.8,+0.27,5,17,29.4,70,14,14.3,23.3,22,31.8,33.0,26,0,0.0,4,1.33,20.7,Matches
35,Manuel Neuer,de GER,GK,de Bayern Munich,34,1986,8.0,8,0,0,1,0,13.0,0.31,+5.0,+0.62,28,57,49.1,273,57,17.9,27.5,44,18.2,30.9,92,3,3.3,25,3.13,21.1,Matches
36,Alexander Nübel,de GER,GK,de Bayern Munich,23,1996,2.0,2,0,0,0,0,2.2,0.45,+0.2,+0.12,4,11,36.4,68,11,14.7,24.3,13,7.7,21.7,19,0,0.0,3,1.50,19.4,Matches
37,Jan Oblak,si SVN,GK,es Atlético Madrid,27,1993,8.0,11,2,0,0,1,9.7,0.32,-0.3,-0.04,41,119,34.5,147,30,55.8,38.8,61,60.7,41.9,93,3,3.2,4,0.50,14.3,Matches
38,André Onana,cm CMR,GK,nl Ajax,24,1996,6.0,7,1,0,0,1,8.4,0.27,+2.4,+0.41,22,77,28.6,284,34,25.4,29.3,31,16.1,26.8,64,2,3.1,5,0.83,15.9,Matches
39,Alfonso Pastor,es ESP,GK,es Sevilla,19,2000,1.0,4,1,0,0,0,2.7,0.28,-1.3,-1.33,2,7,28.6,28,5,14.3,25.5,4,75.0,44.5,13,0,0.0,1,1.00,14.0,Matches
40,Andriy Pyatov,ua UKR,GK,ua Shakhtar,36,1984,1.0,4,1,1,1,0,4.2,0.53,+0.2,+0.19,6,9,66.7,19,1,21.1,26.4,8,62.5,39.8,7,0,0.0,1,1.00,14.0,Matches
41,Pepe Reina,es ESP,GK,it Lazio,37,1982,7.0,12,2,0,0,1,8.9,0.25,-2.1,-0.30,24,54,44.4,261,45,19.9,28.1,24,8.3,19.8,90,2,2.2,4,0.57,10.8,Matches
42,José Sá,pt POR,GK,gr Olympiacos,27,1993,6.0,10,3,0,0,0,11.1,0.24,+1.1,+0.18,28,80,35.0,161,39,32.9,32.2,49,55.1,42.1,68,6,8.8,0,0.00,9.4,Matches
43,Matvei Safonov,ru RUS,GK,ru Krasnodar,21,1999,4.0,8,2,0,1,0,6.6,0.15,-1.4,-0.35,29,74,39.2,94,23,56.4,41.8,30,70.0,46.6,76,4,5.3,1,0.25,7.0,Matches
44,Romain Salin,fr FRA,GK,fr Rennes,36,1984,2.0,4,0,0,0,0,3.2,0.40,-0.8,-0.40,10,19,52.6,38,7,26.3,28.3,12,75.0,46.0,24,0,0.0,4,2.00,22.2,Matches
45,Yann Sommer,ch SUI,GK,de Gladbach,31,1988,8.0,13,0,0,1,0,14.1,0.42,+1.1,+0.14,33,86,38.4,293,29,27.0,29.2,49,14.3,24.1,107,6,5.6,4,0.50,12.6,Matches
46,Marco Sportiello,it ITA,GK,it Atalanta,28,1992,5.0,11,2,0,0,0,9.8,0.25,-1.2,-0.24,17,35,48.6,86,25,19.8,28.3,29,62.1,47.8,40,3,7.5,5,1.00,16.8,Matches
47,Cican Stankovic,at AUT,GK,at RB Salzburg,27,1992,6.0,17,2,0,3,1,12.4,0.33,-3.6,-0.60,11,36,30.6,94,19,34.0,32.1,31,12.9,24.9,67,3,4.5,3,0.50,13.4,Matches
48,Zack Steffen,us USA,GK,eng Manchester City,25,1995,1.0,0,0,0,0,0,0.2,0.08,+0.2,+0.16,0,0,,20,5,0.0,21.8,5,0.0,15.6,9,0,0.0,0,0.00,,Matches
49,Thomas Strakosha,al ALB,GK,it Lazio,25,1995,1.0,1,0,0,0,0,1.0,0.15,0.0,+0.02,4,10,40.0,10,3,50.0,35.0,8,62.5,45.0,14,0,0.0,0,0.00,,Matches
50,Wojciech Szczęsny,pl POL,GK,it Juventus,30,1990,7.3,8,2,1,0,0,9.4,0.28,+1.4,+0.20,6,15,40.0,133,25,9.0,22.2,39,7.7,22.6,61,3,4.9,10,1.43,17.2,Matches
51,Marc-André ter Stegen,de GER,GK,es Barcelona,28,1992,5.0,9,3,0,0,0,11.0,0.33,+2.0,+0.40,10,15,66.7,98,15,11.2,23.6,29,13.8,25.6,41,0,0.0,5,1.00,16.2,Matches
52,Anatolii Trubin,ua UKR,GK,ua Shakhtar,18,2001,5.0,8,0,0,1,1,7.1,0.23,+0.1,+0.03,20,91,22.0,162,28,36.4,35.3,52,61.5,46.9,117,2,1.7,1,0.20,10.3,Matches
53,Tomáš Vaclík,cz CZE,GK,es Sevilla,31,1989,2.0,3,1,1,0,0,1.8,0.13,-1.2,-0.62,8,19,42.1,36,3,38.9,33.2,8,62.5,44.9,20,1,5.0,1,0.50,14.7,Matches
