Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
562,Mason Mount,eng ENG,"MF,FW",eng Manchester Utd,24,1999,2,91,46,16.9,1.0,1,84,0,1,7,1,0.00,2,4,-2,-1.98,-1.78,2.3,2.7,-0.4,-0.42,-0.32,Matches
563,João Moutinho,pt POR,MF,pt Braga,36,1986,5,291,58,53.9,3.2,3,87,2,2,16,1,0.80,2,6,-4,-1.24,-0.51,4.5,6.0,-1.5,-0.47,-0.43,Matches
564,Arbnor Muja,al ALB,FW,be Antwerp,24,1998,5,357,71,66.1,4.0,4,84,0,1,22,0,0.86,3,13,-10,-2.52,-2.03,3.2,8.3,-5.1,-1.29,-1.40,Matches
565,Nordi Mukiele,fr FRA,DF,fr Paris S-G,25,1997,3,57,19,5.3,0.6,0,,0,3,19,8,2.00,0,1,-1,-1.58,-2.02,0.7,1.0,-0.3,-0.48,-1.47,Matches
566,Thomas Müller,de GER,MF,de Bayern Munich,33,1989,9,426,47,39.4,4.7,4,82,1,5,20,3,1.89,10,7,+3,+0.63,-0.05,10.3,7.0,+3.3,+0.69,+0.59,Matches
567,Aihen Muñoz,es ESP,DF,es Real Sociedad,25,1997,6,474,79,65.8,5.3,5,89,4,1,29,0,2.00,6,2,+4,+0.76,+1.49,7.5,3.7,+3.8,+0.73,+0.71,Matches
568,Jacob Murphy,eng ENG,FW,eng Newcastle Utd,28,1995,3,87,29,16.1,1.0,1,62,0,2,13,0,1.33,1,0,+1,+1.03,+1.43,0.4,1.6,-1.2,-1.21,-0.16,Matches
569,Petar Musa,hr CRO,"FW,MF",pt Benfica,25,1998,6,233,39,43.1,2.6,2,64,0,4,27,0,0.67,1,3,-2,-0.77,-0.19,4.6,6.2,-1.6,-0.62,+1.27,Matches
570,Yunus Musah,us USA,MF,it Milan,20,2002,5,350,70,64.8,3.9,4,83,1,1,19,0,1.60,3,4,-1,-0.26,+0.69,4.6,5.1,-0.5,-0.14,-1.29,Matches
571,Jamal Musiala,de GER,"MF,FW",de Bayern Munich,20,2003,11,877,80,81.2,9.7,11,80,5,0,,0,2.09,16,8,+8,+0.82,+0.82,14.3,10.6,+3.7,+0.38,+0.26,Matches
572,Fernando Muslera,uy URU,GK,tr Galatasaray,37,1986,6,540,90,100.0,6.0,6,90,6,0,,0,1.75,10,13,-3,-0.50,,9.8,10.2,-0.4,-0.07,,Matches
573,Almoatasem Al Musrati,ly LBY,MF,pt Braga,27,1996,5,309,62,57.2,3.4,3,86,2,2,26,0,1.50,5,6,-1,-0.29,+1.66,4.6,5.2,-0.6,-0.17,+0.25,Matches
