Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
669,Michel Vorm,nl NED,GK,eng Tottenham,34,1983,1.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
670,Ruud Vormer,nl NED,MF,be Club Brugge,30,1988,6.0,0,0,0,7,2,3,21,7,6,0,0,0,34,5,8,38.5,Matches
671,Jelle Vossen,be BEL,FW,be Club Brugge,29,1989,0.9,0,0,0,0,0,0,0,2,1,0,0,0,2,0,5,0.0,Matches
672,Stefan de Vrij,nl NED,DF,it Inter,26,1992,4.9,1,0,0,4,1,0,0,7,3,0,0,0,21,9,4,69.2,Matches
673,Šime Vrsaljko,hr CRO,DF,it Inter,26,1992,1.1,0,0,0,1,1,0,7,3,0,0,0,0,3,2,0,100.0,Matches
674,Sandro Wagner,de GER,"FW,MF",de Bayern Munich,30,1987,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,66.7,Matches
675,Kyle Walker,eng ENG,DF,eng Manchester City,28,1990,8.3,1,0,0,6,7,0,12,6,1,0,0,0,39,9,4,69.2,Matches
676,Kyle Walker-Peters,eng ENG,DF,eng Tottenham,21,1997,0.7,1,0,0,2,2,0,2,0,0,0,0,0,4,1,1,50.0,Matches
677,Victor Wanyama,ke KEN,MF,eng Tottenham,27,1991,3.2,2,0,0,10,3,0,0,4,3,0,0,0,22,5,1,83.3,Matches
678,Daniel Wass,dk DEN,"DF,MF",es Valencia,29,1989,3.0,0,0,0,3,3,0,15,4,2,0,0,0,10,5,5,50.0,Matches
679,Julian Weigl,de GER,"MF,DF",de Dortmund,22,1995,3.2,2,0,0,6,9,0,0,3,6,0,0,0,25,1,0,100.0,Matches
680,Georginio Wijnaldum,nl NED,MF,eng Liverpool,27,1990,10.8,1,0,0,7,8,1,0,2,6,1,0,0,66,9,10,47.4,Matches
681,Harry Winks,eng ENG,MF,eng Tottenham,22,1996,7.5,0,0,0,4,9,1,8,7,8,0,0,0,63,6,6,50.0,Matches
682,Dani de Wit,nl NED,MF,nl Ajax,20,1998,0.4,0,0,0,0,1,0,0,0,1,0,0,0,1,2,3,40.0,Matches
683,Axel Witsel,be BEL,MF,de Dortmund,29,1989,7.0,0,0,0,6,5,0,3,7,9,0,0,0,51,10,4,71.4,Matches
684,Maximilian Wöber,at AUT,DF,nl Ajax,20,1998,2.8,0,1,0,3,3,0,1,10,3,0,0,0,10,4,3,57.1,Matches
685,Marius Wolf,de GER,"FW,DF",de Dortmund,23,1995,2.3,0,0,0,0,2,1,12,3,9,0,0,0,10,4,3,57.1,Matches
686,Marco Wölfli,ch SUI,GK,ch Young Boys,35,1982,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
687,Jeong Woo-yeong,kr KOR,MF,de Bayern Munich,18,1999,0.1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,,Matches
688,Gregory Wüthrich,ch SUI,MF,ch Young Boys,23,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
689,Dmitry Yefremov,ru RUS,DF,ru CSKA Moscow,23,1995,1.3,1,0,0,2,5,0,3,2,1,0,0,0,9,0,1,0.0,Matches
690,Ashley Young,eng ENG,DF,eng Manchester Utd,33,1985,6.5,2,0,0,11,5,1,37,7,5,0,0,0,33,1,3,25.0,Matches
691,Dan-Axel Zagadou,fr FRA,DF,de Dortmund,19,1999,3.8,1,0,0,0,1,0,0,3,2,0,0,0,21,11,7,61.1,Matches
692,Nicolò Zaniolo,it ITA,"MF,FW",it Roma,19,1999,4.3,2,0,0,7,7,0,6,1,3,0,0,0,14,3,10,23.1,Matches
693,Martin Zeman,cz CZE,FW,cz Viktoria Plzeň,29,1989,0.8,0,0,0,0,1,0,3,0,0,0,0,0,3,1,4,20.0,Matches
694,Timur Zhamaletdinov,ru RUS,FW,ru CSKA Moscow,21,1997,0.3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,Matches
695,Rifat Zhemaletdinov,ru RUS,FW,ru Loko Moscow,21,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,33.3,Matches
696,Piotr Zieliński,pl POL,"MF,FW",it Napoli,24,1994,2.1,0,0,0,1,0,0,2,0,0,0,0,0,18,3,1,75.0,Matches
697,Oleksandr Zinchenko,ua UKR,DF,eng Manchester City,21,1996,3.7,1,0,0,6,1,0,5,11,7,0,0,0,25,4,6,40.0,Matches
698,Andrija Živković,rs SRB,"FW,MF",pt Benfica,22,1996,0.8,0,0,0,2,0,0,7,1,0,0,0,0,7,0,0,,Matches
699,Hakim Ziyech,ma MAR,FW,nl Ajax,25,1993,10.9,3,0,0,15,22,4,52,14,17,0,0,0,75,2,11,15.4,Matches
700,Jeroen Zoet,nl NED,GK,nl PSV Eindhoven,27,1991,6.0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,100.0,Matches
701,Steven Zuber,ch SUI,"FW,MF",de Hoffenheim,26,1991,1.1,0,0,0,0,1,0,3,0,1,0,0,0,8,2,1,66.7,Matches
