Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
329,Federico Bernardeschi,it ITA,"DF,FW",Fiorentina,it Serie A,22,1994,32,2292,72,67.0,25.5,27,,10,5,,1,1.56,40,41,-1,-0.04,-0.60,Matches
330,Bernardo,br BRA,DF,RB Leipzig,de Bundesliga,21,1995,22,1892,86,61.8,21.0,21,,18,1,,5,2.00,42,21,+21,+1.00,+0.54,Matches
331,Paul Bernardoni,fr FRA,GK,Bordeaux,fr Ligue 1,19,1997,0,,,,,0,,0,0,,14,,,,,,,Matches
332,Juan Bernat,es ESP,"DF,FW",Bayern Munich,de Bundesliga,23,1993,18,1238,69,40.5,13.8,13,,11,5,,12,2.17,35,12,+23,+1.67,-0.50,Matches
333,Tommaso Berni,it ITA,GK,Inter,it Serie A,33,1983,0,,,,,0,,0,0,,3,,,,,,,Matches
334,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,18,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
335,Andrea Bertolacci,it ITA,MF,Milan,it Serie A,25,1991,15,820,55,24.0,9.1,9,,4,6,,7,1.60,10,9,+1,+0.11,-0.27,Matches
336,Ryan Bertrand,eng ENG,"DF,MF",Southampton,eng Premier League,26,1989,28,2507,90,73.3,27.9,28,,27,0,,4,1.18,30,36,-6,-0.22,-0.12,Matches
337,Muhamed Bešić,ba BIH,"DF,MF",Everton,eng Premier League,23,1992,0,,,,,0,,0,0,,2,,,,,,,Matches
338,Vincent Bessat,fr FRA,"DF,MF",Caen,fr Ligue 1,30,1985,37,2815,76,82.3,31.3,31,,27,6,,1,0.92,28,54,-26,-0.83,-0.38,Matches
339,Max Besuschkow,de GER,MF,Eint Frankfurt,de Bundesliga,19,1997,3,87,29,2.8,1.0,1,,0,2,,8,1.00,0,3,-3,-3.10,-2.98,Matches
340,Deji Beyreuther,de GER,DF,Eint Frankfurt,de Bundesliga,16,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
341,Roman Bezjak,si SVN,FW,Darmstadt 98,de Bundesliga,27,1989,11,588,53,19.2,6.5,7,,2,4,,1,0.73,4,13,-9,-1.38,-0.43,Matches
342,Jonathan Biabiany,fr FRA,"FW,MF",Inter,it Serie A,28,1988,1,1,1,0.0,0.0,0,,0,1,,31,1.00,0,1,-1,-90.00,-90.63,Matches
343,Roberto Biancu,it ITA,MF,Cagliari,it Serie A,16,2000,1,11,11,0.3,0.1,0,,0,1,,5,3.00,1,0,+1,+8.18,+8.76,Matches
344,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,26,1990,18,1055,59,34.5,11.7,11,,8,7,,15,1.83,22,15,+7,+0.60,-0.30,Matches
345,Thievy Bifouma,cg CGO,"FW,MF",Bastia,fr Ligue 1,24,1992,14,707,51,20.7,7.9,9,,2,5,,1,1.14,7,9,-2,-0.25,+0.51,Matches
346,Pedro Bigas,es ESP,"DF,MF",Las Palmas,es La Liga,25,1990,32,2647,83,77.4,29.4,31,85,26,1,5,0,1.13,44,55,-11,-0.37,+0.79,Matches
347,Lucas Biglia,ar ARG,MF,Lazio,it Serie A,30,1986,29,2264,78,66.2,25.2,28,,16,1,,1,1.93,49,35,+14,+0.56,-0.14,Matches
348,Davide Biondini,it ITA,MF,Sassuolo,it Serie A,33,1983,14,854,61,25.0,9.5,9,,6,5,,4,1.36,12,20,-8,-0.84,-0.95,Matches
349,Cristiano Biraghi,it ITA,"DF,MF",Pescara,it Serie A,23,1992,35,2987,85,87.3,33.2,33,,29,2,,1,0.51,32,72,-40,-1.21,-0.37,Matches
350,Mame Biram Diouf,sn SEN,"FW,MF",Stoke City,eng Premier League,28,1987,27,1385,51,40.5,15.4,15,,6,12,,5,1.15,17,26,-9,-0.58,-0.32,Matches
351,Davide Biraschi,it ITA,DF,Genoa,it Serie A,22,1994,7,395,56,11.5,4.4,4,,3,3,,22,1.29,5,4,+1,+0.23,+1.03,Matches
352,Valter Birsa,si SVN,"FW,MF",Chievo,it Serie A,29,1986,35,2761,79,80.7,30.7,34,,14,1,,0,1.11,37,47,-10,-0.33,+0.77,Matches
353,Milan Biševac,rs SRB,DF,Metz,fr Ligue 1,32,1983,21,1834,87,53.6,20.4,21,,19,0,,4,1.29,24,41,-17,-0.83,+0.07,Matches
354,Yves Bissouma,ml MLI,MF,Lille,fr Ligue 1,19,1996,23,766,33,22.4,8.5,5,,1,18,,3,1.09,10,9,+1,+0.12,+0.39,Matches
355,Luca Bittante,it ITA,"DF,MF",Cagliari,it Serie A,22,1993,5,312,62,9.1,3.5,3,,3,2,,11,1.20,1,9,-8,-2.31,-1.93,Matches
