Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
47,Haitam Aleesami,no NOR,"DF,MF",Palermo,it Serie A,25,1991,29.2,,,,,,,,,,,,,,,,,Matches
48,Álex Alegría,es ESP,FW,Betis,es La Liga,23,1992,16.0,,,,,,,,,,,,,,,,,Matches
49,Alexis Alegue,fr FRA,"FW,MF",Nantes,fr Ligue 1,19,1996,0.2,,,,,,,,,,,,,,,,,Matches
50,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,18,1998,0.5,,,,,,,,,,,,,,,,,Matches
51,Romain Alessandrini,fr FRA,"FW,MF",Marseille,fr Ligue 1,27,1989,2.7,,,,,,,,,,,,,,,,,Matches
52,Alexander,ar ARG,MF,Leganés,es La Liga,27,1988,22.6,,,,,,,,,,,,,,,,,Matches
53,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,17,1998,1.9,,,,,,,,,,,,,,,,,Matches
54,Alexis,es ESP,DF,Alavés,es La Liga,30,1985,20.2,,,,,,,,,,,,,,,,,Matches
55,Jérémie Aliadière,fr FRA,"FW,MF",Lorient,fr Ligue 1,33,1983,5.4,,,,,,,,,,,,,,,,,Matches
56,Sami Allagui,tn TUN,"FW,MF",Hertha BSC,de Bundesliga,30,1986,2.0,,,,,,,,,,,,,,,,,Matches
57,Allan,br BRA,"DF,MF",Napoli,it Serie A,25,1991,17.9,,,,,,,,,,,,,,,,,Matches
58,Allan,br BRA,MF,Hertha BSC,de Bundesliga,19,1997,8.9,,,,,,,,,,,,,,,,,Matches
59,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,26,1990,32.6,,,,,,,,,,,,,,,,,Matches
60,Dele Alli,eng ENG,"FW,MF",Tottenham,eng Premier League,20,1996,33.7,,,,,,,,,,,,,,,,,Matches
61,Ryan Allsop,eng ENG,GK,Bournemouth,eng Premier League,24,1992,1.0,,,,,,,,,,,,,,,,,Matches
62,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,23,1993,10.7,,,,,,,,,,,,,,,,,Matches
63,Marcos Alonso,es ESP,"DF,MF",Chelsea,eng Premier League,25,1990,29.9,,,,,,,,,,,,,,,,,Matches
64,Marcos Alonso,es ESP,"DF,MF",Fiorentina,it Serie A,25,1990,2.0,,,,,,,,,,,,,,,,,Matches
65,Xabi Alonso,es ESP,MF,Bayern Munich,de Bundesliga,34,1981,21.1,,,,,,,,,,,,,,,,,Matches
66,Halil Altıntop,tr TUR,"FW,MF",Augsburg,de Bundesliga,33,1982,17.8,,,,,,,,,,,,,,,,,Matches
67,Hamit Altıntop,tr TUR,"DF,MF",Darmstadt 98,de Bundesliga,33,1982,15.1,,,,,,,,,,,,,,,,,Matches
68,Ricky Álvarez,ar ARG,MF,Sampdoria,it Serie A,28,1988,11.0,,,,,,,,,,,,,,,,,Matches
69,Sergio Álvarez,es ESP,"DF,MF",Sporting Gijón,es La Liga,24,1992,33.4,,,,,,,,,,,,,,,,,Matches
70,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,29,1986,26.0,,,,,,,,,,,,,,,,,Matches
71,Víctor Álvarez,es ESP,"DF,MF",Espanyol,es La Liga,23,1993,2.3,,,,,,,,,,,,,,,,,Matches
72,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,21,1995,25.2,,,,,,,,,,,,,,,,,Matches
73,Bruno Alves,pt POR,DF,Cagliari,it Serie A,34,1981,36.0,,,,,,,,,,,,,,,,,Matches
74,Dani Alves,br BRA,"DF,MF",Juventus,it Serie A,33,1983,15.1,,,,,,,,,,,,,,,,,Matches
75,Diego Alves,br BRA,GK,Valencia,es La Liga,31,1985,33.0,,,,,,,,,,,,,,,,,Matches
76,Ibrahim Amadou,fr FRA,"DF,MF",Lille,fr Ligue 1,23,1993,32.8,,,,,,,,,,,,,,,,,Matches
77,Morgan Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,31,1985,4.5,,,,,,,,,,,,,,,,,Matches
78,Morgan Amalfitano,fr FRA,MF,Lille,fr Ligue 1,31,1985,8.1,,,,,,,,,,,,,,,,,Matches
79,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,26,1989,15.8,,,,,,,,,,,,,,,,,Matches
80,Daniel Amartey,gh GHA,"DF,MF",Leicester City,eng Premier League,21,1994,18.6,,,,,,,,,,,,,,,,,Matches
81,Jordi Amat,id IDN,DF,Swansea City,eng Premier League,24,1992,15.7,,,,,,,,,,,,,,,,,Matches
82,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,18,1998,19.7,,,,,,,,,,,,,,,,,Matches
83,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,19,1996,22.1,,,,,,,,,,,,,,,,,Matches
84,Fernando Amorebieta,ve VEN,DF,Sporting Gijón,es La Liga,31,1985,24.6,,,,,,,,,,,,,,,,,Matches
85,Nordin Amrabat,ma MAR,"FW,MF",Watford,eng Premier League,29,1987,23.2,,,,,,,,,,,,,,,,,Matches
86,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,26,1989,12.3,,,,,,,,,,,,,,,,,Matches
87,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,23,1993,32.3,,,,,,,,,,,,,,,,,Matches
88,Florin Andone,ro ROU,FW,La Coruña,es La Liga,23,1993,32.1,,,,,,,,,,,,,,,,,Matches
89,Benjamin André,fr FRA,"DF,MF",Rennes,fr Ligue 1,25,1990,35.7,,,,,,,,,,,,,,,,,Matches
90,Marco Andreolli,it ITA,DF,Inter,it Serie A,30,1986,4.0,,,,,,,,,,,,,,,,,Matches
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,27,1989,15.2,,,,,,,,,,,,,,,,,Matches
92,Victorien Angban,ci CIV,MF,Granada,es La Liga,19,1996,7.6,,,,,,,,,,,,,,,,,Matches
93,Miguel Ángel Guerrero,es ESP,"FW,MF",Leganés,es La Liga,26,1990,23.8,,,,,,,,,,,,,,,,,Matches
94,José Ángel,es ESP,"DF,MF",Villarreal,es La Liga,26,1989,7.0,,,,,,,,,,,,,,,,,Matches
95,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,es La Liga,32,1984,8.6,,,,,,,,,,,,,,,,,Matches
96,Gabriele Angella,it ITA,DF,Udinese,it Serie A,27,1989,11.3,,,,,,,,,,,,,,,,,Matches
97,Benjamin Angoua,ci CIV,DF,Guingamp,fr Ligue 1,29,1986,6.0,,,,,,,,,,,,,,,,,Matches
98,Victor Anichebe,ng NGA,FW,Sunderland,eng Premier League,28,1988,13.5,,,,,,,,,,,,,,,,,Matches
99,Cristian Ansaldi,ar ARG,"DF,MF",Inter,it Serie A,29,1986,16.7,,,,,,,,,,,,,,,,,Matches
100,Luca Antei,it ITA,DF,Sassuolo,it Serie A,24,1992,12.4,,,,,,,,,,,,,,,,,Matches
