Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
223,Keidi Bare,al ALB,MF,Atlético Madrid,es La Liga,19,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
224,Nicolò Barella,it ITA,MF,Cagliari,it Serie A,20,1997,34,2955,87,86.4,32.8,34,,23,0,,0,1.00,28,49,-21,-0.64,+0.72,34.8,47.6,-12.8,-0.39,+0.92,Matches
225,Philipp Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,28,1989,27,1859,69,60.8,20.7,23,,8,4,,5,1.26,27,22,+5,+0.24,+0.84,23.8,24.8,-1.0,-0.05,+0.33,Matches
226,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,23,1993,2,129,65,3.8,1.4,2,,0,0,,6,0.00,0,4,-4,-2.79,-3.56,1.4,2.8,-1.4,-0.97,-1.57,Matches
227,Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,de Bundesliga,19,1998,9,314,35,10.3,3.5,2,,0,7,,8,1.56,3,3,0,0.00,0.00,2.3,3.9,-1.5,-0.44,-0.51,Matches
228,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,27,1989,36,2165,60,63.3,24.1,21,,14,15,,1,1.42,26,23,+3,+0.12,+0.55,23.0,32.6,-9.6,-0.40,+0.27,Matches
229,Harvey Barnes,eng ENG,"MF,FW",Leicester City,eng Premier League,19,1997,3,10,3,0.3,0.1,0,,0,3,,3,1.33,1,0,+1,+9.00,+9.13,0.6,0.0,+0.6,+5.04,+5.00,Matches
230,Antonio Barragán,es ESP,DF,Betis,es La Liga,30,1987,29,2373,82,69.4,26.4,28,84,23,1,14,4,1.59,38,43,-5,-0.19,-0.53,31.5,35.5,-4.1,-0.15,-0.24,Matches
231,Antonio Barreca,it ITA,DF,Torino,it Serie A,22,1995,9,468,52,13.7,5.2,3,,2,6,,17,1.00,8,11,-3,-0.58,-0.91,4.6,6.5,-1.9,-0.37,-0.39,Matches
232,Édgar Barreto,py PAR,MF,Sampdoria,it Serie A,33,1984,28,1965,70,57.5,21.8,24,,13,4,,5,1.32,30,42,-12,-0.55,-1.04,29.2,36.2,-7.0,-0.32,-0.33,Matches
