Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
877,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,20,1996,33,2914,88,95.2,32.4,33,,31,0,,0,1.42,45,51,-6,-0.19,-0.80,48.9,50.0,-1.1,-0.03,-0.22,Matches
878,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,23,1993,31,2691,87,78.7,29.9,30,90,28,1,6,1,1.23,30,40,-10,-0.33,-0.33,28.8,45.8,-17.0,-0.57,-0.52,Matches
879,Breel Embolo,ch SUI,"FW,MF",Schalke 04,de Bundesliga,20,1997,21,919,44,30.0,10.2,9,,2,12,,7,1.71,20,13,+7,+0.69,+0.31,15.3,13.6,+1.7,+0.17,-0.04,Matches
880,Xian Emmers,be BEL,MF,Inter,it Serie A,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
881,Youssef En-Nesyri,ma MAR,FW,Málaga,es La Liga,20,1997,25,1596,64,46.7,17.7,16,86,12,9,25,3,0.60,12,27,-15,-0.85,+0.24,20.1,24.7,-4.6,-0.26,+0.55,Matches
882,Sergi Enrich,es ESP,FW,Eibar,es La Liga,27,1990,19,1330,70,38.9,14.8,14,86,8,5,24,1,1.42,19,23,-4,-0.27,-0.18,15.7,18.9,-3.2,-0.22,-0.20,Matches
883,Mirko Eramo,it ITA,MF,Benevento,it Serie A,28,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
884,Javier Eraso,es ESP,"MF,FW",Leganés,es La Liga,27,1990,34,2533,75,74.1,28.1,31,80,20,3,16,2,1.09,22,33,-11,-0.39,+0.22,28.8,31.8,-3.0,-0.11,+0.36,Matches
885,Emanuel Ercolano,it ITA,DF,Sampdoria,it Serie A,14,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
886,Christian Eriksen,dk DEN,"MF,FW",Tottenham,eng Premier League,25,1992,37,3218,87,94.1,35.8,37,,29,0,,0,2.05,71,33,+38,+1.06,+1.06,62.2,31.8,+30.4,+0.85,+0.66,Matches
887,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,24,1993,28,1565,56,45.8,17.4,16,82,9,12,21,7,1.43,16,31,-15,-0.86,-1.30,15.6,23.8,-8.2,-0.47,-0.70,Matches
888,Florian Escales,fr FRA,GK,Marseille,fr Ligue 1,21,1996,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
889,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,27,1989,27,2332,86,68.2,25.9,26,90,25,1,5,2,1.63,39,41,-2,-0.08,+0.50,40.1,36.6,+3.5,+0.14,0.00,Matches
890,Bernardo Espinosa,co COL,DF,Girona,es La Liga,28,1989,34,2868,84,83.9,31.9,32,88,30,2,30,2,1.29,41,49,-8,-0.25,-0.09,42.1,43.8,-1.7,-0.05,-0.36,Matches
891,Salvatore Esposito,it ITA,MF,SPAL,it Serie A,16,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
892,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,29,1987,3,270,90,8.8,3.0,3,,3,0,,30,1.00,5,9,-4,-1.33,-1.14,5.3,7.4,-2.2,-0.72,-0.44,Matches
893,Alexander Esswein,de GER,"FW,MF",Hertha BSC,de Bundesliga,27,1990,16,617,39,20.2,6.9,6,,1,10,,13,1.19,11,11,0,0.00,+0.11,7.8,9.6,-1.8,-0.27,-0.15,Matches
894,Oghenekaro Etebo,ng NGA,MF,Las Palmas,es La Liga,21,1995,14,1215,87,35.5,13.5,14,87,13,0,,0,0.50,7,17,-10,-0.74,+0.89,11.7,21.9,-10.3,-0.76,+0.13,Matches
895,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,30,1987,24,1120,47,32.7,12.4,12,75,5,12,18,9,1.04,11,17,-6,-0.48,-0.40,11.6,15.7,-4.2,-0.33,-0.47,Matches
896,Xabier Etxeita,es ESP,DF,Athletic Club,es La Liga,29,1987,5,376,75,11.0,4.2,5,75,3,0,,23,1.00,3,4,-1,-0.24,-0.03,5.1,4.0,+1.1,+0.27,+0.32,Matches
897,Jonny Evans,nir NIR,DF,West Brom,eng Premier League,29,1988,28,2270,81,66.4,25.2,26,,22,2,,1,0.61,21,38,-17,-0.67,-0.05,26.5,30.8,-4.3,-0.17,+0.39,Matches
898,Franck Evina,cm CMR,FW,Bayern Munich,de Bundesliga,17,2000,2,110,55,3.6,1.2,2,,0,0,,0,3.00,1,1,0,0.00,-1.95,1.7,2.4,-0.7,-0.61,-1.98,Matches
899,Patrice Evra,fr FRA,"DF,MF",West Ham,eng Premier League,36,1981,5,228,46,6.7,2.5,3,,1,2,,7,0.80,3,10,-7,-2.76,-2.40,1.0,6.7,-5.7,-2.25,-1.90,Matches
900,Patrice Evra,fr FRA,DF,Marseille,fr Ligue 1,36,1981,4,349,87,10.2,3.9,4,87,3,0,,4,2.25,6,3,+3,+0.77,-0.11,5.9,4.9,+1.0,+0.26,-0.78,Matches
901,Ewandro,br BRA,"FW,MF",Udinese,it Serie A,21,1996,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
902,Edu Expósito,es ESP,"MF,FW",La Coruña,es La Liga,20,1996,3,96,32,2.8,1.1,0,,0,3,32,5,1.33,1,6,-5,-4.69,-3.79,2.2,2.7,-0.5,-0.50,-0.32,Matches
903,Erik Expósito,es ESP,FW,Las Palmas,es La Liga,21,1996,10,467,47,13.7,5.2,4,79,3,6,25,4,0.10,2,8,-6,-1.16,+0.18,4.5,12.4,-7.9,-1.53,-0.79,Matches
904,Valentin Eysseric,fr FRA,"FW,MF",Fiorentina,it Serie A,25,1992,21,706,34,20.6,7.8,8,,2,13,,16,1.38,13,14,-1,-0.13,-0.43,10.4,13.7,-3.3,-0.42,-0.98,Matches
905,Valentin Eysseric,fr FRA,FW,Nice,fr Ligue 1,25,1992,1,90,90,2.6,1.0,1,90,1,0,,0,0.00,0,1,-1,-1.00,-1.05,0.5,0.9,-0.4,-0.36,-0.36,Matches
906,Imoh Ezekiel,ng NGA,"MF,FW",Las Palmas,es La Liga,23,1993,10,469,47,13.7,5.2,5,72,1,5,22,2,0.20,3,6,-3,-0.58,+0.86,6.5,7.4,-0.9,-0.18,+0.77,Matches
907,Marco Fabián,mx MEX,"MF,FW",Eint Frankfurt,de Bundesliga,28,1989,7,422,60,13.8,4.7,3,,3,4,,3,0.14,4,14,-10,-2.13,-2.47,6.1,7.6,-1.6,-0.33,-0.40,Matches
908,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,32,1985,38,3420,90,100.0,38.0,38,,38,0,,0,0.87,28,56,-28,-0.74,,31.6,58.6,-27.0,-0.71,,Matches
909,Fabinho,br BRA,MF,Monaco,fr Ligue 1,23,1993,34,3060,90,89.5,34.0,34,90,34,0,,0,2.15,77,38,+39,+1.15,+0.90,56.0,43.3,+12.7,+0.37,+0.09,Matches
910,Cesc Fàbregas,es ESP,MF,Chelsea,eng Premier League,30,1987,32,2306,72,67.4,25.6,25,,15,7,,4,1.72,40,26,+14,+0.55,-0.26,37.9,22.8,+15.1,+0.59,+0.15,Matches
911,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,28,1988,34,3015,89,98.5,33.5,34,,33,0,,0,1.85,53,37,+16,+0.48,+0.48,46.1,39.8,+6.4,+0.19,-0.20,Matches
912,Romain Faivre,fr FRA,"FW,MF",Monaco,fr Ligue 1,19,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
913,Fayçal Fajr,ma MAR,"MF,FW",Getafe,es La Liga,28,1988,31,2385,77,69.7,26.5,26,87,22,5,24,4,1.55,23,24,-1,-0.04,-0.91,29.8,27.4,+2.4,+0.09,-0.43,Matches
914,Radamel Falcao,co COL,FW,Monaco,fr Ligue 1,31,1986,26,2129,82,62.3,23.7,25,85,13,1,11,2,2.08,51,31,+20,+0.85,-0.55,37.4,30.1,+7.3,+0.31,-0.15,Matches
915,Diego Falcinelli,it ITA,FW,Fiorentina,it Serie A,26,1991,12,440,37,12.9,4.9,3,,1,9,,3,1.92,6,3,+3,+0.61,+0.46,7.4,4.3,+3.1,+0.64,+0.33,Matches
916,Diego Falcinelli,it ITA,FW,Sassuolo,it Serie A,26,1991,20,1314,66,38.4,14.6,15,,6,5,,2,0.95,11,19,-8,-0.55,+0.39,16.6,17.1,-0.5,-0.03,+0.06,Matches
917,Simon Falette,gn GUI,DF,Metz,fr Ligue 1,25,1992,1,90,90,2.6,1.0,1,90,1,0,,0,0.00,1,3,-2,-2.00,-0.92,0.6,1.9,-1.3,-1.27,-0.47,Matches
918,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,25,1992,27,2211,82,72.3,24.6,25,,22,2,,0,1.52,32,32,0,0.00,0.00,28.4,30.8,-2.5,-0.10,-0.42,Matches
919,Cesar Falletti,uy URU,"MF,FW",Bologna,it Serie A,24,1992,13,321,25,9.4,3.6,1,,0,12,,15,0.69,2,2,0,0.00,+0.35,3.5,4.2,-0.7,-0.19,+0.22,Matches
920,Iago Falque,es ESP,"FW,MF",Torino,it Serie A,27,1990,37,2821,76,82.5,31.3,34,,14,3,,0,1.46,47,33,+14,+0.45,+1.35,41.6,33.2,+8.4,+0.27,+1.68,Matches
921,Paolo Faragò,it ITA,DF,Cagliari,it Serie A,24,1993,35,2457,70,71.8,27.3,25,,24,10,,1,1.09,27,46,-19,-0.70,+0.15,33.1,40.6,-7.5,-0.27,+0.85,Matches
922,Imad Faraj,ma MAR,"MF,DF",Lille,fr Ligue 1,18,1999,7,162,23,4.7,1.8,1,66,0,6,16,12,0.57,1,4,-3,-1.67,-1.03,1.9,4.6,-2.7,-1.49,-0.97,Matches
923,Davide Faraoni,it ITA,"DF,MF",Crotone,it Serie A,25,1991,28,1754,63,51.3,19.5,18,,13,10,,10,0.93,21,32,-11,-0.56,+0.25,18.4,27.3,-8.9,-0.46,+0.36,Matches
924,Mohamed Fares,dz ALG,"DF,MF",Hellas Verona,it Serie A,21,1996,30,2604,87,76.1,28.9,29,,27,1,,1,0.70,25,57,-32,-1.11,+0.66,28.4,50.9,-22.5,-0.78,+0.83,Matches
925,Diego Farias,br BRA,"FW,MF",Cagliari,it Serie A,27,1990,28,1609,57,47.0,17.9,14,,7,14,,3,1.21,18,26,-8,-0.45,+0.55,18.2,29.9,-11.7,-0.65,-0.27,Matches
926,Corentin Faussot,fr FRA,MF,Dijon,fr Ligue 1,19,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
927,Federico Fazio,ar ARG,DF,Roma,it Serie A,30,1987,34,2922,86,85.4,32.5,32,,32,2,,2,2.00,53,25,+28,+0.86,-0.04,54.1,31.9,+22.2,+0.68,-0.03,Matches
928,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,28,1989,15,1257,84,36.8,14.0,14,87,13,1,33,1,1.27,23,31,-8,-0.57,-0.86,18.1,22.5,-4.4,-0.31,-0.37,Matches
929,Nabil Fekir,fr FRA,"MF,FW",Lyon,fr Ligue 1,24,1993,30,2477,83,72.4,27.5,28,88,22,2,11,1,1.93,58,36,+22,+0.80,-1.30,44.8,31.7,+13.1,+0.48,-0.49,Matches
930,Felipe,br BRA,DF,Hannover 96,de Bundesliga,30,1987,6,457,76,14.9,5.1,6,,4,0,,1,1.67,4,5,-1,-0.20,+0.11,4.2,6.7,-2.5,-0.50,-0.20,Matches
931,Luiz Felipe,it ITA,DF,Lazio,it Serie A,20,1997,18,1168,65,34.2,13.0,12,,11,6,,19,2.06,27,14,+13,+1.00,-0.08,19.3,13.4,+5.9,+0.46,-0.10,Matches
932,Ohis Felix Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,19,1997,19,1560,82,51.0,17.3,17,,16,2,,3,0.89,16,25,-9,-0.52,-0.34,16.8,27.2,-10.4,-0.60,-0.15,Matches
933,Marouane Fellaini,be BEL,MF,Manchester Utd,eng Premier League,29,1987,16,621,39,18.2,6.9,5,,4,11,,0,2.44,19,1,+18,+2.61,+1.90,13.8,7.4,+6.5,+0.94,+0.66,Matches
934,Kiko Femenía,es ESP,"DF,FW",Watford,eng Premier League,26,1991,23,1713,74,50.1,19.0,19,,13,4,,1,1.17,27,34,-7,-0.37,+0.32,23.4,28.0,-4.6,-0.24,-0.13,Matches
935,Leroy Fer,nl NED,MF,Swansea City,eng Premier League,27,1990,20,1397,70,40.8,15.5,15,,10,5,,4,0.80,12,26,-14,-0.90,-0.28,13.3,25.2,-12.0,-0.77,-0.10,Matches
936,Julien Féret,fr FRA,MF,Caen,fr Ligue 1,35,1982,37,3060,83,89.5,34.0,36,84,24,1,30,0,1.03,23,48,-25,-0.74,-0.74,36.7,44.2,-7.5,-0.22,-0.80,Matches
937,Nathan Ferguson,eng ENG,DF,West Brom,eng Premier League,16,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
938,Erick Ferigra,ec ECU,DF,Torino,it Serie A,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
939,Edimilson Fernandes,ch SUI,"MF,DF",West Ham,eng Premier League,21,1996,14,845,60,24.7,9.4,9,,3,5,,5,0.86,11,20,-9,-0.96,-0.57,7.0,18.2,-11.3,-1.20,-0.95,Matches
940,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,30,1986,19,1036,55,33.9,11.5,12,,7,7,,10,1.74,13,14,-1,-0.09,-0.13,13.5,14.0,-0.5,-0.04,-0.09,Matches
941,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,30,1986,3,225,75,6.6,2.5,3,75,2,0,,7,0.33,2,6,-4,-1.60,-1.91,1.8,3.8,-1.9,-0.77,-0.83,Matches
942,Augusto Fernández,ar ARG,MF,Atlético Madrid,es La Liga,31,1986,5,107,21,3.1,1.2,1,60,0,4,12,5,2.40,0,1,-1,-0.84,-1.85,1.3,1.7,-0.4,-0.31,-0.71,Matches
943,Brian Fernández,ar ARG,FW,Metz,fr Ligue 1,22,1994,7,128,18,3.7,1.4,0,,0,7,18,2,0.00,0,6,-6,-4.22,-3.23,1.2,3.8,-2.6,-1.82,-1.04,Matches
944,Carlos Fernández,es ESP,FW,Sevilla,es La Liga,21,1996,2,137,69,4.0,1.5,2,69,0,0,,1,0.50,1,1,0,0.00,+0.25,2.7,3.0,-0.3,-0.20,-0.35,Matches
945,Federico Fernández,ar ARG,DF,Swansea City,eng Premier League,28,1989,30,2676,89,78.2,29.7,30,,29,0,,4,0.93,24,44,-20,-0.67,+0.30,23.0,47.0,-23.9,-0.81,-0.43,Matches
946,Raúl Fernández,es ESP,GK,Levante,es La Liga,29,1988,11,990,90,28.9,11.0,11,90,11,0,,8,1.09,12,15,-3,-0.27,+0.13,12.1,17.4,-5.3,-0.49,+0.01,Matches
947,Fernandinho,br BRA,MF,Manchester City,eng Premier League,32,1985,34,2881,85,84.2,32.0,33,,28,1,,0,2.59,89,24,+65,+2.03,-0.31,66.2,19.6,+46.5,+1.45,+0.07,Matches
948,Alex Ferrari,it ITA,DF,Hellas Verona,it Serie A,23,1994,25,2136,85,62.5,23.7,25,,22,0,,1,0.72,19,47,-28,-1.18,+0.22,18.9,43.7,-24.8,-1.04,-0.18,Matches
949,Jordan Ferri,fr FRA,MF,Lyon,fr Ligue 1,25,1992,24,638,27,18.7,7.1,4,86,2,20,15,11,2.46,19,10,+9,+1.27,+0.14,13.4,6.9,+6.5,+0.91,+0.37,Matches
950,Manuel Ferrini,it ITA,DF,Sassuolo,it Serie A,19,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
951,Marco Festa,it ITA,GK,Crotone,it Serie A,25,1992,0,,,,,0,,0,0,,35,,,,,,,,,,,,Matches
952,Franchu Feuillassier,ar ARG,MF,Real Madrid,es La Liga,19,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
953,Sam Field,eng ENG,MF,West Brom,eng Premier League,19,1998,10,537,54,15.7,6.0,7,,1,3,,7,0.91,5,7,-2,-0.34,+0.38,5.9,6.5,-0.6,-0.10,+0.23,Matches
954,Giacomo Figliuzzi,it ITA,GK,Crotone,it Serie A,16,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
955,Afonso Figueiredo,pt POR,"DF,FW",Rennes,fr Ligue 1,24,1993,5,223,45,6.5,2.5,1,82,0,4,35,8,1.80,0,4,-4,-1.61,-1.90,1.4,3.9,-2.5,-1.01,-1.09,Matches
956,Gian Filippo Felicioli,it ITA,"MF,DF",Hellas Verona,it Serie A,19,1997,6,277,46,8.1,3.1,2,,1,4,,24,0.50,1,6,-5,-1.62,-0.39,1.3,6.6,-5.3,-1.72,-0.81,Matches
957,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,28,1989,22,1814,82,59.3,20.2,22,,10,0,,1,1.27,29,23,+6,+0.30,+0.95,28.5,21.0,+7.4,+0.37,+0.67,Matches
958,Alessandro Fiordaliso,it ITA,DF,Torino,it Serie A,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
959,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,25,1991,37,2763,75,80.8,30.7,32,,12,5,,1,2.00,73,32,+41,+1.34,+0.65,61.2,28.5,+32.6,+1.06,+0.17,Matches
960,Junior Firpo,do DOM,DF,Betis,es La Liga,20,1996,14,1189,85,34.8,13.2,14,85,13,0,,1,2.07,19,9,+10,+0.76,+1.20,14.9,11.8,+3.1,+0.23,+0.48,Matches
961,Viktor Fischer,dk DEN,"FW,MF",Mainz 05,de Bundesliga,23,1994,10,336,34,11.0,3.7,3,,0,7,,8,0.60,4,5,-1,-0.27,+0.16,4.8,5.9,-1.2,-0.31,+0.06,Matches
962,Mathieu Flamini,fr FRA,MF,Getafe,es La Liga,33,1984,8,480,60,14.0,5.3,6,71,2,2,27,0,1.38,5,4,+1,+0.19,-0.06,5.5,5.2,+0.3,+0.06,-0.18,Matches
963,Jon Flanagan,eng ENG,DF,Liverpool,eng Premier League,24,1993,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
964,Darren Fletcher,sct SCO,MF,Stoke City,eng Premier League,33,1984,27,2219,82,64.9,24.7,25,,19,2,,8,1.07,26,49,-23,-0.93,-0.18,25.2,39.5,-14.2,-0.58,+0.31,Matches
965,Sergio Floccari,it ITA,FW,SPAL,it Serie A,35,1981,20,883,44,25.8,9.8,9,,4,11,,7,1.25,9,14,-5,-0.51,+0.02,9.7,15.2,-5.5,-0.56,+0.02,Matches
966,Alessandro Florenzi,it ITA,DF,Roma,it Serie A,26,1991,32,2387,75,69.8,26.5,26,,20,6,,5,2.09,45,19,+26,+0.98,+0.37,45.2,25.6,+19.6,+0.74,+0.16,Matches
967,Phil Foden,eng ENG,"MF,FW",Manchester City,eng Premier League,17,2000,5,49,10,1.4,0.5,0,,0,5,,8,3.00,4,1,+3,+5.51,+3.48,2.1,0.2,+1.9,+3.40,+1.99,Matches
968,Guessouma Fofana,mr MTN,MF,Amiens,fr Ligue 1,24,1992,16,743,46,21.7,8.3,7,84,4,9,17,4,1.00,6,12,-6,-0.73,-0.76,6.9,17.3,-10.3,-1.25,-0.86,Matches
969,Seko Fofana,ci CIV,MF,Udinese,it Serie A,22,1995,27,1868,69,54.6,20.8,22,,12,5,,7,0.96,27,39,-12,-0.58,-0.40,23.7,29.1,-5.4,-0.26,-0.22,Matches
970,Michael Folivi,eng ENG,FW,Watford,eng Premier League,19,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
971,Andreu Fontàs,es ESP,DF,Celta Vigo,es La Liga,27,1989,12,885,74,25.9,9.8,9,84,7,3,42,17,1.58,18,16,+2,+0.20,+0.31,15.2,15.6,-0.4,-0.04,-0.04,Matches
972,José Fonte,pt POR,DF,West Ham,eng Premier League,33,1983,8,688,86,20.1,7.6,8,,6,0,,5,1.13,9,11,-2,-0.26,+0.33,7.3,8.7,-1.3,-0.17,+0.39,Matches
973,Pablo Fornals,es ESP,"MF,FW",Villarreal,es La Liga,21,1996,35,2620,75,76.6,29.1,30,84,22,5,19,0,1.63,43,38,+5,+0.17,-0.05,40.4,37.5,+3.0,+0.10,+0.45,Matches
974,Quique Fornos,es ESP,DF,La Coruña,es La Liga,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
975,Emil Forsberg,se SWE,MF,RB Leipzig,de Bundesliga,25,1991,21,1370,65,44.8,15.2,15,,6,6,,1,1.38,23,27,-4,-0.26,-0.69,24.0,19.4,+4.5,+0.30,+0.26,Matches
976,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,29,1988,20,1800,90,52.6,20.0,20,,20,0,,18,0.95,20,30,-10,-0.50,0.00,23.7,25.3,-1.6,-0.08,+0.13,Matches
977,Steven Fortes,cv CPV,DF,Toulouse,fr Ligue 1,25,1992,2,155,78,4.5,1.7,1,90,1,1,65,5,0.00,0,2,-2,-1.16,-0.78,1.2,2.6,-1.4,-0.82,-0.67,Matches
978,Marco Fossati,it ITA,MF,Hellas Verona,it Serie A,24,1992,17,1101,65,32.2,12.2,11,,9,6,,19,0.76,6,23,-17,-1.39,-0.19,9.9,20.1,-10.1,-0.83,+0.22,Matches
979,Iver Fossum,no NOR,MF,Hannover 96,de Bundesliga,21,1996,19,1306,69,42.7,14.5,13,,8,6,,5,0.89,14,26,-12,-0.83,-0.93,17.9,24.3,-6.4,-0.44,-0.20,Matches
980,Ben Foster,eng ENG,GK,West Brom,eng Premier League,34,1983,37,3330,90,97.4,37.0,37,,37,0,,0,0.81,30,55,-25,-0.68,-0.68,36.3,46.6,-10.3,-0.28,+0.82,Matches
981,Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,eng Premier League,19,1998,21,1596,76,46.7,17.7,17,,15,4,,9,0.81,12,29,-17,-0.96,-1.30,26.4,24.6,+1.8,+0.10,-0.07,Matches
982,Dimitri Foulquier,fr FRA,DF,Strasbourg,fr Ligue 1,24,1993,16,1239,77,36.2,13.8,13,89,12,3,27,2,0.75,12,24,-12,-0.87,-0.42,12.6,19.5,-6.9,-0.50,-0.25,Matches
983,Lilian Fournier,fr FRA,FW,Metz,fr Ligue 1,19,1998,1,15,15,0.4,0.2,0,,0,1,15,0,0.00,0,2,-2,-12.00,-10.94,0.1,0.9,-0.9,-5.23,-4.44,Matches
984,Juan Foyth,ar ARG,DF,Tottenham,eng Premier League,19,1998,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
985,Gianluca Frabotta,it ITA,DF,Bologna,it Serie A,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
986,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,21,1995,9,696,77,22.7,7.7,7,,5,2,,5,0.78,8,11,-3,-0.39,-0.39,11.4,9.2,+2.2,+0.29,+0.25,Matches
987,Pio Francesco Russo,it ITA,MF,SPAL,it Serie A,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
988,Simon Francis,eng ENG,DF,Bournemouth,eng Premier League,32,1985,32,2705,85,79.1,30.1,31,,28,1,,0,1.22,36,47,-11,-0.37,+0.26,32.6,48.0,-15.4,-0.51,+0.12,Matches
989,Dominik Franke,de GER,DF,Wolfsburg,de Bundesliga,18,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
990,Mike Frantz,de GER,MF,Freiburg,de Bundesliga,30,1986,15,1041,69,34.0,11.6,12,,5,3,,1,0.93,8,19,-11,-0.95,-0.37,14.2,17.6,-3.4,-0.29,-0.15,Matches
991,Ryan Fraser,sct SCO,"MF,DF",Bournemouth,eng Premier League,23,1994,26,2004,77,58.6,22.3,23,,15,3,,9,1.12,25,38,-13,-0.58,-0.39,23.0,32.2,-9.2,-0.41,+0.30,Matches
992,Davide Frattesi,it ITA,MF,Sassuolo,it Serie A,17,1999,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches
993,Fabian Frei,ch SUI,MF,Mainz 05,de Bundesliga,28,1989,11,802,73,26.2,8.9,10,,5,1,,6,1.00,7,15,-8,-0.90,-0.66,8.1,13.5,-5.3,-0.60,-0.31,Matches
994,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,25,1992,35,3006,86,87.9,33.4,33,,31,2,,2,1.63,53,33,+20,+0.60,+1.03,61.0,30.7,+30.3,+0.91,+1.52,Matches
995,Marlon Frey,de GER,MF,Leverkusen,de Bundesliga,21,1996,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
996,Eduardo Frías,es ESP,GK,Espanyol,es La Liga,18,1998,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
997,Marco Friedl,at AUT,"DF,MF",Werder Bremen,de Bundesliga,19,1998,9,600,67,19.6,6.7,6,,5,3,,4,1.44,7,9,-2,-0.30,-0.26,7.0,9.7,-2.8,-0.42,-0.29,Matches
998,Marco Friedl,at AUT,MF,Bayern Munich,de Bundesliga,19,1998,1,45,45,1.5,0.5,0,,0,1,,6,0.00,1,0,+1,+2.00,+0.12,1.0,0.3,+0.6,+1.30,0.00,Matches
999,Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,17,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
1000,Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,31,1986,25,1921,77,56.2,21.3,21,,20,4,,11,1.28,34,35,-1,-0.05,+0.13,28.0,29.1,-1.1,-0.05,-0.23,Matches
1001,Javi Fuego,es ESP,MF,Villarreal,es La Liga,33,1984,11,537,49,15.7,6.0,6,78,3,5,14,3,1.09,6,14,-8,-1.34,-1.81,5.7,10.2,-4.5,-0.75,-0.89,Matches
1002,Javi Fuego,es ESP,MF,Espanyol,es La Liga,33,1984,17,1341,79,39.2,14.9,17,79,11,0,,0,1.12,7,19,-12,-0.81,-1.07,13.1,24.0,-10.9,-0.73,-0.72,Matches
1003,Chris Führich,de GER,MF,Köln,de Bundesliga,19,1998,2,95,48,3.1,1.1,1,,0,1,,0,1.50,1,0,+1,+0.95,+2.04,1.8,0.4,+1.4,+1.33,+2.11,Matches
1004,Angelo Fulgini,fr FRA,MF,Angers,fr Ligue 1,20,1996,29,1529,53,44.7,17.0,16,71,3,13,30,0,1.03,19,28,-9,-0.53,-0.48,21.7,21.5,+0.2,+0.01,-0.07,Matches
1005,Niclas Füllkrug,de GER,FW,Hannover 96,de Bundesliga,24,1993,34,2387,70,78.0,26.5,26,,19,8,,0,1.15,37,41,-4,-0.15,+0.65,37.4,43.8,-6.4,-0.24,+0.37,Matches
1006,Jay Fulton,sct SCO,MF,Swansea City,eng Premier League,23,1994,2,19,10,0.6,0.2,0,,0,2,,3,1.00,0,0,0,0.00,+0.74,0.0,0.4,-0.4,-2.01,-1.31,Matches
1007,Ramiro Funes Mori,ar ARG,DF,Everton,eng Premier League,26,1991,4,121,30,3.5,1.3,1,,0,3,,3,1.25,2,2,0,0.00,+0.38,1.3,1.8,-0.5,-0.37,-0.06,Matches
1008,Matteo Gabbia,it ITA,DF,Milan,it Serie A,17,1999,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
1009,Manolo Gabbiadini,it ITA,FW,Southampton,eng Premier League,25,1991,28,1081,39,31.6,12.0,11,,3,17,,10,0.86,13,17,-4,-0.33,+0.24,12.4,13.5,-1.2,-0.10,+0.06,Matches
