Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
1,Brenden Aaronson,us USA,MF,at RB Salzburg,20,2000,8,714,89,99.2,7.9,8,89,7,0,,0,1.70,10,14,-4,-0.50,-0.50,12.2,12.7,-0.5,-0.06,-0.67,Matches
2,Malik Abubakari,gh GHA,FW,se Malmö,21,2000,4,119,30,22.0,1.3,0,,0,4,30,2,1.13,0,4,-4,-3.03,-1.10,0.3,3.9,-3.6,-2.72,-0.60,Matches
3,Marcos Acuña,ar ARG,DF,es Sevilla,29,1991,5,378,76,70.0,4.2,5,76,3,0,,0,1.20,4,3,+1,+0.24,+0.79,5.2,5.9,-0.8,-0.18,-0.30,Matches
4,Tyler Adams,us USA,MF,de RB Leipzig,22,1999,5,293,59,54.3,3.3,3,84,2,2,20,0,0.80,7,12,-5,-1.54,-3.72,5.7,7.6,-1.9,-0.58,-2.21,Matches
5,Junior Adamu,at AUT,FW,at RB Salzburg,20,2001,8,237,30,32.9,2.6,1,60,0,7,25,0,1.56,1,6,-5,-1.90,-2.09,2.2,6.2,-4.0,-1.54,-2.20,Matches
6,Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,7,630,90,87.5,7.0,7,90,7,0,,1,1.43,12,13,-1,-0.14,+1.86,11.0,10.6,+0.3,+0.05,+0.92,Matches
7,Edmund Addo,gh GHA,MF,md Sheriff Tiraspol,21,2000,6,488,81,90.4,5.4,6,81,3,0,,0,1.75,6,9,-3,-0.55,+1.18,4.2,10.5,-6.3,-1.17,+1.57,Matches
8,Karim Adeyemi,de GER,FW,at RB Salzburg,19,2002,8,602,75,83.6,6.7,8,75,1,0,,0,1.70,9,11,-2,-0.30,+1.23,11.6,11.2,+0.4,+0.06,+0.75,Matches
9,Adrián,es ESP,GK,eng Liverpool,34,1987,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
10,Michel Aebischer,ch SUI,MF,ch Young Boys,24,1997,6,502,84,93.0,5.6,6,84,4,0,,0,1.45,7,12,-5,-0.90,-0.90,6.6,9.7,-3.1,-0.55,-0.84,Matches
11,Sergio Agüero,ar ARG,FW,es Barcelona,33,1988,1,16,16,3.0,0.2,0,,0,1,16,0,3.00,0,0,0,0.00,+1.20,0.0,0.0,0.0,+0.16,+0.69,Matches
12,Anel Ahmedhodžić,ba BIH,DF,se Malmö,22,1999,5,412,82,76.3,4.6,5,82,4,0,,0,1.25,1,8,-7,-1.53,+2.69,1.5,11.0,-9.5,-2.08,+0.71,Matches
13,Manuel Akanji,ch SUI,DF,de Dortmund,26,1995,5,450,90,83.3,5.0,5,90,5,0,,0,1.20,5,11,-6,-1.20,-6.20,7.9,7.6,+0.3,+0.07,-3.43,Matches
14,Nathan Aké,nl NED,DF,eng Manchester City,26,1995,6,326,54,29.4,3.6,3,89,2,3,20,5,2.17,10,6,+4,+1.10,+0.07,7.3,3.8,+3.5,+0.97,-0.34,Matches
15,Ilias Akhomach,ma MAR,MF,es Barcelona,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
16,David Alaba,at AUT,DF,es Real Madrid,29,1992,12,1039,87,84.5,11.5,12,87,10,0,,1,2.00,24,11,+13,+1.13,+0.18,17.4,16.5,+0.9,+0.08,-0.15,Matches
