Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
36,Giorgos Athanasiadis,gr GRE,GK,md Sheriff Tiraspol,28,1993,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
37,Ludwig Augustinsson,se SWE,DF,es Sevilla,27,1994,3,1,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,7,4,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches
38,Serge Aurier,ci CIV,DF,es Villarreal,28,1992,5,1,132,1.5,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,3,2,1,0.00,0.68,0.68,0.00,0.68,0.02,0.40,0.42,0.02,0.42,Matches
39,Sardar Azmoun,ir IRN,FW,ru Zenit,26,1995,5,3,304,3.4,2,0,2,2,0,0,0,0,1.8,1.8,0.8,2.6,6,2,15,0.59,0.00,0.59,0.59,0.59,0.54,0.23,0.77,0.54,0.77,Matches
40,César Azpilicueta,es ESP,DF,eng Chelsea,31,1989,9,8,677,7.5,1,1,2,1,0,0,2,0,0.3,0.3,0.4,0.7,13,38,57,0.13,0.13,0.27,0.13,0.27,0.04,0.05,0.09,0.04,0.09,Matches
41,Eric Bailly,ci CIV,DF,eng Manchester Utd,27,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Tiemoué Bakayoko,fr FRA,"MF,FW",it Milan,26,1994,3,0,59,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,0,8,2,0.00,0.00,0.00,0.00,0.00,0.20,0.75,0.94,0.20,0.94,Matches
43,Ridle Baku,de GER,"FW,DF",de Wolfsburg,23,1998,6,5,411,4.6,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,7,10,16,0.22,0.00,0.22,0.22,0.22,0.12,0.02,0.14,0.12,0.14,Matches
44,Alejandro Balde,es ESP,"DF,FW",es Barcelona,17,2003,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,3,3,0.00,0.00,0.00,0.00,0.00,0.17,0.15,0.31,0.17,0.31,Matches
45,Gareth Bale,wls WAL,FW,es Real Madrid,32,1989,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,David von Ballmoos,ch SUI,GK,ch Young Boys,26,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
47,Fodé Ballo-Touré,sn SEN,"DF,MF",it Milan,24,1997,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Jonathan Bamba,ci CIV,"MF,FW",fr Lille,25,1996,6,5,469,5.2,0,0,0,0,0,0,3,0,0.3,0.3,0.5,0.8,17,18,32,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches
49,Nicolò Barella,it ITA,MF,it Inter,24,1997,6,6,493,5.5,0,0,0,0,0,0,0,1,0.4,0.4,1.2,1.5,23,43,36,0.00,0.00,0.00,0.00,0.00,0.07,0.21,0.28,0.07,0.28,Matches
50,Ross Barkley,eng ENG,MF,eng Chelsea,27,1993,3,1,97,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,5,8,6,0.00,0.00,0.00,0.00,0.00,0.10,0.45,0.55,0.10,0.55,Matches
51,Wílmar Barrios,co COL,"MF,DF",ru Zenit,27,1993,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,3,24,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
52,Gil Bastião Dias,pt POR,FW,pt Benfica,24,1996,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
53,Alessandro Bastoni,it ITA,DF,it Inter,22,1999,8,7,667,7.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,8,38,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
54,Michy Batshuayi,be BEL,FW,tr Beşiktaş,27,1993,5,4,384,4.3,0,0,0,0,0,0,1,0,1.7,1.7,0.2,1.9,3,1,23,0.00,0.00,0.00,0.00,0.00,0.41,0.04,0.44,0.41,0.44,Matches
55,Donny van de Beek,nl NED,MF,eng Manchester Utd,24,1997,4,3,204,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,4,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
56,Jude Bellingham,eng ENG,"MF,FW",de Dortmund,18,2003,6,6,500,5.6,1,3,4,1,0,0,1,0,1.3,1.3,1.2,2.5,21,22,24,0.18,0.54,0.72,0.18,0.72,0.23,0.22,0.45,0.23,0.45,Matches
57,Hatem Ben Arfa,fr FRA,"FW,MF",fr Lille,34,1987,2,0,23,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.11,0.27,0.37,0.11,0.37,Matches
58,Ismaël Bennacer,dz ALG,MF,it Milan,23,1997,6,4,375,4.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,11,6,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
59,Rodrigo Bentancur,uy URU,"MF,FW",it Juventus,24,1997,5,5,378,4.2,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,8,14,11,0.00,0.24,0.24,0.00,0.24,0.01,0.13,0.14,0.01,0.14,Matches
60,Karim Benzema,fr FRA,FW,es Real Madrid,33,1987,12,12,1102,12.2,15,1,16,12,3,3,1,0,8.5,6.1,2.6,8.7,42,60,86,1.23,0.08,1.31,0.98,1.06,0.71,0.22,0.93,0.51,0.73,Matches
61,Steven Berghuis,nl NED,MF,nl Ajax,29,1991,8,8,622,6.9,3,1,4,3,0,0,1,0,1.4,1.4,2.4,3.9,10,40,33,0.43,0.14,0.58,0.43,0.58,0.21,0.35,0.56,0.21,0.56,Matches
62,Federico Bernardeschi,it ITA,"FW,MF",it Juventus,27,1994,5,4,289,3.2,0,2,2,0,0,0,0,0,0.8,0.8,1.2,1.9,11,8,24,0.00,0.62,0.62,0.00,0.62,0.24,0.36,0.60,0.24,0.60,Matches
63,Bernardo,br BRA,"DF,MF",at RB Salzburg,26,1995,2,0,25,0.3,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,0,2,0,0.00,3.60,3.60,0.00,3.60,0.13,2.21,2.34,0.13,2.34,Matches
64,Paulo Bernardo,pt POR,MF,pt Benfica,19,2002,5,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
65,Veljko Birmančević,rs SRB,"MF,FW",se Malmö,23,1998,6,5,352,3.9,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,9,7,31,0.00,0.26,0.26,0.00,0.26,0.05,0.05,0.09,0.05,0.09,Matches
66,Antonio Blanco,es ESP,MF,es Real Madrid,21,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
67,Daley Blind,nl NED,DF,nl Ajax,31,1990,8,7,571,6.3,1,1,2,1,0,0,1,0,0.2,0.2,0.6,0.8,14,81,36,0.16,0.16,0.32,0.16,0.32,0.03,0.10,0.13,0.03,0.13,Matches
68,Valerii Bondar,ua UKR,DF,ua Shakhtar,22,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,7,0,0.00,0.00,0.00,0.00,0.00,0.17,0.03,0.20,0.17,0.20,Matches
69,Artem Bondarenko,ua UKR,MF,ua Shakhtar,20,2000,2,1,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,11,2,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches
70,Solomon Bonnah,nl NED,DF,de RB Leipzig,17,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
71,Leonardo Bonucci,it ITA,DF,it Juventus,34,1987,7,6,579,6.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,33,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
72,Sebastiaan Bornauw,be BEL,DF,de Wolfsburg,22,1999,3,2,205,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
73,Sven Botman,nl NED,DF,fr Lille,21,2000,5,5,417,4.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,0,8,0,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
74,Yassine Bounou,ma MAR,GK,es Sevilla,30,1991,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
75,Denys Boyko,ua UKR,GK,ua Dynamo Kyiv,33,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
76,Can Bozdogan,de GER,MF,tr Beşiktaş,20,2001,4,2,219,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.9,1.0,5,5,6,0.00,0.00,0.00,0.00,0.00,0.03,0.37,0.40,0.03,0.40,Matches
77,Domagoj Bradarić,hr CRO,DF,fr Lille,21,1999,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
78,Conor Bradley,nir NIR,FW,eng Liverpool,18,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
79,Daniel Bragança,pt POR,MF,pt Sporting CP,22,1999,5,1,133,1.5,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.6,3,5,2,0.00,0.00,0.00,0.00,0.00,0.36,0.02,0.39,0.36,0.39,Matches
80,Julian Brandt,de GER,"MF,FW",de Dortmund,25,1996,5,4,395,4.4,0,0,0,0,0,0,0,0,0.3,0.3,1.1,1.4,15,28,25,0.00,0.00,0.00,0.00,0.00,0.07,0.24,0.31,0.07,0.31,Matches
81,Brian Brobbey,nl NED,FW,nl Ajax,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
82,Brian Brobbey,nl NED,"FW,MF",de RB Leipzig,19,2002,4,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,2,11,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
83,John Brooks,us USA,DF,de Wolfsburg,28,1993,4,4,329,3.7,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
84,Franz Brorsson,se SWE,DF,se Malmö,25,1996,5,5,446,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Marcelo Brozović,hr CRO,MF,it Inter,28,1992,8,8,631,7.0,1,0,1,1,0,0,0,0,0.4,0.4,1.0,1.4,15,64,10,0.14,0.00,0.14,0.14,0.14,0.06,0.14,0.20,0.06,0.20,Matches
86,Nicolas Bürgy,ch SUI,DF,ch Young Boys,25,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,7,1,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
87,Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,27,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Sergio Busquets,es ESP,MF,es Barcelona,33,1988,6,6,485,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,3,53,3,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches
89,Vitaliy Buyalskyi,ua UKR,"FW,MF",ua Dynamo Kyiv,28,1993,5,5,434,4.8,0,0,0,0,0,0,1,0,0.5,0.5,1.0,1.5,9,8,23,0.00,0.00,0.00,0.00,0.00,0.11,0.21,0.32,0.11,0.32,Matches
90,Jovane Cabral,cv CPV,"FW,MF",pt Sporting CP,23,1998,3,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.54,0.00,0.54,Matches
91,Davide Calabria,it ITA,DF,it Milan,24,1996,4,4,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
92,Hakan Çalhanoğlu,tr TUR,MF,it Inter,27,1994,6,5,416,4.6,0,0,0,0,0,0,0,0,0.3,0.3,1.6,1.8,9,34,21,0.00,0.00,0.00,0.00,0.00,0.06,0.34,0.40,0.06,0.40,Matches
93,Mohamed Camara,ml MLI,MF,at RB Salzburg,21,2000,8,8,669,7.4,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,2,34,3,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
94,Eduardo Camavinga,fr FRA,MF,es Real Madrid,18,2002,10,1,305,3.4,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,7,19,7,0.00,0.30,0.30,0.00,0.30,0.04,0.17,0.20,0.04,0.20,Matches
95,Emre Can,de GER,DF,de Dortmund,27,1994,2,0,73,0.8,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,1,5,7,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches
96,João Cancelo,pt POR,DF,eng Manchester City,27,1994,9,9,840,9.3,2,3,5,2,0,0,3,0,1.3,1.3,3.0,4.3,16,98,59,0.21,0.32,0.54,0.21,0.54,0.15,0.33,0.48,0.15,0.48,Matches
97,Nicolás Capaldo,ar ARG,MF,at RB Salzburg,23,1997,7,2,286,3.2,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,5,12,6,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
98,Étienne Capoue,fr FRA,MF,es Villarreal,33,1988,12,12,1044,11.6,2,4,6,2,0,0,3,1,2.0,2.0,1.4,3.4,7,31,10,0.17,0.34,0.52,0.17,0.52,0.18,0.12,0.29,0.18,0.29,Matches
99,Fábio Cardoso,pt POR,DF,pt Porto,27,1994,2,1,156,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches
100,Diego Carlos,br BRA,DF,es Sevilla,28,1993,6,6,539,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,13,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
