Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
315,Dino Hotić,ba BIH,MF,si NK Maribor,19,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
316,Benedikt Höwedes,de GER,DF,de Schalke 04,26,1988,6,540,90,75.0,6.0,6,,6,0,,0,1.50,11,17,-6,-1.00,-1.00,Matches
317,Ryan Huddart,eng ENG,GK,eng Arsenal,17,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
318,Hulk,br BRA,"FW,MF",ru Zenit,28,1986,6,535,89,99.1,5.9,6,,5,0,,0,1.60,4,6,-2,-0.34,-108.34,Matches
319,Mats Hummels,de GER,DF,de Dortmund,25,1988,4,257,64,35.7,2.9,3,,2,1,,0,1.50,4,5,-1,-0.35,-1.71,Matches
320,Klaas-Jan Huntelaar,nl NED,FW,de Schalke 04,30,1983,8,663,83,92.1,7.4,8,,6,0,,0,1.38,13,18,-5,-0.68,+0.90,Matches
321,Pierre Højbjerg,dk DEN,MF,de Bayern Munich,18,1995,3,182,61,16.9,2.0,2,,2,1,,3,2.00,5,3,+2,+0.99,-0.81,Matches
322,Zlatan Ibrahimović,se SWE,FW,fr Paris S-G,32,1981,6,477,80,51.3,5.3,6,,4,0,,0,1.00,6,8,-2,-0.38,-0.58,Matches
323,Agim Ibraimi,mk MKD,"FW,MF",si NK Maribor,25,1988,6,465,78,86.1,5.2,5,,2,1,,0,1.25,3,9,-6,-1.16,-2.36,Matches
324,Sergei Ignashevich,ru RUS,DF,ru CSKA Moscow,35,1979,6,540,90,100.0,6.0,6,,6,0,,0,0.83,6,13,-7,-1.17,,Matches
325,Asier Illarramendi,es ESP,MF,es Real Madrid,24,1990,7,230,33,21.3,2.6,2,,2,5,,4,3.00,7,1,+6,+2.35,+1.39,Matches
326,Ilsinho,br BRA,"DF,FW",ua Shakhtar,28,1985,3,126,42,17.5,1.4,1,,1,2,,2,0.67,2,5,-3,-2.14,-3.20,Matches
327,Ciro Immobile,it ITA,FW,de Dortmund,24,1990,6,404,67,56.1,4.5,5,,1,1,,2,1.67,8,5,+3,+0.67,-0.19,Matches
328,Selçuk İnan,tr TUR,MF,tr Galatasaray,29,1985,4,335,84,62.0,3.7,4,,2,0,,0,0.25,1,10,-9,-2.42,+0.22,Matches
329,Andrés Iniesta,es ESP,MF,es Barcelona,30,1984,11,787,72,67.3,8.7,10,,3,1,,0,2.45,18,9,+9,+1.03,-1.56,Matches
330,Nicholas Ioannou,cy CYP,"DF,MF",cy APOEL FC,18,1995,1,90,90,16.7,1.0,1,,1,0,,1,0.50,0,1,-1,-1.00,-0.20,Matches
331,Gorka Iraizoz,es ESP,GK,es Athletic Club,33,1981,6,540,90,100.0,6.0,6,,6,0,,0,1.38,5,6,-1,-0.17,,Matches
332,Andoni Iraola,es ESP,"DF,MF",es Athletic Club,32,1982,3,197,66,36.5,2.2,2,,0,1,,3,1.00,2,4,-2,-0.91,-1.70,Matches
333,Eray İşcan,tr TUR,GK,tr Galatasaray,23,1991,0,,,,,0,,0,0,,1,,,,,,,Matches
334,Isco,es ESP,"FW,MF",es Real Madrid,22,1992,11,868,79,80.4,9.6,10,,5,1,,1,2.09,18,8,+10,+1.04,-1.09,Matches
335,Ismaily,br BRA,DF,ua Shakhtar,24,1990,0,,,,,0,,0,0,,1,,,,,,,Matches
336,Juan Iturbe,py PAR,"FW,MF",it Roma,21,1993,6,244,41,45.2,2.7,3,,1,3,,0,0.83,4,11,-7,-2.58,-2.89,Matches
337,Ander Iturraspe,es ESP,MF,es Athletic Club,25,1989,5,450,90,83.3,5.0,5,,5,0,,1,1.57,5,4,+1,+0.20,+0.20,Matches
338,Branislav Ivanović,rs SRB,DF,eng Chelsea,30,1984,7,660,94,88.0,7.3,7,,7,0,,1,1.86,17,5,+12,+1.64,-0.36,Matches
339,Alex Iwobi,ng NGA,"FW,MF",eng Arsenal,18,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
340,Jardel,br BRA,DF,pt Benfica,28,1986,4,360,90,66.7,4.0,4,,4,0,,1,0.75,2,6,-4,-1.00,-1.00,Matches
341,Tin Jedvaj,hr CRO,DF,de Leverkusen,18,1995,3,138,46,18.4,1.5,2,,0,1,,2,2.40,0,1,-1,-0.65,-1.98,Matches
342,Jesé,es ESP,"FW,MF",es Real Madrid,21,1993,3,34,11,3.1,0.4,0,,0,3,,4,2.00,2,0,+2,+5.29,+4.18,Matches
343,Raúl Jiménez,mx MEX,FW,es Atlético Madrid,23,1991,1,24,24,2.6,0.3,0,,0,1,,4,3.00,0,0,0,0.00,-0.99,Matches
344,Ola John,nl NED,"FW,MF",pt Benfica,22,1992,2,98,49,18.1,1.1,1,,1,1,,2,0.50,0,0,0,0.00,+0.81,Matches
345,Glen Johnson,eng ENG,DF,eng Liverpool,29,1984,3,270,90,50.0,3.0,3,,3,0,,1,0.67,3,6,-3,-1.00,-0.67,Matches
346,Miloš Jojić,rs SRB,MF,de Dortmund,22,1992,2,23,12,3.2,0.3,0,,0,2,,3,1.50,0,0,0,0.00,-0.77,Matches
347,Brad Jones,au AUS,"DF,GK",eng Liverpool,32,1982,0,,,,,0,,0,0,,6,,,,,,,Matches
348,Stevan Jovetić,me MNE,"FW,MF",eng Manchester City,24,1989,5,92,18,12.8,1.0,1,,0,4,,0,1.60,4,2,+2,+1.96,+2.39,Matches
349,Juanfran,es ESP,"DF,MF",es Atlético Madrid,29,1985,10,930,93,100.0,10.3,10,,10,0,,0,1.70,15,5,+10,+0.97,,Matches
350,Nathan Kabasele,be BEL,FW,be Anderlecht,20,1994,1,8,8,1.5,0.1,0,,0,1,,5,0.00,0,0,0,0.00,+0.34,Matches
351,Shinji Kagawa,jp JPN,"FW,MF",de Dortmund,25,1989,5,348,70,48.3,3.9,4,,1,1,,3,2.00,9,1,+8,+2.07,+2.55,Matches
352,Kaká,br BRA,DF,cy APOEL FC,33,1981,0,,,,,0,,0,0,,4,,,,,,,Matches
353,Yoichiro Kakitani,jp JPN,"FW,MF",ch Basel,24,1990,3,56,19,7.8,0.6,0,,0,3,,2,0.00,0,2,-2,-3.21,-2.81,Matches
354,Glen Kamara,fi FIN,MF,eng Arsenal,18,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
355,Kevin Kampl,si SVN,MF,de Dortmund,23,1990,1,90,90,12.5,1.0,1,,1,0,,0,0.00,0,3,-3,-3.00,-4.29,Matches
356,Anton Kanibolotskiy,ua UKR,GK,ua Shakhtar,26,1988,0,,,,,0,,0,0,,8,,,,,,,Matches
357,Alyaksandr Karnitsky,by BLR,MF,by BATE Borisov,25,1989,6,451,75,83.5,5.0,5,,3,1,,0,0.60,2,18,-16,-3.19,-1.17,Matches
358,Pajtim Kasami,ch SUI,"FW,MF",gr Olympiacos,22,1992,6,390,65,72.2,4.3,4,,1,2,,0,1.50,8,6,+2,+0.46,+3.46,Matches
359,Andy Kawaya,be BEL,MF,be Anderlecht,17,1996,2,88,44,16.3,1.0,0,,0,2,,1,2.00,4,1,+3,+3.07,+4.06,Matches
360,Semih Kaya,tr TUR,DF,tr Galatasaray,23,1991,6,540,90,100.0,6.0,6,,6,0,,0,0.17,4,19,-15,-2.50,,Matches
361,Sebastian Kehl,de GER,"DF,MF",de Dortmund,34,1980,4,316,79,43.9,3.5,4,,3,0,,3,3.00,12,1,+11,+3.13,+4.25,Matches
362,Thilo Kehrer,de GER,DF,de Schalke 04,17,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
